ID,行政區,地址,店名,店家說明
003d12a7-bbf8-4089-ba25-c909f8967dd9,中山區,臺北市中山區農安街77巷9弄18號,舞中閣 Alive Dance Space,在煩擾塵囂裡，保留純粹與本質，秉持著心靈的療癒、舞蹈的質感、動作的優雅、視覺的美感。 低空中｜抒情療學癒｜優雅｜質感｜舞蹈｜生活
0149d3d4-9b45-4e29-b0b2-f1609c026bbe,中山區,臺北市中山區松江路９３巷１號1樓,遠見天下文化出版(股)公司,遠見‧天下文化事業群，旗下涵蓋：  雜誌事業體：《遠見雜誌》、《哈佛商業評論全球繁體中文版》 出版事業體：天下文化出版公司 未來親子學習平台：未來小天下出版公司、《未來少年月刊》、《未來兒童月刊》、《未來Family》
04c69b6d-df5b-4cdd-8d5a-19d1c4d66ad2,中山區,臺北市中山區晴光里新生北路３段６２巷２４號,CEO1950總裁藝文空間,位於台北市中山區新生北路靜巷內，是台灣罕見的『和洋混和式』二層木造建築物。於1949年落成，為首任中央銀行總裁徐柏園官邸。 因應當季食材，每季更換菜單，並結合展覽探討臺灣飲食文化，傳遞「美食、美學、美好生活」之理念；曾獲MUSE Design Award 2021設計大獎歷史修復金獎、餐廳酒吧銀獎，2021、2022臺北臺中米其林指南推薦、第2屆臺北市文化資產保存維護譽揚獎等榮譽。
103a96a1-7460-49c2-9995-9d7a8e5043f1,中山區,臺北市中山區金泰里敬業三路２２號６樓、６樓之１,美麗華影城,電影片播放 餐飲銷售 相關電影周邊銷售
11f1e0f0-bf3a-42cc-b176-9de65450a15d,中山區,臺北市中山區康樂里林森北路２４７號,欣欣大眾市場股份有限公司,晶華商圈優質百貨公司
1db7b8f6-b6a8-4f40-a959-be76d96b8a72,中山區,臺北市中山區民生東路２段１４１號7樓,<城邦書店>書虫股份有限公司,"歡迎使用熊好券的""饗購券""及""藝文券""，來店享購書優惠。三本(含)以上69折優惠。(雜誌、漫畫、特價品除外)。"
1ff1b66c-7433-4ce6-9d6f-b5a26b0b9e23,中山區,臺北市中山區中山北路１段１３３號,森高砂咖啡館中山旗艦店,森高砂咖啡館專賣台灣咖啡，而中山旗艦店提供精湛手沖咖啡，更提供一系列不同的咖啡產品，藉以表現台灣咖啡的產區特色，還有蘊藏其中的無窮可能性。 除了森高砂拿手的精品台灣咖啡，我們也提供完整的甜點、輕食，乃至具有高級餐廳水準的精緻餐食。讓這間「咖啡店」，變成一個讓人可以流連整天的場域。它要夠舒服、夠悠閒，東西好吃又吃得飽；無論會友、獨處，辦公或休憩，一個人讀書或多人聚會，每個需求都能夠滿足。
2177f875-b854-4542-8ee2-5448f191d97e,中山區,臺北市中山區中央里長春路１７６號地下１﹒２﹒３﹒樓及地上１﹒２﹒３樓,國元影業股份有限公司,「台北長春國賓影城」地處台北商辦中心，有便捷的大眾交通運輸及充裕的停車位。北市首座同時映演商業鉅片與藝術影片的時尚影城，滿足各類型觀眾豐富多樣的觀影選擇，驚艷視覺饗宴、豐厚人文精神的新地標。 影城設有15個國際水準的觀影廳，含無障礙座位共有1314席，搭配原裝進口法國知名品牌Quinette的高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，貼心的置杯架，讓每一個顧客都能享受觀影的舒適環境。 全廳
271d2c18-326c-4d91-8724-db234df54c49,中山區,臺北市中山區朱園里建國北路１段９６號地下一樓,袖珍世界股份有限公司,亞洲第一座專門收藏當代袖珍藝術品的主題博物館 成立於1997年3月28日 源自十六世紀德國宮廷貴族的袖珍藝術，已傳遍了歐洲及北美。袖珍博物館尋訪世界各地網羅一流大師作品，擁有排名世界級的收藏規模，包羅萬象的袖珍精品經過組合佈置後，主題作品目前展出約兩百餘件，主要有呈現整座建築內外佈置的娃娃屋（Dollhouse）、各種房間精緻寫照的夢幻屋盒（Roombox），趣味創意的主題作品等。這些小巧的藝術品
2e6ed327-a040-4e22-b611-0caecfba0244,中山區,臺北市中山區復興北路３８６號１至４樓及地下室,弘雅三民圖書股份有限公司,走過一甲子的三民書局，現已有重慶南路跟復興北路兩家門市，還有一個「書種齊全、服務迅速」的網路書店，繁體書、港版書、簡體書、原文書等一應俱全喔。 http://www.sanmin.com.tw/
30000f8c-2809-4b3d-8882-a5c93e1edd38,中山區,臺北市中山區北安路７８０號及地下二樓,美麗新娛樂股份有限公司,大直皇家影城，服務再升級的全新品牌，共8個廳202席位。寬敞可調式雙人沙發座椅、專人貼心服務，搭配主廚料理的精緻餐點，專人送餐、毛毯…等服務；在餐點方面則與 CJ bistro 品牌合作，提供專人現點現做的多樣化精緻美味餐點，讓看電影不再只是單純的娛樂享受。將成為尊爵觀影的新選擇。
302a2df8-da99-42e5-b86f-8981cb905b22,中山區,臺北市中山區康樂里林森北路２４７號5樓,欣欣秀泰影城,欣欣秀泰影城位於熱鬧的中山商圈，舒適的觀影環境，2021年更斥資全新改裝搖身一變成為全台最美影城，網美打卡新地標
3153b311-e526-477c-9ab3-63776dbb144b,中山區,臺北市中山區朱園里松江路９７巷９號,信鴿國際文化有限公司,信鴿法國書店近伊通公園，由台大法文教授施蘭芳老師所創立的信鴿法國書店，書店裡的設計裝潢則由洪麗芬設計，是國內第一家法文書專賣書店。
333ea2d8-bc3b-4cb2-9b97-3e2f6c2399e5,中山區,臺北市中山區八德路二段300巷32號2樓,土撥鼠室內樂群,本團的團名「土撥鼠」為「土博士」的諧音，團員皆為就讀於國內音樂系博士班或已取得學位的新生代音樂家，是台灣本土音樂教育培養出的菁英群。自104年成立之後，每年固定推出不同主題的音樂會製作，並邀請合作音樂家共同演出，期望未來能團結更多本土培育的音樂人才，共同將所學回饋於社會，並將台灣音樂教育的成果展現於國人面前。
49eb28bc-dde4-4105-8839-a646795ec620,中山區,臺北市中山區中央里四平街８４號１樓,澀谷の駅,專賣卡通正版授權商品 /文具 玩具 童書（風車 世一 人類 尖端）特賣文具商品
