ID,行政區,地址,店名,店家說明
00e7a2c7-193e-4c03-94c6-4225d156357c,中正區,臺北市中正區懷寧街36號2樓,巨擘書局有限公司,巨擘書局成立於1980年，專業經營「理、工、商、管」大學以上專業原文書，並期許作為大學專業原文書之「巨擘」而努力。
01282cce-6fbe-43d1-8495-ed11f680e100,中正區,臺北市中正區重慶南路一段６１號,三民書局重南店,走過一甲子的三民書局，現已有重慶南路跟復興北路兩家門市，還有一個「書種齊全、服務迅速」的網路書店，繁體書、港版書、簡體書、原文書等一應俱全喔。 http://www.sanmin.com.tw/
028238cd-6bd4-496c-adab-d45b779b3af5,中正區,臺北市中正區文盛里羅斯福路３段２１０巷８弄１０號,直物生活有限公司公館分公司,獨特設計的文具、器皿以及日常生活小物，亦有直物設計的原創文具。
04de1d0b-90e5-4cdf-8cc3-8a4a3a179bc6,中正區,臺北市中正區光復里延平南路９８號４樓,4F劇場咖啡,位在西門町中山堂四樓的古蹟咖啡廳，為「比悲傷更悲傷」等多部電影與每年「台北電影節」的指定取景地。 這裡擁有古色古香的環境、舒適且令人放鬆的景觀，搭配職人專門製作的手沖咖啡與甜品。 充滿韻味且安靜典雅的劇場咖啡，讓您感受近百年的中山堂古蹟氛圍。 劇場咖啡近年更被評為西門町五大必訪復古咖啡店之一，絕對是您造訪台北與西門町必到的景點。
07577772-4366-44ba-832e-615304e8dd3c,中正區,臺北市中正區八德路一段1號,華山文創園區-未來市輕食,華山文創園區-未來市輕食
086f24fd-676e-4435-a244-cc141b710302,中正區,臺北市中正區同安街28巷1號,野草居食屋,體驗在日式木造老屋，吃小碟喝一杯吧！每日港口直送生鮮，最嚴格食材把關，專業清酒服務。古亭站旁兩分鐘最有氣氛的居酒屋，男女約會最佳選擇。
0c9484c3-15b9-4912-8aea-87f7408db438,中正區,臺北市中正區新生南路１段１３８-１號1樓,林舍文化,樂器行、音樂商店、國樂、西樂
0f5dc45a-b38e-4914-b705-ea6b95d07e09,中正區,臺北市中正區八德路一段1號,華山文創園區-小器生活空間,華山文創園區-小器生活空間
10d8a21e-bb6f-4fbe-b2a2-0d21886e8341,中正區,臺北市中正區黎明里襄陽路２號,石尚自然探索屋本館店,"憑台北熊好券 多項優惠等你拿~  門市多種優質商品 歡迎入內參觀選購！！"""
12eb15cc-f637-48a2-9007-8a43bc2761bf,中正區,臺北市中正區愛國東路６８號１樓,法國巨星婚紗,服務項目 婚紗攝影包套 婚禮攝錄影 婚紗mv拍攝 新娘彩妝 新娘秘書 禮服出租 形象照 全家福照 音樂班團體照 公司位於中正紀念堂旁愛國東路68號 佔地200坪開放式服務專區，親切服務，為妳解決婚紗大小事 https://www.facebook.com/francestarwedding/
16612e90-cdea-4463-b7e3-1344e0e3d0b0,中正區,臺北市中正區羅斯福路4段162號5樓,桌麻吉,本店位於捷運公館站一號處口附近，提供文創商品販售、桌遊租售與活動場地租借，並有提供精美餐點服務，也適合藝文空間、商業說明會、教育訓練等機構前來合作。
17a21728-f2bb-45a2-a20f-5f28a3181fb9,中正區,臺北市中正區南陽街3號B1,五大國際唱片股份有限公司西門分公司,五大唱片是臺灣地區最大的實體唱片銷售商，銷售佔有率達到60%。五大唱片建立了華語樂壇最具公信力、號召力的實體唱片銷售榜單——“五大金榜”，榜單已成為判斷藝人影響力的重要參考指標。 五大唱片立足臺灣，並積極向大陸發展。現五大唱片已經獨家代理多家唱片公司在大陸地區的實體唱片發行。 通過互聯網，“五大唱片”還將唱片銷售拓展到日韓、東南亞、歐美等海外地區。
1afbe289-852d-4115-846f-fbc053f2d637,中正區,臺北市中正區八德路一段1號,華山文創園區-華麗島,華山文創園區-華麗島
1f46bede-34a5-4c92-807f-273d9407525e,中正區,臺北市中正區黎明里重慶南路１段６３號地下樓,美林書局有限公司,美林書局位於台北市中正區書店街重慶南路一段63號B1   以圖書為主  經營項目  幼教到升學參考書大專 書 社會書 國民營高普特考參考用書等等
205bbaac-339c-4fe2-983b-87e5b9fcaa53,中正區,臺北市中正區八德路一段1號,華山文創園區-知音文創wooderfullife,華山文創園區-知音文創wooderfullife
2186e4f7-42de-4184-8be0-7cc67b1b1e36,中正區,臺北市中正區八德路一段1號,華山文創園區-閎麥掌門,華山文創園區-閎麥掌門
21e07fb4-a4c5-44c1-ab26-0c91403e99ea,中正區,臺北市中正區幸市里新生南路１段５６巷１６之４號,直物生活有限公司,台灣第一間文具咖啡店，除了可以欣賞獨特設計的文具、器皿、道具、雜貨與食料，也有直物設計的原創文具。 公館店、忠孝新生店皆可使用熊好券
25241f51-473a-4ac3-b839-52191cc9ba37,中正區,臺北市中正區梅花里八德路１段９２號１樓,a-shop,蘋果授權經銷商
31980b64-f2a9-4117-991f-bfe3ebc2a1c2,中正區,臺北市中正區頂東里金門街７之４號１樓,REDKID TOY,REDKID為台北玩具選物實體店家，店內商品涵蓋了歐美文化各式各樣VINTAGE物品，包含了許多老玩具、古董玩具、稀有玩具等，我們永遠只選擇自己所愛，不追隨潮流只在意風格。
37727a00-dc5e-448c-84bf-11cc82885695,中正區,臺北市中正區文盛里羅斯福路三段２４４巷１０弄１７號１樓,庭園二手文教有限公司,新影音館在2014年臘月遷移至現址， 同時轉型為二手影音產品(CD、DVD、黑膠唱片)專門店， 提供物超所值及多樣化的的影音商品讓顧客盡情選購， 地下一樓更規畫成多功能演藝廳，提供各類型講座及Live演唱。
37f97dab-f391-4174-9890-9296b00a572e,中正區,臺北市中正區八德路一段1號,華山文創園區-有空藝點有空(C-1),華山文創園區-有空藝點有空(C-1)
3d52057f-7417-43a3-bc8f-ae9d51561d83,中正區,臺北市中正區博愛路２２號１樓,喬翊電器有限公司,門市座落於博愛特區，近北門，是30多年老字號的優良店家。 目前門市販售商品 SONY CANON NIKON 等專業相機 攝影機及周邊器材，並提供SONY DSLR CLUB 免費教學服務。
3d83f7d9-54ee-44ec-9362-18dd093ccd83,中正區,臺北市中正區河堤里同安街１０７號,財團法人台灣文學發展基金會市定古蹟紀州庵及新館營運管理處,「紀州庵」初建於1917年，原為平松家族經營的日式料亭，2011年在臺北市政府文化局指導下，以「紀州庵文學森林」為名， 進行文學的展演與推廣； 已舉辦超過5000場展覽表演、講座、作家對談、書籍分享、藝文導覽等各式藝文活動；亦有經營森林書店及風格茶館。
3e77ec14-2da5-40a4-9289-179db6fce357,中正區,臺北市中正區八德路一段1號,華山文創園區-小農討酒(貨櫃3),華山文創園區-小農討酒(貨櫃3)
47eb32ac-8924-422d-920b-ea7ef9defadc,中正區,臺北市中正區漢口街１段３號B1,佳佳唱片行（漢口店）,我們是位於台北車站的佳佳唱片行，有許多台版、進口實體商品 歡迎大家來尋寶。
480f15bb-fb7a-4a86-97db-c3f326900c3e,中正區,臺北市中正區漢口街一段3號5樓,讀享國考小學堂,讀享之成立宗旨是建立一個提供考生準備考試正確方向並幫助其快速考取的教學平台，超完美補教名師與熱血上榜者們的結合構成了讀享的黃金作者/講師陣容，嚴謹對待每一份稿件的法律編輯群成就了書的品質保證，把考試用書當成藝術作品在排版的美術編輯讓讀享的書好看又好用，貼心活潑又超專業的課程營業部為每一位學員提供專屬、貼心、有效率的課程服務。
4833d45a-456f-44d0-a6b0-0fc7eb0aad43,中正區,臺北市中正區新生南路1段138之1號,琴園樂器/琴園國樂團,林谷珍精品笛簫/各式國樂器/相關樂器配件
4adaf130-6908-4b1f-aabd-6c1ed2a86d12,中正區,臺北市中正區八德路一段1號,街頭藝人-嘿，謝宗霖,吉他是我的夥伴，麥克風是我的武器，⽤音樂讓你們開心是我的使命。
52878199-0dc2-46aa-a05f-0aedae4209f0,中正區,臺北市中正區龍福里南海路４８號,10平方圖書文具館,將日常變成自己喜歡的模樣，就從一本熱愛的書、或是一支好寫的筆開始。 歡迎來逛逛10平方圖書文具館，這裡有精選圖書、新潮文具、學生文具、辦公文具、電腦周邊、居家生活用品等好物，豐富您的每一天。
530eb424-5578-43d0-becd-348fac401eda,中正區,臺北市中正區龍福里重慶南路２段５１號地下１樓,小太陽親子書房(台北總店),以「守護孩子唯一的童年」做為我們的核心宗旨，呼籲社會重視幼兒教育與致力提升幼兒教育的品質。 培養一個愛看書的孩子，從任何時期開始，都有可能，也不會太晚。 「玩」是孩子學習最重要的第一步，秉持著讓孩子「安心玩、快樂學」的理念，和誼創新致力於研發教育性玩具，讓孩子能邊玩邊學，促進感覺統合、語文、認知、社交等方面的能力發展。  營業時間:0900-1800
53ae193b-d9f7-4c99-88b3-48c37441c1b0,中正區,臺北市中正區黎明里市民大道１段１００號台北地下街１８０號店舖,三樂玩具有限公司台北地下街門市,#台北地下街Y3-180 扭蛋盒玩/一番賞/景品公仔 熱愛收藏玩具的你 路過走過千萬不要錯過 Fb:Mrpink粉紅先生 IG: mrpink.5888 營業時間:11:00-22:00(週一至週日)
558c340d-c4bf-4c2f-a13f-87a170979138,中正區,臺北市中正區重慶南路２段９０之１號１樓,攝氏三十八度音響唱片有限公司,38度C成立至今30餘年 一路以來的堅持 就是將最發燒的音樂、 器材介紹給喜愛音樂的您 門市有發燒音響配件等系列產品展售。 歡迎蒞臨試聽，或在我們的網站選購。
59966bc7-7540-4932-8d4c-77893208324c,中正區,臺北市中正區黎明里重慶南路１段４９號１樓及３樓,黎明文化事業股份有限公司,雜誌85折起 圖書79折起 方東美套書(軟精裝)特惠5折
5a153afa-0e6a-4cce-b702-b3b73a6d72d0,中正區,臺北市中正區市民大道一段100號b1，70A室,瑞瑟可有限公司玩具專賣店,專售進口玩具、收藏玩具及扭蛋公仔等
5af08c04-24e2-4333-824f-510c49cfb6bd,中正區,臺北市中正區八德路一段1號,華山文創園區-禹物再製所,華山文創園區-禹物再製所
5b7de778-b8c7-4c1f-acc1-5af2bfad1e4b,中正區,臺北市中正區八德路一段1號,華山文創園區-能藝文具,華山文創園區-能藝文具
5ed0a769-5ade-4b7a-b8c1-d6e993131eb6,中正區,臺北市中正區八德路一段1號,華山文創園區-日日興開周末秘境(貨櫃3),華山文創園區-日日興開周末秘境(貨櫃3)
65ee99c0-3c29-4689-97db-584b03a16d13,中正區,臺北市中正區市民大道一段100號135-2B1,咘哩咘哩,女性可愛公仔玩具
6710bdb0-40e2-4da1-82a5-84d27465c429,中正區,臺北市中正區八德路一段1號,華山文創園區-黎黎獨立調香PINSCENT,華山文創園區-黎黎獨立調香PINSCENT
6823596b-12da-4678-9a4a-f195ac356d32,中正區,臺北市中正區水源里思源街１號,派譜有限公司,本公司自2011年起經營「PIPE LIVE MUSIC」，位於台北公館水岸廣場，為台北南區知名音樂展演空間，是國際間少數以抽水站古蹟做為音樂展演空間再利用的成功案例。具備國內200人音樂展演空間最高規格的燈光音響設備與活動企劃、硬體專業人員。本公司長期致力各種原創音樂及現場演出推廣，平均每年舉辦300場音樂活動，活動類型包括獨立樂團、嘻哈表演、電子音樂演出、音樂電影欣賞、音樂講座等多元活動內容。
69bebd11-4fea-4956-8bc2-cd02c8345ace,中正區,臺北市中正區文盛里羅斯福路４段２２號,財團法人台北市基督教校園福音團契附屬校園書房出版社,校園書房，一個生命與文字交會的地方。 於1975年成立，以基督教最新書籍為主、結合文具禮品、生活雜貨的複合式主題書店。
6cc556c8-e291-4bf7-ac12-a8ebf3843b54,中正區,臺北市中正區延平南路98號2樓(中山堂內2F),中山堂堡壘古蹟餐廳,提供中西式料理，下午茶，咖啡，商務簡報，記者會，拍片，講座，聯誼活動聚餐，音樂藝術發表會等包場使用，餐廳環境非常寬敞，座位舒適，挑高的建築，多面大面窗，店內還有一台百年古董鋼琴，堡壘廳戶外露臺曾是蔣公當選總統時與夫人蔣宋美齡向台灣人民揮手致意的歷史鏡頭。來趟懷舊的古蹟之旅讓您體驗不一樣的感受，~~歡迎您蒞臨堡壘古蹟餐廳https://booking.menushop.tw/gcaent
6d4322ad-7743-432f-a29f-30833f64ed5e,中正區,臺北市中正區八德路一段1號,華山文創園區-奶泡貓貓貓蟲(中1A),華山文創園區-奶泡貓貓貓蟲(中1A)
745f1fc4-fd8e-49aa-9aa2-13f21136f8e2,中正區,臺北市中正區水源里羅斯福路４段１３６巷３號,東南亞秀泰影城,秀泰影城於104年7月接手營運近50年的原東南亞戲院，透過品牌形象、專業設備、最佳服務…等經營策略，重新改裝後更名為「東南亞秀泰影城」。整體內裝以時尚、簡單精緻風格設計，導入頂級放映設備、舒適的商務艙座椅，於公館商圈打造5星級精品影城，讓看電影除了是生活休閒之外，更是另一種奢華享受！
75c5d6ce-2893-4c38-a59a-9a8e0ff2403b,中正區,臺北市中正區八德路一段一號（中3A館）,伊思服裝設計有限公司-華山,品牌I.A.N Design門市在華山文創園區中3A館和西門紅樓A8櫃位，販售原創環保設計服飾與家飾生活用品。品牌成立於2009年以Interest + Art + Nature 做為I.A.N 的品牌縮寫。 以服裝的形式；傳遞並描繪關於生活的起點及某些素樸的概念詮釋， 從生活的原型、肌膚的延伸到進一步提出人與地球更友善的方式進行設計
76dd7969-969a-4e42-92e1-6f61d094edee,中正區,臺北市中正區光復里延平南路１２號６樓B室，大樓電梯入口在旁邊巷內呦,桌遊故事桌遊專賣店,你知道桌上遊戲最能帶給孩子們最欠缺的「動機」嗎？想要純消遣或是風險管理練習策略規劃都有適合你的。不只是適合家人、更適合人際互動。連只打過麻將的奶奶都愛不釋手！
77a31e45-5ac6-4ab6-9832-25165ee5af76,中正區,臺北市中正區八德路一段1號,華山文創園區-小農討酒(中三館前木棧板),華山文創園區-小農討酒(中三館前木棧板)
77d1ae09-6c99-4d67-8d2d-258a6ffc87e6,中正區,臺北市中正區羅斯福路二段9號七樓,永然文化出版股份有限公司,永然文化出版股份有限公司由李永然律師於1987年創辦，是國內專業出版法律圖書之出版公司，也是率先出版實務法律圖書的出版公司，致力出版實用、易讀的法律圖書，以建立民眾法律知識，提升法律能力為出版理念.
7800c8fe-6694-4e7a-9339-0d22f0eb5b8c,中正區,臺北市中正區八德路一段1號,華山文創園區-誠順ABSENCE(C-11),華山文創園區-誠順ABSENCE(C-11)
78e0a87a-69b3-4f3e-97c5-a5a430ad4bbf,中正區,臺北市中正區八德路一段1號,華山文創園區-未來市,華山文創園區-未來市
79302877-8514-4f09-927f-3299c9c474cf,中正區,臺北市中正區文北里仁愛路２段３４號５樓,鳴石樂集,鳴石樂集音樂講座課程及沙龍音樂會均可使用藝文卷。 熊好藝文券購票方式：02-23963589。
7b8f1e95-82f1-4c0f-b41d-45a4e40439a8,中正區,臺北市中正區八德路一段1號,華山文創園區-小器食堂,華山文創園區-小器食堂
7f183156-91a7-4e1a-aeb1-5175aa5a635d,中正區,臺北市中正區羅斯福路三段266號1樓,雜誌瘋台大店,販售之雜誌種類多達數千種以上，涵蓋中文雜誌、歐美雜誌、日文雜誌，尤以日文雜誌、日文MOOK最為豐富且類別包含廣泛 ; 我們秉持著以專業服務顧客的精神，持續引進新發刊之商品，做到與日本同步上市，成為帶領流行資訊的先鋒 ~ 『流行最前線，盡在雜誌瘋 ! 』
7f5b2191-edb7-4971-ae2b-1acb20debe70,中正區,臺北市中正區市民大道三段8號2樓22室,圓陽科技有限公司,小米及米家生態鍊 各項產品 GOOGLE 智能周邊 儲存周邊 - 外接硬碟 多媒體電視棒
80028d51-24a4-46b6-a04f-486ea0df653e,中正區,臺北市中正區八德路一段1號,華山文創園區-一碗來,華山文創園區-一碗來
842968d7-121f-44ae-a0e8-da424a029fe5,中正區,臺北市中正區八德路一段一號華山1914園區中五館,永豐Legacy Taipei音樂展演空間,Live house音樂表演
8abe9304-d52d-4c24-8543-4948c8437ae8,中正區,臺北市中正區八德路一段1號,華山文創園區-欣宸愛手創,華山文創園區-欣宸愛手創
8ceb2cdb-d93c-4579-8419-9f4bdd2aa25f,中正區,臺北市中正區八德路一段1號,華山文創園區-岱特仕Dydash(C-7),華山文創園區-岱特仕Dydash(C-7)
8f633f3c-24ac-407c-9979-fc1ad9395b89,中正區,臺北市中正區八德路一段1號,華山文創園區-走吧我們iNAKATA(蒸餾室),華山文創園區-走吧我們iNAKATA(蒸餾室)
8fddcacb-4439-4d6c-86c4-98843668b479,中正區,臺北市中正區八德路一段1號,華山文創園區-紅然RYB Studio,華山文創園區-紅然RYB Studio
9038f6df-efc8-4319-8972-be54fe200c0e,中正區,臺北市中正區忠孝西路一段49號B1樓.鳥人雕塑旁,siiin,簡約時尚設計系列，向經典致敬 輕奢微鑽系列，讓你超越奢華 飾品美術館.滿足追求質感的你
91d75d74-1208-48ae-aaee-ca91978ab133,中正區,臺北市中正區黎明里重慶南路１段５７號２樓,天龍文創出版事業有限公司,經營理念 「最低的價格，最多的選擇。」 這是我們的堅持，為的就是讓每一位消費者花小錢也能得到新知識，享受文化的饗宴。 關於天龍文創圖書 天龍文創出版事業是坐落於台北市著名書街”重慶南路一段”，本公司專賣各種類型的大陸簡體字書籍像是電腦書籍、理工書籍、各國語言學習書籍，各國文史類、美術、運動與武術、中西醫與保健叢書、棋類等非常多種類的書籍，還有許多特價簡體字書籍任您選購。
935a1dea-87dd-4860-950b-e474f6c01902,中正區,臺北市中正區羅斯福路1段94號,南門書局,南門書局主要以平價、便捷及完善的售後服務為號召，期望帶給顧客最優質無壓力的閱讀體驗。所出版書籍涉獵極廣，包含童書、啟蒙教具、工具書、食譜、醫療、語言、歷史典籍、人文等。讀者可以利用臉書通路及南門書局官方網站獲得相關圖書資訊，並直接下單購買；亦可洽詢實體門市(臺北市羅斯福路一段94號)前往親身體驗。除熊好券外，近年亦為藝FUN券合作之出版社，皆有良好反饋。盼繼續為傳承文化做出貢獻，為提供優良圖書努力
95517ff1-2e61-47cb-a85b-752d612f2700,中正區,臺北市中正區中山南路21號,時藝-提姆波頓異想世界展,關於提姆．波頓——你可以說他是一位導演、一位動畫師、一位畫家、一位攝影師，又或者是一位風格獨特的作家與詩人。  《The World of Tim Burton提姆波頓異想世界展》將有十大展區，總共展出了超過500件原創作品，當中包含繪畫、素描和攝影底片等，這些作品代表了提姆．波頓過去50年來的創作軌跡；值得一提的是，展覽當中將會展示約150件從未公開發表的內容，帶領臺灣觀眾一窺世紀怪才的獨特魅力
959f48e8-1bfd-4a0e-9925-c101e54eb212,中正區,臺北市中正區黎明里許昌街２４號,墊腳石許昌店,墊腳石台北許昌店鄰近台北捷運站M8出口，期望為往來的補習學子、城市旅人提供一個便利、創新、快速的購物環境。
95d306cd-84ba-4794-b94e-e064abacf1ad,中正區,臺北市中正區汀州路三段230巷38號,寶藏巖閣樓賣店,寶藏巖國際藝術村自營賣店，提供駐村單位寄賣商品，並蒐羅台灣各地文創品牌商品。
96b9e690-e1c0-41d0-93f6-5bc93c6c49d5,中正區,臺北市中正區八德路一段1號,華山文創園區-椿禾小椿日和,華山文創園區-椿禾小椿日和
98bd3102-8be1-484c-85cf-f6cfbddbfb2b,中正區,臺北市中正區愛國里中華路２段７５巷１弄３５號,新創行銷有限公司,提供北部各大藝文場地中的各類藝文展覽或親子互動樂園館等....，是市面上最優惠的校園優惠票卷，2022寒假台北展覽有:提姆波頓異想世界展 𝐓𝐡𝐞 𝐖𝐨𝐫𝐥𝐝 𝐨𝐟 𝐓𝐢𝐦 𝐁𝐮𝐫𝐭𝐨𝐧/ゲゲゲの鬼太郎👻妖怪100物語/i-Ride TAIPEI飛行劇院《會飛的清明上河圖》/呪術廻戦展/About Love 聽・說愛情展，等....
9ad926f9-2644-4c79-8935-cdf76bc7c52a,中正區,臺北市中正區八德路一段1號,華山文創園區-賽先生科學工廠,華山文創園區-賽先生科學工廠
9b86cc00-1a27-4983-8e40-2144d9283834,中正區,臺北市中正區八德路一段1號,華山文創園區-知音文創木育森林,華山文創園區-知音文創木育森林
9d6413f1-87da-4507-b7e4-519fd57c986d,中正區,臺北市中正區羅斯福路1段8之1號B1,街頭藝人_陳敦邦—小提琴手,台灣首位音樂系視障科班生，多次於國家音樂廳參與演出，也是台灣首位視障小提琴教師。 幼年時期因病失明，就讀盲校的日子裡，愛上了小提琴，並努力學習。如今為人們演奏美好的音樂。
9dec31d1-e4e2-46a7-91b3-88c25e6e9e8d,中正區,臺北市中正區文盛里羅斯福路３段２１０巷８弄７號,米特藝術文化有限公司,【 米特薩克斯風專門店 】由台灣相當具代表性的「MIT米特薩克斯風重奏團」於2016年成立。米特過去三年來，與近10位國外音樂家進行國際交流，累積了近萬名聽眾，並創造上百位薩克斯風學習者。在積極推廣的同時，我們也開始思考如何在硬體上給予演奏者協助及建議，使吹奏上可以更得心應手，並且更有效率的進步。 「米特薩克斯風專門店」於2016年8月27日成立，並與Yamaha山葉音樂共同合作創立「Yamaha
a173e659-1a46-48c4-97ed-e2790ab91a63,中正區,臺北市中正區八德路一段1號,華山文創園區-皇盛Neko,華山文創園區-皇盛Neko
a528fd98-b073-4628-ada9-5ef5b1920bce,中正區,臺北市中正區武昌街一段5號2樓,明星咖啡館,創立於1922年 從上海到台灣 明星西點咖啡館百年來始終用心 只為提供您皇室御用等級的美味餐點 明星除了有俄羅斯軟糖、核桃糕、羅宋湯等俄式美食外，也被譽為藝文沙龍、台北永遠的文學地標。知名台灣本土畫家郭雪湖、李梅樹、楊三郎、顏水龍、朗靜山、吳炫三、陳景容等人也曾於此舉辦畫展。詩人周夢蝶、方明、知名作家白先勇、三毛、黃春明、陳若曦、季季等人則曾於明星伏案寫作。
a8c3267f-fad6-4526-891b-f0589c862fc9,中正區,臺北市中正區八德路一段1號,華山文創園區-繆香MEOWXIANG (蒸餾室),華山文創園區-繆香MEOWXIANG (蒸餾室)
aab8a113-ea65-4517-a654-4498112498fe,中正區,臺北市中正區幸福里忠孝東路１段１０８號１樓A24,王品石頭記,茶水可淨化水質，軟化水質，讓茶水更甘甜
aad8db66-6aa4-4e3a-be22-670a696f5498,中正區,臺北市中正區重慶南路１段３號,墊腳石重南店,墊腳石台北重南店鄰近台北火車站，過往的書店街轉型為商旅重鎮，也為往來的旅行者與商務人士注入更多樣化的人文氣質。
