ID,行政區,地址,店名,店家說明
0068ee15-7447-4de7-85a3-18ea7bef2c79,信義區,臺北市信義區忠孝東路五段410號B1-2,花響鼓樂團,鼓藝推廣/藝術展演/花響鼓週邊/花響靡咖啡
01e9c7ed-bb36-4dce-a43d-848bf2255c2b,信義區,臺北市信義區信義徒步區,街頭藝人_田亞寧,街頭藝人
054a6cc5-d049-4c84-80ab-35a8124e6764,信義區,臺北市信義區信義香堤廣場,街頭藝人-吳鎮安,街頭藝人現場演出
08c2d214-50b4-456a-8598-d93393d1f976,信義區,臺北市信義區光復南路133號,松菸風格店家-A4,一個讓創作者與創作者、消費者、使用者交流對話的空間。延續創新整合與空間原有之創造精神，強調實作精神的前店後廠模式、傳達夢想實踐與品牌精神的快閃店模式、展現松菸製造的創意整合實體產品概念。
0b674601-afaf-4f05-9151-e5f2432fc575,信義區,臺北市信義區信義香堤廣場,街頭藝人_許婷茹,電鋼琴自彈自唱
0c0796f5-c7e2-4b91-9030-5bd190688fb0,信義區,臺北市信義區新仁里０２１鄰菸廠路９８號地下２層,誠品展演廳,創立於1989年，秉持獨到的選書選品能力，以及多元通路整合經營經驗，漸次發展為以文化創意為核心，深具場所精神與人文關懷的複合式文化場域，致力促動閱讀與文化交流。1999年創新啟動24小時書店經營模式，開啟民眾零時差閱讀生活，曾獲《TIME時代》雜誌「亞洲最佳書店」、《CNN》「全球最酷書店」等肯定。誠品書店持續以款待心意與專業服務，多元運用書店空間，由閱讀出發，讓人們在書與非書之間，體驗人文、藝術
13a87a58-0295-4d70-88ad-5ea0d4b5578d,信義區,臺北市信義區松壽路２０號１至３樓丶１８號１至３樓,威秀影城股份有限公司信義分公司,威秀影城(VIESHOW CINEMAS)為台灣最大的連鎖影城，全台16座據點，擁有最出色的播映設備，除一般廳外，特殊影廳分別有IMAX、4DX、GOLD CLASS頂級影廳，亦深耕海外直播演唱會、舞台劇，並放映NTLIVE英國國家劇院現場，多角化經營而讓威秀影城成為台灣影城界的領導品牌，將影像事業推展為文化產業。
14ff46d2-e920-43de-b9ec-51ca40a9ada0,信義區,臺北市信義區松高路12號,街頭藝人)_9Gna,台北市街頭藝人、駐唱歌手-吉他彈唱  日常出沒在台北酒吧、咖啡廳or信義街頭~
155de23e-e0f3-43c5-a51b-c7dddd5f683a,信義區,臺北市信義區光復南路133號,松菸風格店家-A5,一個讓創作者與創作者、消費者、使用者交流對話的空間。延續創新整合與空間原有之創造精神，強調實作精神的前店後廠模式、傳達夢想實踐與品牌精神的快閃店模式、展現松菸製造的創意整合實體產品概念。
15934e1d-1286-4731-9419-238844e47dac,信義區,臺北市信義區永吉里松隆路３２７號,互愛人文志業股份有限公司松隆營業所,臨近松山火車站 松山捷運站
18831768-d5a1-40b7-93d8-318e7520aa05,信義區,臺北市信義區香堤廣場,街頭藝人-林易辰,讓我們的歌聲進入你們的生活～
1a8ea948-2964-4699-b6d9-a9dda319cff7,信義區,臺北市信義區信義香堤廣場,街頭藝人-傅琬茹,取材於自然界中的美好，採用花、果、葉、貝、石等製成，藉由飾品襯托出獨特優雅的脫俗氣質。
1ac5f475-d153-46e9-bd88-c3047359cc5c,信義區,臺北市信義區信義徒步區  ,街頭藝人 陳冠瑋薩克斯風,台北市街頭藝人。 薩克斯風演奏國台英日語中外古典及流行歌曲
1f8f6e95-c7b5-4859-be32-3fea15ce6448,信義區,臺北市信義區安康里松德路２０４號,大悅二胡專門店,以經營全新二胡與相關產品為主，所有的胡琴都由專業人士親自挑選，為想要購買二胡的朋友嚴格挑選把關；入門款到收藏版二胡均有提供。
22c50342-a407-47fa-a154-51cc6292cf31,信義區,臺北市信義區信義徒步區,街頭藝人-冒險琴人Crystal,帶著小提琴四處走跳的Crystal，喜歡把音樂分享給大家！
2bac66f0-cb59-4ee0-b396-b67e787acea1,信義區,臺北市信義區西村里松仁路５８號１０、１１、１２、１３樓,威秀影城股份有限公司松仁分公司,威秀影城(VIESHOW CINEMAS)為台灣最大的連鎖影城，全台16座據點，擁有最出色的播映設備，亦深耕海外直播演唱會、舞台劇，並放映NTLIVE英國國家劇院現場，多角化經營。【MUVIE CINEMAS】，含6個一般廳、1個TITAN SCREEN巨幕影廳及1個MUCROWN頂級影廳，全影廳採美國知名THX認證，放映機皆為4K雷射投影，音響則為隱藏式 7.1 環繞音響，座椅全採用尊榮皮質座椅
2da2adbc-eebc-47ed-b4dc-73b4d16b8393,信義區,臺北市信義區光復南路133號,台灣設計館,「台灣設計館」為全球華人第一座以「設計」為展覽主軸之專業博物館，於2011年正式營運。館內典藏台灣及設計發展史上重要的經典設計品，不定期推出多元化、跨領域之主題特展，展出國內外設計趨勢及重要設計獎項得獎作品。透過主題策展及不同領域的設計展演，傳遞生活美學及美感教育。
2ed212f1-506b-4f73-8e72-d72fe5e7ab67,信義區,臺北市信義區香堤廣場,街頭藝人-葉炳隆(懶馬克)薩克斯風演奏,雙北薩克斯風街頭藝人，經常於台北捷運地下街，板橋車站二樓購物廣場，101捷運廣場，新店IKEA等處表演
