ID,行政區,地址,店名,店家說明
06433d19-b295-4e7e-a3ef-81fd12af55e8,北投區,臺北市北投區中庸里大同街２０２之４號１樓,溫泉小舖(彩智文創小舖),我們是北投在地景點文創商店!由北投在地設計由北投溫泉出發!做出獨有商品湯花溫泉湯花皂.湯花粉.北投景點在地馬賽克磁鐵 葉脈數簽!北投伴手禮首選.
0e88e970-4a7a-4117-be3f-62020b124fb7,北投區,臺北市北投區東華里立農街二段２６９號１樓,日日文創舖,各位同好大家好： 日日文創舖位於陽明大學山腳下。 日日容納各式文房具及文創小物，期待成為一個溫暖舒適的文創環境供所有愛好們彼此交流～ 同時，日日也準備了從日本空運來台的一番賞與新款扭蛋與大家同樂！ 期待各位能夠享受在日日的時光🤗
1dff96ba-701b-43a0-bbaa-9ea66942bacf,北投區,臺北市北投區八仙里大業路１０號地下一樓,逗創意有限公司,創立於 2018 年的 DoBo逗創意 傾心「打擊樂」多元與熱情的鮮明個性 致力開發製作優質的音樂文創商品 希望透過「音樂元素」為文創商品設計 注入更多自由的溫度 由簡單的音樂元素延伸到生活周邊商品 從角色文創商品到專業音樂週邊 除了原創設計亦由專業樂團擔任評測 無不希望支持 DoBo逗創意 的愛好者 都能開心體驗，安心使用 同時發現生活中每一顆跳躍的音符
201390ce-7864-4c15-9609-88edd687fc24,北投區,臺北市北投區一德里中央北路４段４５０號１樓,茉兒書局,"圖書全面85折,預購圖書79折起,美術材料琳瑯滿目,紙材豐富"
2a9e2ef2-9720-45b9-8852-bd7f909910d4,北投區,臺北市北投區實踐街２３號１樓,廣奕堂書局,圖書.文具.禮品.玩具.美術用品.種類齊全......
2cd3a4c6-5abb-4416-8f75-d116e83c6db4,北投區,臺北市北投區中心里七星街１號,新北投車站,日治時期為發展新北投地區溫泉觀光產業，興建新北投支線，於1916年(大正5年)設置「新北投乘降場」後改稱為「新北投驛」， 新北投地名，由此而生。新北投車站為北淡線甚至是臺北市僅存的百年車站，其站體為木造結構，簷架下的雕花托座及1937年因擴建站體產生的3+1組合老虎窗， 為車站建築一大特色。 然1988年因北淡線停駛而走入歷史並將站體拆遷至彰化台灣民俗村。
54b8c06b-0a53-4caa-a221-58bb91372793,北投區,臺北市北投區中央里磺港路１０號１樓,新生活書局-北投店,新生活書局流行館於民國80年第一間店於北投開幕。販賣書籍、文具為主的書局文具店。舒適購物環境，更提供多元支付方式，給您更便利的購物體驗。
557ba702-bc9b-4d3f-b621-e91d4db73a1c,北投區,臺北市北投區東華里東華街二段３８０號１樓,有河文化有限公司,有河書店位於捷運淡水線唭哩岸站1號出口，出站後3分鐘即達。店內販售以新書為主，並供應咖啡、茶等飲品，不定期舉辦各種講座或文藝活動。
57b67686-03c8-43e3-9ad8-51cb395de6c8,北投區,臺北市北投區湖田里竹子湖路１-２０號,石尚自然探索屋陽明山店,憑台北熊好券 門市多種優質商品 歡迎入內參觀選購！
5a76d384-d885-409e-9d7f-0a8326f0e7e6,北投區,臺北市北投區立德路2號,互愛人文志業股份有限公司關渡營業所,"靜思書軒位於大愛電視台一樓,期待提供人們一個沉澱心靈的處所,透過周遭的氛圍及書香.茶香.咖啡香.人文香,品味心靈香,享受悠遊書海. 除了書籍以外,更有影音.環保生活用品.食品.文具精品"
