ID,行政區,地址,店名,店家說明
04d9d5fc-fc10-42e7-8290-fb9b464cca04,士林區,臺北市士林區菁山里菁山路１０１巷２４６號,石尚自然探索屋擎天崗店,憑台北熊好券 多項優惠等你拿~  門市多種優質商品 歡迎入內參觀選購！！
0ca3af82-87a3-4af3-9bfc-916bcbade710,士林區,臺北市士林區天母東路8巷27號7樓之4,台灣芭蕾舞團,※使用熊好券購票電話：0955 036 870  華小姐 ※2022 台灣芭蕾舞團創作演出「細雨灑落群山–蕭泰然C調大提琴協奏曲」（https://www.opentix.life/event/1559062624898613252） 台灣芭蕾舞團創立於2017年，由在台灣芭蕾舞蹈教育默默耕耘近三十年的舞者/ 編舞家/芭蕾教師莊媛婷所創立。秉持著自身對芭蕾的熱愛，以及對台灣芭蕾教育的堅持，創立了『台灣芭蕾舞團』，期待以芭蕾藝術做為媒介，培養藝術欣賞人口，在台灣各個角落散佈文化種子。
0fd1d05e-b085-4796-aff8-a17d63193ef5,士林區,臺北市士林區捷運士林站-士林廣場,街頭藝人-趙仁禮,台北市街頭藝人
13864293-8830-4ea1-9466-217aafcc2300,士林區,臺北市士林區承德路五段55號,如果兒童劇團(如果兒童心劇場),這是在兒童新樂園內屬於孩子們的心靈劇場  每週一休館 平日場次:13:00 假日場次:11:00 13:00 14:00  ★票價資訊： ◎演出票價：100元 ◎購票地點：兒童新樂園兒童劇場入口處
31163a7b-7ab6-4ab4-9fdb-ab90d0d0e834,士林區,臺北市士林區福林里中正路２３５巷４４號,胡思二手書店,胡思二手書店士林店位於「士林捷運站」1號出口右側。書店販售各類中、外文二手書籍，類型包含文、史、哲、藝術、企管財經、生活休閒及童書等；店內也提供收購二手書籍服務，希望讓珍貴的知識繼續傳遞，實踐「人文、環保、知識再生」的企業價值。
6504d078-f776-4aab-be49-cd0635ee6e5f,士林區,臺北市士林區承德里基河路２６號２樓,傑優文化事業股份有限公司,主要營業項目為：音樂教學管理顧問業、圖書及有聲出版事業、樂器及音樂相關商品批發零售。
65c5b006-d912-4903-863b-ddcc9bb71257,士林區,臺北市士林區臨溪里至善路２段２２１號,國立故宮博物院附設博物館商店,故宮商店販售故宮出版之書籍及精美的文物衍生性商品超過三千項，讓參觀民眾於觀展後帶回滿滿的感動。
6b434af5-cca6-4d57-8a0b-73b010f740f4,士林區,臺北市士林區天玉街３８巷５號１樓,敦煌書局股份有限公司天母店,"鄰近外僑學校及天母國小,隱身在天母商圈的巷弄裡,與異國風濃厚的餐廳比鄰而居,氛圍溫馨、鬧中取靜的社區型書店。  精心挑選適合全家大小一起共讀、學習的優良書籍,並針對在台外籍人士工作及就學需求,提供中文學習以及指定閱讀相關書籍推薦,而針對高階閱讀者,另外提供特殊書籍海外代訂服務。"
84409fd3-302c-4ae1-ae48-097c1f95db52,士林區,臺北市士林區忠義街４０號１樓,新生活書局-士林忠義店,新生活書局流行館於民國80年第一間店於北投開幕。販賣書籍、文具為主的書局文具店。舒適購物環境，更提供多元支付方式，給您更便利的購物體驗。
89a850da-5d48-420c-8469-a12a444d9bfc,士林區,臺北市士林區福德里中正路３２３號,墊腳石士林店,墊腳石士林店緊鄰捷運站以及士林國小，因應周邊社區型、家庭需求為主要的經營型態，提供當地人最舒適及熱誠的服務軸心。
8a7bd8b2-a7e8-4311-8d94-5a993dd9f5bc,士林區,臺北市士林區承德路五段55號,台北樂Fun文創館,舉辦優質展覽，並協助策展主辦單位，連動線上線下通路全省售票
98bb1962-119f-4ebc-a05c-8b4e9d42ab70,士林區,臺北市士林區信義香堤廣場,街頭藝人-李灌晏,街頭藝人
98f66440-72b4-4723-9227-89663c6e13a3,士林區,臺北市士林區兒童新樂園,街頭藝人-YoYo氣球,"逛街走走,氣球要有! YoYo小丑現場提供多樣動物氣球.卡通氣球.手摺創意氣球互動實作,可愛又好玩,喜歡氣球的小朋友千萬別錯過!"
99f45982-1bac-4166-b178-b7cd823953b5,士林區,臺北市士林區文林路２５１號１樓,宇音樂器行有限公司,本公司商品包含各類中西樂器、樂譜、古典樂器、鍵盤、國樂器、打擊樂器、熱門樂器、管絃樂器、音響器材…等皆有販售，並包含最豐富的周邊商品，除了享受一次購足的便利外，更讓您擁有多樣化的選擇。
9e9f5225-6091-4fde-a6dc-b24f0df5c4ff,士林區,臺北市士林區陽明里華岡路５５號,敦煌書局股份有限公司文化大學店,身為語言學習第一把交椅的敦煌書局，有種類齊全的各類成人語言學習書籍、各項檢定考用書，及各語言檢定考試資訊，不管是英語、日語、韓語、法語還是德語，通通不怕你來找。備齊各類型書籍，讓您不僅有完整的教材學習資源，還能從原文小說及各國翻譯書得到文化滋養。店內不定期舉辦各類講座、活動等，並設有蘋果電腦校園專櫃、便利的立可得拍照相片機及陳列各式必備文具、3C商品、日常用品。
b3cd8f50-ea65-4588-b307-d2eb1e7758bb,士林區,臺北市士林區舊佳里文林路５４６號4樓,郭元益士林博物館,傳承百餘年的郭元益，為保存台灣糕餅珍貴資產於2001年創設郭元益糕餅博物館，引領台灣文創產業的DIY風潮。活動涵括糕餅製作享受手作樂趣並以融合教育與文化觀光傳承台灣傳統風俗與餅食文化行塑新生活美學。士林博物館位於郭元益士林老店原址，一樓老店的嶄新風格展現郭元益與時俱進的創新精神館內收藏郭元益百年來的發展軌跡，更可一覽台灣人生活中的禮俗文化與糕餅演進，讓傳承的路上留下值得珍藏的共同歷程與風俗記憶。
b47a5bf3-9bfb-4cc7-a166-ad8e5d90d70f,士林區,臺北市士林區天母東路55號,艾逸國際有限公司,坐落於熙攘城市中 附近百貨林立、交通便利  時尚與低調奢華融合 寬敞卻保有隱私 三不五時提供「高貴不貴」服務 結合現代養身與中醫穴道原理 讓您解放壓力、心靈頓時找到出口 同時一掃疲倦身軀  在步調快速的此刻 您有多久沒有好好享受生活、享受人生？ 或許，來三不五時您就能找到答案
bea21917-952a-4555-827a-d43604a78bf2,士林區,臺北市士林區陽明里國泰街３號,朱里昂法式廚房,"朱里昂理念結合當地食材和優美環境設計,讓大小朋友享受愉快的每一天. 輕鬆悠閒的陽明山風情,輕食以及創意餐點,美味下午茶以及法式冰淇淋享受大木造房美式草地"
c0be3521-215f-4705-b7a8-a6f7f6310b17,士林區,臺北市士林區富光里葫蘆街１０８號1樓,全貿樂器有限公司,全貿樂器有限公司自西元2000年成立後，以「合理價格、完善服務」為宗旨，努力不懈的推動台灣音樂市場，至今並成功爭取成為國外數十家知名大廠的台灣獨家銅管樂器總代理
cd1be9e2-013d-4cb1-94cd-70ed11ded499,士林區,臺北市士林區中山北路七段140巷4號1樓,海人選品,我們專注於“自由潛水”領域，自2010年開始從事教學與裝備代理，具備AIDA世界自由潛水協會裁判、PADI專業潛水教練協會最高等級自由潛水教練資格；曾於國內舉辦自由潛水競賽，並受邀擔任國外賽事裁判、協助PADI美國總部做技術示範...等。 目前為台灣區唯一專營自由潛水的網路裝備店家，代理義大利、希臘...等歐洲精密碳纖維品牌與日本頂級防寒衣，並持續與國內外潛水人士交流。
cf9be2e3-4834-4351-8418-828a762ff167,士林區,臺北市士林區天山里中山北路７段１５２之１號１樓,新生活書局-天母中山一店,新生活書局流行館於民國80年第一間店於北投開幕。販賣書籍、文具為主的書局文具店。舒適購物環境，更提供多元支付方式，給您更便利的購物體驗。
d55be96b-2838-494e-93a6-e7aa503498f3,士林區,臺北市士林區天祿里中山北路６段４２０號１樓,新生活書局-天母中山二店,新生活書局流行館於民國80年第一間店於北投開幕。販賣書籍、文具為主的書局文具店。舒適購物環境，更提供多元支付方式，給您更便利的購物體驗。
dba8496f-6ad9-4377-9519-893014fda903,士林區,臺北市士林區天母西路3號之32-52號,金石堂書店天母店,秋‧走讀 - Retro 復刻經典 即日起~10/31 滿599送100元電子禮券 參展單書套書79折、特別推薦商品72折  金石堂聖誕禮物展 11/1-12/15禮物書展72折起 11/17-12/25聖誕禮品展6折起 全館滿599送100元電子禮券 週六日限時童書.玩具幣2倍送
dcd2b838-a364-4fbe-9c5c-32ee0b2576a8,士林區,臺北市士林區名山里雨聲街１２０號,芝山文化生態綠園,芝山岩經內政部於民國82年核定為二級古蹟。「芝山文化生態綠園」是我國第一座文化生態公園，園區內各項設施皆在突顯本地豐沛的文化、生態資源：園區所在為全國唯一一處擁有七個文化層的地方、台北地區唯一現存『芝山岩文化層』遺跡之所在。另外，此地地質是2000〜2200萬年前所形成之大寮層，清朝及日據時期封為保安林和天然紀念物，擁有台北近郊難得一見的巨木景觀，是台北都會中珍貴的休閒綠地及森林寶庫。 走訪「芝山
f1020b7b-c334-4e13-88e4-22cd3521c385,士林區,臺北市士林區菁山里菁山路１０１巷１７０號,石尚自然探索屋冷水坑店,憑台北熊好券 多項優惠等你拿~  門市多種優質商品 歡迎入內參觀選購！！
f5913ece-a609-42f4-a10b-514b5eecde4e,士林區,臺北市士林區承德里基河路２６號２樓,譜卡文化事業有限公司,敲敲打打是人類與生俱來的本能，心跳是上帝賦予人類的節奏，打擊樂符合人類的天性本能，且素材豐富多元，生活中隨處可得，最能激發孩子的學習熱忱與創意，讓孩子感受「處處是樂器，時時有音樂」的美妙。 以打擊樂為媒介讓孩子自然接觸音樂，課程內容涵蓋敲敲打打、遊戲、律動、唱歌和實際演奏，孩子透過引導，接觸節奏、旋律、拍子、速度、音量、重音等音樂元素，再用合奏，讓孩子由簡單的到繁複的作品，逐步達成音樂養成的目標。
fa941f51-c8a1-4820-87d9-260aa01fde56,士林區,臺北市士林區天福里忠誠路２段２０２號４－９樓,新光影城股份有限公司台北天母分公司,以美式影城管理經營，服務廣大熱愛電影的消費者。帶給您寬敞的空間與美好的視覺饗宴。
fcff929d-4bb5-447e-a053-24f5ec0bfdb1,士林區,臺北市士林區仰德大道二段141號,林語堂故居,「林語堂故居」座落陽明山腰，興建於民國55年，原址為國際知名作家林語堂生前最後十年定居台灣的住所。目前由臺北市文化局委託東吳大學經營管理，為結合展示參觀、藝文講座、餐飲休憩的多元化空間，完整呈現林語堂的格調思想、發明創意、生活態度與文學成就。
