ID,行政區,地址,店名,店家說明
049f5bf9-1b08-413b-b1b2-1eb52dd15076,大安區,臺北市大安區師大路125號地下一樓,華欣書店,『讓好書豐富你的生活，讓豐富的知識成為你的實力。閱讀讓世界更美好！』 華欣書店除了提供各式好書以外。還有跟陽光基金會合作「你的舊愛‧我的新歡」二手書捐贈。不僅為二手書找到下一個落腳處，更為陽光傷友復健之路增加了前進的動力。
04db26cc-4a79-468e-91cb-80a7e0ddd512,大安區,臺北市大安區民輝里八德路２段２９號,新瑞書店有限公司,漫畫輕小說專賣店
0657a70b-4f44-4903-93c2-9e136c04cd5e,大安區,臺北市大安區忠孝東路３段２１７巷７弄2９號,靜思書軒-大安店,希望客人在書軒，不只是品味茶香、咖啡香、書香，聽到職工輕聲細語的招呼，語言也香；感受到人與人之間的和氣，也有人品香，也就是每家書軒都洋溢「人文德香」，讓人身處其中，聽到的一切聲音、看到的一切景物，還有品嘗在口裡的一切，都感受得到馨香。
0b97682e-fd31-4d2f-994e-f72803ade3cd,大安區,臺北市大安區新生南路三段54-5號,二手書店,*本店販售各式二手書籍，單筆消費滿500元即可成為永久會員，享有85折優惠（特價書除外） 另外有販售日本文具雜貨，會員也可享85折優惠 ★閱讀豐富我們的生活、讓世界更美好
0e231f51-4304-452f-9ae2-7bcf07402e86,大安區,臺北市大安區安和路１段７８巷１６號,色瞇瞇海報龍,粉絲專頁連結：https://www.facebook.com/superposter 成立於1996年，是台灣唯一的全方位海報專賣店，也是國內最大的海報店。物美價廉，公開標價，老少無欺。 服務項目： ● 專業裱框(畫框、相框、鏡框、證照框) ● 真跡名畫與裝飾畫 ● 複製畫 ● 歐美進口的各種海報 ● 影視相關收藏品 ● 印刷 ● 大圖輸出/相關配件展架 ● 平面設計 ● 個性商品與行銷用紀念品
0eb5fe02-b994-41b9-8893-652b0d30dfcc,大安區,臺北市大安區誠安里忠孝東路３段２５１巷８弄１６號１樓,moom bookshop,moom bookshop 設立於 2016 年，店面位於台北市。販售藝術、攝影相關書籍，並引進海外獨立出版物、獨立雜誌。  蒐集來自世界各地的獨立藝術出版商，將他們獨到的品味呈現給臺灣的攝影書迷。同時引進眾多攝影大師的過往經典攝影集，讓這些時常聽聞的重要著作能夠踏入臺灣書迷的眼界。
0f8a1192-5477-44e5-9c08-775d53bda3a8,大安區,臺北市大安區忠孝東路四段69之1號2樓,10平方文具概念館,將日常變成自己喜歡的模樣，就從一本熱愛的手帳、或是一支好寫的筆開始。 這裡有新潮文具、學生文具、辦公文具、電腦周邊、居家生活用品等好物，豐富您的每一天！  【門市資訊】 忠孝店 台北市忠孝東路四段69-1號2樓 TEL：02-27712659  南京店 台北市松山區南京東路四段70號 TEL：02-25778386  南海店 台北中正區南海路48號 TEL：02-23567768
100a780e-133a-4b99-80f4-3091a8ed56f6,大安區,臺北市大安區光武里忠孝東路４段５９號５樓之D,桌遊地下城,"台北東區最大桌遊休閒空間，買、玩、租、學一次到位。  上百款遊戲自由選購、解封後超過300款遊戲現場遊玩。  另有專人諮詢桌遊活動及場地租借。  地下城希望大家把這裡當成自家客廳，分享快樂與歡笑。 Play, We connect."
117d1574-49e3-45f7-bbe3-f8a4e106bc67,大安區,臺北市大安區忠孝東路4段15號10樓,Level10,Hi 我們是 Level 10，一群年齡總和超過 300 歲的音響工程師。 UPstage 360 挑戰傳統音響設計，與音響品牌 soundmatters 及 TB speaker 合作，承襲 30 年聲學設計與 NASA 微型音響技術，帶來聽覺享受再升級。專業技術與創新結合，將最好的聲音，分享給所有熱愛音樂的靈魂
11e50926-f491-4df3-a149-ba6645ece0fc,大安區,臺北市大安區和平東路一段121號B1,蕙風堂筆墨有限公司宣圖部,蕙風堂成立於1982年，初期以筆墨文具為主要產品，1987年起增設出版部，專業於碑帖、書論、畫冊等之出版發行，迄今已出版二百餘種圖書及三十餘種寫字簿，並在全台四十餘家筆墨專賣店及各金石堂書店、誠品書店銷售。
133bba82-a0ac-4d44-8ff9-6d20b52f74f0,大安區,臺北市大安區車層里忠孝東路四段２３３號５樓之３,ShopSmart,ShopSmart明星人氣精品www.shopsmart.tw 歐美日品牌亞洲區原廠代理商 各電商通路之超人氣賣家 全部現貨特價供應 精選每一季必備的熱門單品 提供您搭配不同造型穿著的時尚性感創意風格
