ID,行政區,地址,店名
021fab96-8045-4add-9f8d-471b267223b6,文山區,台北市文山區漢霖民俗說唱藝術團,漢霖民俗說唱藝術團
05123884-101c-4b72-97e6-bc74d11d9ab6,文山區,台北市文山區石尚動物園商場兩月兩日,石尚動物園商場兩月兩日
0be4d7f1-a036-4fd8-a668-9d983df61e2e,文山區,台北市文山區享亮文具樂園木柵店,享亮文具樂園木柵店
12ca03ca-e145-460f-9a13-8fbee4cf3a8b,文山區,台北市文山區FulownA花藝設計,FulownA花藝設計
1bb6ddf0-6bcb-40c1-a820-728b838b038a,文山區,台北市文山區石尚自然探索屋動物園雨林店,石尚自然探索屋動物園雨林店
2434e82b-4673-4c79-b19d-5bafccd53203,文山區,台北市文山區諦 Veganism共響空間,諦 Veganism共響空間
2fb7d219-ced8-4f31-8a4a-2f4b3d49966e,文山區,台北市文山區麗文文化事業機構-巨流政大書城,麗文文化事業機構-巨流政大書城
44ac11ca-4aa4-4d52-8ac0-84646722fac4,文山區,台北市文山區石尚動物園商場媽咪廚房,石尚動物園商場媽咪廚房
4cb6b758-b482-4e76-9179-b0325f49bdd9,文山區,台北市文山區雨禹好生活,雨禹好生活
4f48f214-aede-43e0-8d13-49518f5c71d2,文山區,台北市文山區財團法人拉縴人文化藝術基金會,財團法人拉縴人文化藝術基金會
53d7c8d4-ce35-450c-8558-fb9f1673c63d,文山區,台北市文山區石尚自然探索屋動物園娃娃車店,石尚自然探索屋動物園娃娃車店
5b076319-4d8e-4b49-a083-f433441377c8,文山區,台北市文山區石尚動物園商場頂呱呱,石尚動物園商場頂呱呱
5c81aabd-694f-42b8-bd48-5ecf71ccb933,文山區,台北市文山區國聖文化事業有限公司,國聖文化事業有限公司
640e5839-0631-4845-8419-a9650ce1a5e0,文山區,台北市文山區金玉堂文具批發廣場-萬隆店,金玉堂文具批發廣場-萬隆店
67b0296c-5d1e-448c-b558-18fb0b32cc39,文山區,台北市文山區石尚動物園商場愛爾蘭瘋薯,石尚動物園商場愛爾蘭瘋薯
6df198fc-15ab-4a71-b96c-b12ae42de7a7,文山區,台北市文山區超仁書局,超仁書局
74618d72-1c10-4961-b022-3d562a27fca4,文山區,台北市文山區石尚自然探索屋動物園HIPPO SHOP,石尚自然探索屋動物園HIPPO SHOP
82bd2ed7-4da5-4a35-be03-2dc184154d64,文山區,台北市文山區石尚動物園商場胖卡餐車,石尚動物園商場胖卡餐車
899be6e4-44d4-43cc-a7a5-5456bed8ef21,文山區,台北市文山區石尚動物園商場摩斯漢堡,石尚動物園商場摩斯漢堡
9a4224b6-afff-4e09-bbde-b75b6ec10fdd,文山區,台北市文山區彩琿實業有限公司景美分公司,彩琿實業有限公司景美分公司
cee96612-14f1-4f81-ac4b-2386be9eb8bd,文山區,台北市文山區百老匯影城,百老匯影城
e0f1ddae-2b45-4b4f-b5ee-fb0ef55480eb,文山區,台北市文山區石尚自然探索屋動物園鳥園娃娃車,石尚自然探索屋動物園鳥園娃娃車
e97a361f-189c-48ed-9898-c548aecde643,文山區,台北市文山區石尚動物園商場滷春秋,石尚動物園商場滷春秋
ea6505cf-80ce-447c-aee0-589f953a37c9,文山區,台北市文山區再興生活文化有限公司,再興生活文化有限公司
eb2ce769-12dd-4731-b091-8cb8eeb38e6d,文山區,台北市文山區石尚自然探索屋動物園店,石尚自然探索屋動物園店
efb54239-96a5-4b5c-a963-3a9b3854d06e,文山區,台北市文山區石尚動物園商場墨西哥廚房,石尚動物園商場墨西哥廚房
