ID,行政區,地址,店名,店家說明
096ea5ba-612a-452a-b4c1-67fde72d9f96,松山區,臺北市松山區復興南路一段39號5F,紀伊國屋書店（股）公司,官網: www.kinokuniya.com.tw FB: www.facebook.com/KinokuniyaTaiwan 【台北微風店】台北市松山區復興南路一段39號 (微風廣場5F)TEL：02-2721-2304
3e9cb36d-4554-4f9f-94f4-458ca2f8b1b4,松山區,臺北市松山區民生東路五段36巷10弄16號一樓,意傑藝術,意傑藝術代理日本「音樂的繪本．動物樂團」以及迪士尼經典音樂會，更有國內多檔自製節目「熊霸森林」、「大地音樂廳」等
4152ec43-82be-481f-af4e-610017f8ff59,松山區,臺北市松山區中正里復興北路１７９號２樓,E書漫時尚閱讀概念館(復興店),個室包廂~雜誌漫畫 ~ 網際漫遊 ~ 電視DVD ~ 餐飲美食 ~ 咖啡茶飲 ~ 團體歡聚 ~ 商務洽談~ Wi-Fi Free ~ 行動辦公室 ~ 背包客 輕便旅宿~ https://esm27151569.pixnet.net/blog
419362d0-9fb1-4bd2-81d0-d9e411e6bcb5,松山區,臺北市松山區南京東路三段270號8樓,果陀劇場,果陀劇場的創作闡揚人類良善本質及人性共通的生命價值，以其在舞台劇及歌舞劇豐沛的創作力，成為華人世界獨樹一格的表演團隊。30年來，80多齣作品，內容古今中外、包羅萬象，從不在戲劇裡說教。當觀眾持著票券，走進果陀這個奇幻的劇場空間裡，存在於舞台上下那道真實與虛幻間的界線被輕巧地抹去，一場華麗的心靈冒險隨即展開。近期作品：《最後14堂星期二的課》、《解憂雜貨店》、《我的大老婆》、《生命中最美好的5分鐘》
4482e9d5-5fe2-4e14-8071-13351eff735e,松山區,臺北市松山區東勢里南京東路４段１４１號１樓．２樓,里仁事業股份有限公司松山分公司,"里仁致力於有機食品及用品的推廣,  廣為大眾信賴，從慈悲心出發，秉持”誠信互助感恩”的核心價值，以契作保障有機耕作農友；與廠商合作開發安心商品；鼓勵本土有機天然食材，減少「添加物」及加工層次；杜絕人工香料、化學色素、合成防腐劑，實踐友善大地的信念。 里仁期許與農友、廠商和消費者，以誠信心手相連，善待環境、用心生產，提供好物，呵護消費者健康。 歡迎您一同加入友善環境的行列，共同串起互助的良善循環。"
5cbf0927-0f9f-4020-8c79-ca247eaeba0e,松山區,臺北市松山區東昌里民生東路４段１００號１樓,美好文具室,「寫手帳」是一件能讓人一直保持少女心的事，因為你會一直被可愛的東西吸引、用可愛的東西佈置你每天的心情。雖然寫手帳玩文具是一個又大又深的坑，但我們還是覺得身在這個坑裡真的是件很美好的事。 逛文具店、買文具、拼貼手帳、整理書桌，每樣都很療癒！  《美好文具室》是一間抱持著這樣的心情而成立的文具店，希望每個人都能在這裡感受到文具的美好。
6cf86c8d-6a17-43f3-ad96-0abd7eb01eb7,松山區,臺北市松山區南京東路四段二號一樓(6、7號店鋪),LEADER 領袖人,2014年創立，以鐵人三項訓練為主軸辦理各式耐力運動，逐步整合週邊資源，實現城市運動之創生與行銷。
6e1ae492-e018-4da4-b640-45f4844df03d,松山區,臺北市松山區光復北路11巷99號B1,101文具天堂台北松山店,101文具天堂松山店，鄰近南京三民捷運站2號出口，本門市有販售辦公用品，體育用品，美術用品，3C商品，彩妝用品，手工藝品，幼教類圖書，食品，玩具，五金百貨，多樣化的商品選擇，讓您一次購足。
7238927a-e409-435d-980d-b3499fa69bbd,松山區,臺北市松山區復興南路一段39號,微風廣場店-微風影城,「微風影城」座落微風廣場7-8樓，以微風集團低調奢華的品牌形象，打造舒適影廳，並配置全新4K RGB雷射放映機，飽和的視覺影像將精準呈現每個畫面的細節、深度以及亮度，杜比Dolby Surround 7.1聲道的數位環繞音響，讓您觀影時如同身歷其境。 「微風影城」不僅讓您感受全方位的娛樂震撼，並提供美味的餐點，結合精緻高雅的購物空間、多元的藝文展演選擇，讓看電影成為一種身心靈的奢華享受，創造全新微風式美學生活。
7aa5213f-8152-4bdf-8b99-e5d3960a52ed,松山區,臺北市松山區介壽里民生東路５段５０號一樓,偉群多品屋商行,我們為深耕民生社區近九年的書店，店內販售各類書籍、文具、禮品、各類手作素材、卡片及美術用品．
7ae02091-c189-4258-afd5-58624f12d7df,松山區,臺北市松山區美仁里八德路３段１０５號﹒１０５號２樓,友人書局,本店有圖書、漫畫、雜誌、文具、體育用品、玩具等商品。
ab9a7c76-eadc-4582-8546-e2b9cd4efab3,松山區,臺北市松山區敦化里八德路３段２號６樓之５,與花 攀樹寫字,粉專：FB搜尋［與花  攀樹寫字］  可使用藝文券購買500元聖誕小禮［台灣本島7-11店到店免運］
c0ac5c0f-5dfe-4a31-a082-36c4d2cf0ddf,松山區,臺北市松山區八德路三段30號B1,ATB通伯樂器音響,ATB通伯樂器音響-松山旗艦店 有提供最新樂器/MIDI錄音/打擊/PA音響/DJ等數位商品的販售 還有二手商品買賣 雙練團室 音樂指導工作室 並提供多元服務如 樂器短中長期租賃 器材維修保養 影音安裝工程 PA音響活動等等 希望所有音樂人都能得到最正確與貼心的服務
db023e35-9f9d-4590-b939-f9c7295d60fe,松山區,臺北市松山區長安東路２段２１９號５樓之１,總督影城事業股份有限公司,使用熊好券每張電影票價200元整
e15f8275-b25f-4107-8233-234dca44c58b,松山區,臺北市松山區復盛里八德路４段７２巷１６弄１號１樓,英文漢聲出版股份有限公司,英文漢聲出版股份有限公司藏身在八德路巷弄裡，有一群人為了傳承民間文化、出版優質兒童讀物，默默耕耘了整整四十多個年頭。 如今，漢聲決定將長年從民間手藝獲得的感動分享給更多人。將民間藝術化身為產品，也精心挑選不同民間藝術大師的作品，當然，還有漢聲的出版品，都收納在「漢聲巷」這間村店裡。
e7a53757-5926-4476-b04c-f7a4b05b3b96,松山區,臺北市松山區南京東路四段2號1-10號店鋪,GIFTIE,"""GIFTIE 甜心禮物品牌，榮獲2019年米其林指南官方指定高級訂製！ 台灣首間《根據您的想法》讓您親自DIY手作全客製化銀飾，我們提供明星們喝的咖啡、不用出國就可吃到法國甜品師親自做的道地甜品、吃到熱門排行麵食及冠軍牛肉麵食，週末還可以聽到小巨蛋巨星們演唱會現場綵排音樂的特色禮物咖啡館！"""
fa545d2b-cdbe-48c7-a86e-0c928ad81012,松山區,臺北市松山區富泰里民生東路５段１９０號３樓,民生戲院股份有限公司,深耕社區，放映感動，是新民生戲院秉持的核心。 如果你喜歡綠蔭與文化，歡迎來到民生社區。 如果你喜歡電影，歡迎來到新民生戲院。
fef5ec8e-e294-4587-a18e-389c78e681e0,松山區,臺北市松山區東勢里南京東路４段１３７號地下室,書田書局,各類圖書、雜誌、辦公文具、學生用品、體育用品零售。
