ID,行政區,地址,店名,店家說明
00e73938-40e3-421e-8235-4426efb62e4e,萬華區,臺北市萬華區長沙街二段107號,金玉堂批發廣場-西門町店,提供您最齊全、最流行的新潮文具商品✂、美術用品🗿、生活百貨 、體育用品🏸、辦公用品📃、禮品🎁、及電腦周邊3C商品🖥，歡迎蒞臨選購。
05db7796-b0db-4f07-bb05-9054d044a9d1,萬華區,臺北市萬華區武昌街二段87號,街頭藝人-趙敏惠,在台北街頭表演的街頭藝人
06321efb-7db9-4f95-9398-1c26c40c55b5,萬華區,臺北市萬華區西寧南路177號(西門紅樓16工房內),TAIWANIZE,TAIWANIZE來自台灣，創立於2012年的時尚休閒品牌。品牌名稱「TAIWANIZE」有「台灣化」之意，也是品牌的核心精神—將台灣化的時尚設計置入生活，邁向國際。 我們的設計靈感來自台灣獨特的文化，再結合現代的設計風格，舊有的歷史背景結合新穎的設計手法激起獨一無二的時尚風潮。TAIWANIZE不厭其煩地設計、實驗、修改，只為追求最好的品質。
06e9fd6d-6746-4838-a47d-8495213938e5,萬華區,臺北市萬華區西寧南路70號3樓之10,吉兒龐克動漫日本服飾,動漫鬼滅／咒術迴戰／電鋸人週邊服飾，國內外超人氣｛貼圖繪師聯名原創品牌服飾｝ 熱門電玩明日方舟／原神印象概念服。 滿額送品牌環保購物袋，打卡另享９５折優惠
0b729047-dda8-47e4-ad86-50a42e69a89c,萬華區,臺北市萬華區西寧南路１７７號　西門紅樓１６工房１樓,Agaric Garden,致力於幾何造型變化之金屬工藝首飾設計，將金屬結合礦石、自然等元素，並與神秘學的概念融合，因此可以在飾品當中發現具有與星座、星體、能量、神話等意象， 變化出各種流行配件及首飾。為符合現代人穿戴首飾習慣，設計研發了許多特殊穿戴的首飾，領針、一飾多戴等功能性首飾，解決了都會人群面臨各種場合的穿搭需求，也是選擇贈品禮物的絕佳選擇。
0ef72cb1-9dcb-42b6-b760-117a09f3fec2,萬華區,臺北市萬華區西門徒步區,街頭藝人_阿普蕾一號,街頭藝人 手工設計製作飾品 現場客製
1408d365-e0b6-4675-9fe1-0ada174602e7,萬華區,臺北市萬華區峨嵋街52號4樓,今日秀泰影城,位於熱鬧的西門町商圈，日式極簡風格、先進的播放設備、日本進口的座椅、舒適的觀影環境
186dbd85-7629-4e4d-baaf-88d86ee57f06,萬華區,臺北市萬華區萬壽里漢中街５２號８、９、１０、１１樓,喜滿客影城絕色店,台北西門町電影街，這名號傳承了幾十年，電影重症患者皆聚集在此，愛看電影的觀眾不分世代；而愛與觀眾分享電影的，是熱情始終如一的喜滿客影城。 看電影，你會想到西門町，到了西門町，你會發現沒有比喜滿客影城絕色店更好的選擇。
18860f5e-4117-4f54-8246-9b79b153a304,萬華區,臺北市萬華區漢中街１１６號７樓,真善美劇院,真善美劇院顛覆傳統電影商業風格，開創文藝先鋒，堪稱台灣地區最早最用心經營藝文電影之首輪戲院，隨時提供給您最新、最優質的藝文電影。長期與藝文電影發行商相互合作，走一趟西門町，來到真善美劇院，保證你會獲得最多元、最滿足、最意想不到的享受。
2d25ccc2-bd77-41ce-88b4-1e1824a26d12,萬華區,臺北市萬華區西門徒步區,街頭藝人-公仔小舖,客製化寵物、人物公仔
2e18c2d4-a0d5-4e19-b432-8c686684b2e4,萬華區,臺北市萬華區成都路10號,阜東有限公司,優質的台灣紀念品 在西門紅樓設有專櫃
