ID,行政區,地址,店名
002919e0-0df4-4ba2-97b7-4577110de96f,中山區,台北市中山區寶島眼鏡長安東路分公司,寶島眼鏡長安東路分公司
003d12a7-bbf8-4089-ba25-c909f8967dd9,中山區,台北市中山區舞中閣 Alive Dance Space,舞中閣 Alive Dance Space
004ccb2b-7aa4-4f0f-bfb6-5737deaca6fd,中山區,台北市中山區ATT e Life 大直店_愛趣屋,ATT e Life 大直店_愛趣屋
009a859c-a133-4465-b856-5690bed86f7d,中山區,台北市中山區拉亞漢堡-北市農安,拉亞漢堡-北市農安
00be081a-4236-4e91-932f-9f2d20fef56e,中山區,台北市中山區麗晶精品-Coquology,麗晶精品-Coquology
00e5446e-aff1-4e27-bb91-9215bca181b9,中山區,台北市中山區50嵐實踐綠茶店,50嵐實踐綠茶店
0149d3d4-9b45-4e29-b0b2-f1609c026bbe,中山區,台北市中山區遠見天下文化出版(股)公司,遠見天下文化出版(股)公司
015b11c5-0e19-4f62-a3c0-cabadd6a9a26,中山區,台北市中山區好味全市集-非凡越式,好味全市集-非凡越式
020f8c8a-2cca-4aa1-8954-c85d3903a918,中山區,台北市中山區肥仔義起,肥仔義起
02b380b5-38e1-44dc-8900-1f34f2a92964,中山區,台北市中山區ATT e Life 大直店_SHOCK燒肉,ATT e Life 大直店_SHOCK燒肉
02cb9497-b192-4796-a1c6-f6bc0663c9ab,中山區,台北市中山區麗晶精品-Curious,麗晶精品-Curious
04904915-72e6-46d2-9bb3-c4766eaeaf8e,中山區,台北市中山區一之鄉股份有限公司南京東路分公司,一之鄉股份有限公司南京東路分公司
0497a031-6025-4dc9-9053-0ea1ca871b24,中山區,台北市中山區COMEBUY 林森欣欣店,COMEBUY 林森欣欣店
04a5425d-93c9-466a-860e-71c0f7c26093,中山區,台北市中山區One Ok Coffee & Biscuit,One Ok Coffee & Biscuit
04c69b6d-df5b-4cdd-8d5a-19d1c4d66ad2,中山區,台北市中山區CEO1950總裁藝文空間,CEO1950總裁藝文空間
05419e80-a276-41ab-9825-90fbab667420,中山區,台北市中山區ATT e Life 大直店_創室日韓時尚生活百貨,ATT e Life 大直店_創室日韓時尚生活百貨
058dd5ac-b437-469c-8543-93da9f195d5e,中山區,台北市中山區BOY FRIEND專業男士除毛,BOY FRIEND專業男士除毛
05cf2d3d-f6bf-4441-af09-7d323045bf07,中山區,台北市中山區新光三越台北南西店三館-GBA,新光三越台北南西店三館-GBA
05cf67ec-5faf-4fc6-8372-9255c86b35fa,中山區,台北市中山區順益汽車股份有限公司市民服務廠,順益汽車股份有限公司市民服務廠
06027909-d8dc-45bd-9e9f-108d6c91bc96,中山區,台北市中山區丰禾台北南京東店,丰禾台北南京東店
0627e3b0-6e1c-4453-a28a-bc7a3af832bb,中山區,台北市中山區N.j 正韓服飾,N.j 正韓服飾
06d75bef-5784-4aee-b805-b71191261231,中山區,台北市中山區起家雞行天宮分店,起家雞行天宮分店
06f473e0-f456-40ba-bcab-b25950357d0c,中山區,台北市中山區ATT e Life 大直店_熊一二,ATT e Life 大直店_熊一二
0735d575-f6d8-4cb7-a135-227d13e9e155,中山區,台北市中山區屈臣氏南京東店,屈臣氏南京東店
079bb6b4-f831-418a-97a1-cfcddfcbac64,中山區,台北市中山區麗晶精品-Boucheron,麗晶精品-Boucheron
08367a52-45ba-4579-ab0d-ec9ba66cfc8d,中山區,台北市中山區ATT e Life 大直店_tokuyo,ATT e Life 大直店_tokuyo
08ab7b3e-e93c-468c-af23-f9cf759de8ca,中山區,台北市中山區郭元益食品股份有限公司中山分公司,郭元益食品股份有限公司中山分公司
092d1613-af66-4579-ab77-0bf6326dddd9,中山區,台北市中山區屈臣氏林森北店,屈臣氏林森北店
0938982d-ff68-4d49-92de-8e9d720dd1d6,中山區,台北市中山區潮元素  中山一店,潮元素  中山一店
099392b4-3f1f-473f-8559-bd556f4ed829,中山區,台北市中山區啓美藥師藥局,啓美藥師藥局
09dbb33a-b31f-4bc3-8664-e9504a4aeecb,中山區,台北市中山區HOKE OKE 中山晴光店,HOKE OKE 中山晴光店
09f8c0ed-dbfd-419f-8b05-7a28224f8ff1,中山區,台北市中山區新東陽-林森店,新東陽-林森店
0a345fb4-4b2c-4a91-bbd9-51567fcbfddc,中山區,台北市中山區台北晶華酒店-萬象廳(4F),台北晶華酒店-萬象廳(4F)
0a40b00c-60fe-42a9-845a-24ef9fd9a666,中山區,台北市中山區豐霸通信有限公司,豐霸通信有限公司
0a55c8dd-b2d5-4c1d-a525-6ca94e48e12e,中山區,台北市中山區JR東日本大飯店台北-鉑麗安,JR東日本大飯店台北-鉑麗安
0a65a47f-0d17-4ae3-bf44-9cc94afa6508,中山區,台北市中山區怪獸小雞排-農安店,怪獸小雞排-農安店
0a7abf11-8491-4a0e-a4b4-b68f50a8b1c2,中山區,台北市中山區MST國際穿線團隊-松江門市,MST國際穿線團隊-松江門市
0b21f1d8-a2c4-413d-98d1-a6addf84ad25,中山區,台北市中山區ATT e Life 大直店_楽玩多,ATT e Life 大直店_楽玩多
0b6a4f7d-6e6c-48be-bd5e-6bbf5ac87a87,中山區,台北市中山區依娃精品店,依娃精品店
0bd4da2b-31ac-4f48-98be-19ab58f0d3d0,中山區,台北市中山區布娜飛紅酒餐酒館,布娜飛紅酒餐酒館
0c6f8d08-e772-4fc5-96af-2535bdf10a3d,中山區,台北市中山區金興發股份有限公司,金興發股份有限公司
0c74e232-2fd2-475e-835f-ca70ceb7f4b1,中山區,台北市中山區麗晶精品-Marina Rinaldi,麗晶精品-Marina Rinaldi
0c98b661-f66c-4f0c-a6b2-004534e48fbf,中山區,台北市中山區屈臣氏長安東店,屈臣氏長安東店
0cc6c2ca-2aba-41cb-beae-d278cc66cb97,中山區,台北市中山區肉老大頂級肉品涮涮鍋 中山錦西店,肉老大頂級肉品涮涮鍋 中山錦西店
0d718454-9185-4b8d-8437-7a8f42cb9885,中山區,台北市中山區麗晶精品-舊振南,麗晶精品-舊振南
0db1621b-4b3a-4879-8091-ca1d9790ff3e,中山區,台北市中山區好味全市集-好丘,好味全市集-好丘
0dc2da01-06d4-4a82-86f6-d655e6c5c82b,中山區,台北市中山區LT UpstairStudio舞蹈瑜伽工作室,LT UpstairStudio舞蹈瑜伽工作室
