ID,行政區,地址,店名,店家說明
003bc15b-a86c-459a-8aef-fd0f64894e9f,中正區,臺北市中正區寶慶路32號7F,遠百台北寶慶店-金錡,
005e1617-95e9-422a-8ab3-2cc78f20a8e6,中正區,臺北市中正區黎明里市民大道１段１００號台北地下街５３號店鋪,口口口玩具（市民大道店）,扭蛋/一番賞/盲盒/玩具
00850a09-c17c-4acf-af79-21c456849350,中正區,臺北市中正區寶慶路32號1F ,遠百台北寶慶店-SKⅡ                          ,
00dd68f3-f69a-4374-aafd-0004285f7b15,中正區,臺北市中正區南福里南昌路２段６７號,俱坊家具行,買雙人床墊送設計師款伴讀燈一支（不可與其他優惠並用）
00e7a2c7-193e-4c03-94c6-4225d156357c,中正區,臺北市中正區懷寧街36號2樓,巨擘書局有限公司,巨擘書局成立於1980年，專業經營「理、工、商、管」大學以上專業原文書，並期許作為大學專業原文書之「巨擘」而努力。
00faff64-66e0-49c7-b038-c74cf34e5370,中正區,臺北市中正區三愛里臨沂街７５巷１４號,東門豆漿店,人間煙火氣，最撫凡人心，早餐宵夜的好去處。 點小籠湯包送飲料一杯
01282cce-6fbe-43d1-8495-ed11f680e100,中正區,臺北市中正區重慶南路一段６１號,三民書局重南店,走過一甲子的三民書局，現已有重慶南路跟復興北路兩家門市，還有一個「書種齊全、服務迅速」的網路書店，繁體書、港版書、簡體書、原文書等一應俱全喔。 http://www.sanmin.com.tw/
017d75f3-dd94-4e09-bd08-71cd20622d50,中正區,臺北市中正區黎明里館前路６號３樓,台灣薩莉亞餐飲股份有限公司台北館前分公司,台灣、日本、上海、北京、廣州、香港、新加坡 店鋪1400多家、提供義大利風格歡樂豐盛飲食文化
01c19219-db4b-4904-aaec-a34f606b1434,中正區,臺北市中正區建國里延平南路１１１號２樓,WINK1號店,"Cocktails, music and straight friendly. #西門酒吧 #室外桃源 #歡唱表演 ＃小點飲品"
01e4ac6e-a2a0-496c-81d4-a54cdc7b26d6,中正區,臺北市中正區和平西路一段147號,灃興輪胎股份有限公司,"灃興輪胎目前為米其林馳加通路的成員之一,銷售各品牌輪胎,並提供四輪定位,快速保養,底盤維修,電腦檢測等,讓車主享受一站式的服務."
01fd1ec4-1dc2-41d8-aa37-9fa2420e3c50,中正區,臺北市中正區博愛路16號,長勵實業有限公司,長勵相機店是相機街歷史悠久的店家，本持著專業服務、價格公道的精神，為客戶服務，請大家有機會可以來逛逛喔！
020cd6be-2272-4e64-a99d-cf615e9f9469,中正區,臺北市中正區羅斯福路３段２３６－１號１樓２樓３樓,伯朗咖啡股份有限公司台北分公司,生活 從遇見Mr. Brown Coffee開始 每杯香醇的咖啡 分享著不同的生活與故事 伯朗咖啡館 與您一同迎接生活的美好片刻
02592a10-94e4-4a6c-99d6-f377d4241722,中正區,臺北市中正區黎明里懷寧街106-1號,TAKU日式串燒,日式串燒居酒屋
028238cd-6bd4-496c-adab-d45b779b3af5,中正區,臺北市中正區文盛里羅斯福路３段２１０巷８弄１０號,直物生活有限公司公館分公司,獨特設計的文具、器皿以及日常生活小物，亦有直物設計的原創文具。
030d5358-4663-437d-b769-fb042a20dcef,中正區,臺北市中正區重慶南路１段４３號地下１層,力行書局有限公司,辦公文具.事務用品專賣店，華南商業銀行營業部對面地下室
033f5edb-0635-49be-9ac7-46205e9cb4d1,中正區,臺北市中正區市民大道三段2號,三創生活園區_ASUS                ,
037c5389-52d4-413d-9541-1e27897ed51d,中正區,臺北市中正區寶慶路32號8F ,遠百台北寶慶店-褔城NIKE,
03a56e9b-a3bc-4513-a406-d91475c89141,中正區,臺北市中正區市民大道三段2號,三創生活園區_BEARBOSS-電腦包,
03b93f5a-c77c-4d6d-836f-53991c00f336,中正區,臺北市中正區北平西路3號2樓、1樓及地下1樓,微風台北車站-太陽堂老店,
03ce9cd7-8c4a-42d2-b073-5764d0566921,中正區,臺北市中正區忠孝西路一段36號1樓,好食國際投資股份有限公司客美多台北站前分公司,Komeda咖啡店具備名古屋咖啡店的特性，讓所有消費的顧客像是回到自家客廳，在寬敞的座席區與舒適的沙發上放鬆，安心享受維持同樣口味的咖啡及餐點。這些堅持，讓我們能融入到客人日常的生活當中，也確立了客美多咖啡在業界的獨特地位。
03e41324-c58e-40f2-a1b0-3f1f95086364,中正區,臺北市中正區市民大道三段8號6樓4-1室,甘霖科技有限公光華門市部,銷售金士頓品牌全系列商品以及售後服務
04237c10-07a3-4a3c-b27a-72a8018a5aa6,中正區,臺北市中正區台北市中正區市民大道三段8號4樓66室,數位王科技有限公司,Garmin 穿戴裝置 Anker 周邊配件 Sound core無線藍牙耳機 藍牙喇叭 GoPro 全系列 Marshall 藍牙喇叭
0443c6a0-9589-4307-b102-5c9ba98936a0,中正區,臺北市中正區北平西路3號2樓、1樓及地下1樓,微風場站店-貳樓餐廳,
044752df-7ee5-4933-8c7c-300d44f95054,中正區,臺北市中正區新生南路一段50號11樓,芳茲生技,芳茲是波蜜的關係企業，近年來推出的日月養生滴雞精、日月養生滴魚精及燕窩胜肽美妍飲，廣受孕婦及生病的族群歡迎，用來孕期及病後可以補充體力、提升保護力，風味濃醇像極了雞湯、魚湯，是探病送禮的最佳選擇。
044a0d3a-85de-43b0-9142-d8fbfbfe644b,中正區,臺北市中正區梅花里北平東路２０號６樓,亦樂工作室,旅行歸來最幸福的， 是把異鄉的味道帶回到餐桌上，透過舌間的流轉，和家人好友分享過程中的點滴。 用美食、好酒說故事，再平凡的小事都能變得有意思。 我們在台灣，尋找旅行中難忘的滋味， 把珍視的回憶搬上餐桌， 希望你成為夜晚的主角， 一起寫下輕鬆、趣味、有滋有味的Story...
04522e8e-34f8-4949-944b-363bd0d8ab84,中正區,臺北市中正區寶慶路32號4F ,遠百台北寶慶店-黃子庚                        ,
045c516e-81eb-4f3c-8fe6-d7b3ff062b92,中正區,臺北市中正區龍福里南昌路１段７０號,鬍鬚張股份有限公司台北南昌分公司,「鬍鬚張魯肉飯」品牌建立要追溯到民國四十九年，民生西路雙連市場對面的一個賣魯肉飯攤子開始。由於味道好、口味佳、真材實料，好口碑帶來極佳的生意。鬍鬚張創始人張炎泉先生，長期忙碌挪不出時間來整理他那和生意同樣茂盛的鬍子，久而久之，親近的老顧客就膩稱他為「鬍鬚張」，因此「鬍鬚張」之名從此就不脛而走，於是魯肉飯和鬍鬚張成了不可分割的註冊商標
