ID,行政區,地址,店名,店家說明
0016add6-06d5-48d6-ae8e-aad112f23fa0,信義區,臺北市信義區松壽路12號,ATT 4 FUN 信義店-天仁茗茶,
001ea22d-dd03-4d45-8053-8366ea54d281,信義區,臺北市信義區松高路12號,新光三越A8-樺丰,
00208245-ba1c-4d96-af8b-985602009424,信義區,臺北市信義區松壽路二號,凱菲屋,凱菲屋豐盛美味再進化 環球美食饗宴 全台自助餐霸主-凱菲屋豐盛美饌再進化，中式八大菜系、食尚台味與印、日、馬來風味咖哩驚豔饕家味蕾，西式燒烤區獻上現切肋眼、饕家必嚐松露燉飯，午、晚餐時段還有沁涼生啤酒暢飲
002ae633-c23e-42ca-8c80-3fc66ab0a1a3,信義區,臺北市信義區西村里松壽路９號,新光三越A9-TIFFANY-蒂芙尼國際,
00347e0c-bdaf-4751-b571-d2c24bb2e5c5,信義區,臺北市信義區松高路16號1-4樓及地下1-5樓,微風松高-海壽司,海壽司始終把新鮮與健康的概念融入產品內涵中，Hi sushi從2005年4月我們賦予這個品牌生命的第一天起，低調、平實、不標新立異就是海壽司的性格與靈魂。衷心期望以選材與對料理的用心，讓客人吃得開心、滿意，是我們對生活的態度。
003d564a-6e95-44f0-9851-660ef3bbbd9d,信義區,臺北市信義區松仁路58號6樓,遠百信義A13-ELLESSE,
005d6a8d-9fee-4cdb-bd2a-3c5af8c301c2,信義區,臺北市信義區松壽路１１號,新光三越A11-THE NORTH FACE UE,
007a487a-b816-4604-b8d9-784acc0d10b5,信義區,臺北市信義區松壽路１１號,新光三越A11-MONE,
008c9c58-a548-4447-a5bd-e65d1eba20bd,信義區,臺北市信義區松仁路58號2樓,遠百信義A13-CREED,
00ac6c12-b989-4ac3-aa7c-cf0052c3bf29,信義區,臺北市信義區松仁路38號1樓,寒舍艾美酒店-北緯二十五,北緯二十五 Latitude 25大面落地窗，引入戶外光影，增添法式浪漫。人文與藝術的交織，思維與感官的激盪，品味極究人文巧思的咖啡文化、優雅午茶、精緻輕食與全球收藏家心中的夢想珍釀，享受生活即藝術的態度。
012d21d6-92cf-4525-b9ec-0be37608803f,信義區,臺北市信義區松壽路１１號,新光三越A11-IN THE PLAYGROUND,
019df6b9-46a4-48a4-84d4-58d0fe74bf1d,信義區,臺北市信義區松壽路12號,ATT 4 FUN 信義店-饗食天堂,
01aa02b9-774a-46fe-a069-4713aadc25c2,信義區,臺北市信義區忠孝東路5段8號2樓,時代百貨-SWAROVSKI-2420,自1895年以來，施華洛世奇一直遵循創辦人丹尼爾‧施華洛世奇（Daniel Swa-rovski）的宗旨，在水晶切割工藝上精益求精。他追求創新設計的熱誠，使施華洛世奇贏得國際知名首飾及配飾品牌的美譽。時至今日，施華洛世奇家族仍然秉承這項傳統，為世界各地的女生締造獨一無二的時尚風格。
