ID,行政區,地址,店名,店家說明
004c3a2f-f37f-4b6a-9173-05bb9a5a0a5c,內湖區,臺北市內湖區成功路四段188號2樓,新葡苑內湖店,轉型後的「新葡苑」，共有上海與廣東兩大菜系，目前在全台有八家分店，其分店的觸角更拓展至日本與中國；每家店各有不同特色，以上海本幫菜、港式海鮮飲茶為主，除了提供道地中華料理之外，更融入台灣在地的飲食文化；在菜色上也不斷追求突破與創新，道道佳餚都顯出師傅烹調的真功夫；從菜色擺盤、品酒選擇到店內裝潢，全以時尚創新手法重現，帶動新的中華飲食風潮。
005cd364-0884-44e2-9a85-bfc85cf5b263,內湖區,臺北市內湖區民權東路六段302號,寶島眼鏡葫洲圓環分公司,
014243f2-fd2c-488c-b1e2-64ff8b8c1906,內湖區,臺北市內湖區港富里內湖路１段７３７巷３４號１樓,萬利食品店,肉鬆 肉脯，魚鬆，牛肉乾，豬肉乾 肉紙，肉絲 肉條，瓜子，花生 花生米，魷魚絲 魷魚片，開心果 杏仁果，堅果仁，乳酪絲，糖果餅乾各類休閒食品。
01b015ee-0746-41d1-b49b-c643295b4c6d,內湖區,臺北市內湖區葫洲里民權東路６段２９６巷２０號２樓,金玉堂批發廣場葫洲店,我們提供豐富的文具、辦公用品、教育用品、體育用品、禮品、美術用品、生活用品、書籍、3C周邊、玩具.....等商品的販售，歡迎大家來我們店裡逛逛。若有大宗採購的需求，歡迎洽詢櫃臺，會有驚喜價喔！
02824c87-55b2-4a65-9203-703995717425,內湖區,臺北市內湖區明湖里康寧路３段１８９巷２１弄２７號２樓,新鮮人秘書有限公司,內湖好口碑在地商家推薦!美容紋綉接睫一站式服務首推，位於台北市內湖區哈拉影城對面明湖商圈內，店內設有美睫、飄繡眉、眼、唇、藝術美甲、結合臉部及手足保養、除毛、整體彩妝、新娘秘書、婚禮包套、及課程教學等項目。 預約方式： 🐻電話：0226310101 🐻官方Line id:@cgd8168t 臉書搜尋:新鮮人秘書https://www.facebook.com/abbybeauty189
028b1f5d-1493-4478-9ef7-7b61cc126864,內湖區,臺北市內湖區行愛路140巷25號,糕菲庇護工場,『糕菲庇護工場』提供工作機會給身心障礙者門市位於內湖科學園區，販售商品有手工蛋捲、餅乾、健康低GI便當     由『臺北市勞動力重建運用處』輔導『社團法人中華非比關懷協會』 2008年成立提供工作機會給身心障礙者， 透過職場的專業訓練、協助自力更生並找到發展自我的機會。
02d96248-6084-49bc-99fa-b0e8c27d25dd,內湖區,臺北市內湖區成功路三段146號,REEDS coffee & bakery．NeiHu,每日提供新鮮餐點及現做麵包 明亮舒適的空間及親切的員工皆在店裡歡迎您
033b2caa-f14d-4094-96ea-409e372296a2,內湖區,臺北市內湖區康寧路三段99巷10弄5號,30hoursBakery,30小時老麵吐司是由老麵糰低溫發酵不加改良劑反覆揉捏工法30小時的悉心守護～ 造就一輩子想念的味道。老麵吐司、老麵麵包、人氣厚片、小農產品等等，凡持熊好券消費350元送奇萊山高山冷泡茶
03459393-9eef-40fa-be2c-86ea948e3298,內湖區,臺北市內湖區台北市內湖區成功路四段46號,屈臣氏內湖店,360度全方位服務：美妝、護膚、日用、健康！
04137b4b-f098-437a-97be-5e2c13223a1f,內湖區,臺北市內湖區內湖里成功路四段１７８號,安永生活事業股份有限公司內湖店,安永集團以高科技產業的嚴格製程與規範標準，自日本引進細胞活存技術（Cells Alive System），維持產品的安全、營養與鮮度；秉持「您的健康、安永照顧」的品牌理念，除水產冷凍品外，更開發機能性食、藥膳、魚鬆、調理包，提供「安心、鮮美、便利」的產品選擇。
