ID,行政區,地址,店名,店家說明
004c5ec5-e76b-43d4-a069-9daef7bc7306,北投區,臺北市北投區湖山里建國街４號,運博國際股份有限公司建國路前山營業所,池水為陽明山之山泉水，無論天熱天冷，池水永遠沁涼透心。
00df8b84-a909-44b2-a3d1-ce1ea2a5d144,北投區,臺北市北投區石牌路2段126號,麥當勞台北石牌,"麥當勞是全世界最大的快速餐飲服務餐廳領導品牌。全世界超過100個國家、有近36,000家餐廳，每天提供超值美味的餐飲。更多麥當勞及最新產品資訊，請參考台灣麥當勞網站www.McDonalds.com.tw"
013c06e5-f927-4027-badd-8989d1a2192b,北投區,臺北市北投區振興街１９號１樓,達康醫療器材-開水實業有限公司,達康醫療主要為－長期照護用品、醫療用品、呼吸醫療器材、銀髮健康用品、營養保健食品等，為主要營運項目。 實體店面位於台北榮總與振興醫院的中間位置，您可以透過門市或電話詢問所需要的醫療器材。 若您有醫療器材購買洽詢或醫療輔具上的操作使用問題、產品維修問題、衛教諮詢或租賃需求，歡迎您與我們連絡。
032eb91b-367f-45cd-9ef3-7891d4cbf9ad,北投區,臺北市北投區一德里立德路１５號２樓,天仁茗茶 華碩店,天仁茶業股份有限公司 天仁茗茶以「老行業、新經營」為願景，不斷加強產品研發與創新服務，透過感動服務傳遞品牌價值，賦予「茶」更多元與生活化的內涵。
03697fd4-4bf2-465e-bb03-5235f6b53394,北投區,臺北市北投區大度路三段270巷73號,小島田TOGO 關渡店,"-小島田·刈包 GuaBao- 鬆軟的刈包皮夾著滷肉和滿滿的炒酸菜及花生粉層層驚喜口感豐富，美味在嘴裡慢慢地化開，深受著大人與小孩們的喜愛。  -手工脆皮泡芙 Choux- 手工現灌泡芙，泡芙外皮香酥脆，一口咬下香濃的鮮奶卡士達更是讓人覺得幸福滿滿～!  -鮮榨果汁Juice- 選用當季台灣小農水果鮮榨出香純濃果汁,營養好喝又健康。  -台灣好茶Tea- -illy咖啡-"
044218ef-82d3-4d5d-97b5-b2d72d0e14fe,北投區,臺北市北投區立農街二段259號1樓,Qburger 北投立農店,Q Burger饗樂餐飲創立於2013年， 是由一群熱愛早餐的年輕團隊組成，創立初衷：「成為台灣引以為傲的國際品牌」。 同時也致力提供年輕人一個良好的薪酬福利及工作環境，並打造「新穎」、「舒適」、「明亮」的用餐環境，提供「優質」、「精緻」、「平價」早午餐，讓顧客享用最有溫度的餐點。
05062310-35bc-479b-bdb9-698a958c5590,北投區,臺北市北投區福興里自強街５巷１６３號,悅心緣素食坊,位於石牌巷弄平價美味素食自助餐
05451baf-5773-4e0f-a278-e4c0617b1901,北投區,臺北市北投區清江路２５巷６４號１樓,麗斯特廚具行,在地經營三十幾年，專賣油煙機、瓦斯爐、熱水器及㕑房設備、衛浴設備
08a85db6-66ef-4435-af03-8c911b93c9a6,北投區,臺北市北投區榮華里天母西路１３２-１３號,咖啡燕咖啡館,位於石牌的獨立咖啡廳 用心準備每一杯好咖啡
0da9b93a-a2e7-4257-950b-b04c0272b818,北投區,臺北市北投區台北市北投區清江里新市街30號1樓中繼市場252號,繪椿商行,手足保養 凝膠彩繪
0e88e970-4a7a-4117-be3f-62020b124fb7,北投區,臺北市北投區東華里立農街二段２６９號１樓,日日文創舖,各位同好大家好： 日日文創舖位於陽明大學山腳下。 日日容納各式文房具及文創小物，期待成為一個溫暖舒適的文創環境供所有愛好們彼此交流～ 同時，日日也準備了從日本空運來台的一番賞與新款扭蛋與大家同樂！ 期待各位能夠享受在日日的時光🤗
0f2e4f48-e26e-47ac-9e7f-9981dda656d8,北投區,臺北市北投區中和街22號,路易莎-新北投直營門市,平價精品咖啡連鎖品牌LOUISA COFFEE，秉持分享一杯好咖啡的職人精神，提供多樣精品咖啡、義式咖啡、世界茶飲、招牌輕食，從早到晚都有咖啡香和無油煙餐食陪伴您！
10e7ea1a-f2e2-4d66-84dc-c0d34ec74808,北投區,臺北市北投區吉利街120號,春天藥品股份有限公司吉利營業處,◎ 專收新光、馬偕、長庚、榮總各大醫院處方箋，全民健保免費取藥 ◎ 各國名藥、用藥諮詢、健康食品 ◎ 醫學美容、美體專業護膚沙龍 ◎ 奶粉尿布、生活百貨、化妝品、婦嬰用品、居家護理
10f3dfb1-ab95-4ed8-ba00-5ee5ed700fd4,北投區,臺北市北投區榮光里石牌路一段１６４號,COMEBUY石牌國中店,20年淬鍊，COMEBUY於2002年，從台灣台北市一家小店面創立至今，接軌世界，打造全球超過300家成功實證！ 用一杯創意好茶，帶給人類歡樂安心的使命 不斷創新、充滿熱情挑戰自己 將COMEBUY獨創的台灣茶飲文化帶進全世界 建立世界第一的COMEBUY
