ID,行政區,地址,店名,店家說明
002b6927-784f-4ce7-ac47-1657de493128,士林區,臺北市士林區蘭興里德行西路４７號１樓,爭鮮股份有限公司天母分公司,超過80款盤盤精彩的壽司與小菜，透過迴轉台一一呈現在顧客眼前，實現顧客與美食零距離。每盤30元的親民價格，期許更多人能和我們一起愛上壽司。
009a7679-5586-4b66-a510-4dc8772dcfaf,士林區,臺北市士林區忠誠路二段55號,大葉高島屋-巴黎十五,植物肉主題樂活麵包咖啡館
00f46dd4-b9f3-4976-8cae-3934e5f9db43,士林區,臺北市士林區中山北路6段77號(2F),遠東SOGO天母館-GD SHOP,少女服飾
0123191c-c3c3-4d3f-b499-99882c12e573,士林區,臺北市士林區忠誠路二段55號,大葉高島屋-金錡,鋼筆∕鋼珠筆
015b32bd-4ca2-4e7c-a001-8da783afaa7a,士林區,臺北市士林區忠誠路二段55號,大葉高島屋-K-SWISS,運動服∕鞋
018a2cef-6b7e-4a21-8181-ca7a5be96233,士林區,臺北市士林區格致路３8號,有明心ＧrassＭountainCoffee,有明心2016成立於台北陽明山的獨立咖啡品牌，實體店面提供真實好喝的咖啡，網路店面販售美味、細緻、多樣的咖啡豆、咖啡耳掛包、咖啡禮盒。我們以芒草之姿「謙卑」、「強韌」為品牌精神、美味為信念「山為根本」「用心相識、以禮待人」「分享擁有」踏實的經營。希望在疫情能與大家一同平安度過
018a90d5-20af-4b48-bd48-c015d67ce10c,士林區,臺北市士林區中山北路6段77號(1F),遠東SOGO天母店1F-4號綜合收銀台,百貨商品綜合收銀台
01f40a32-a33c-4f9b-b39e-bfacdda31347,士林區,臺北市士林區大東路８２－１號１樓,米哥烘焙坊 大東門市,用心，帶給您最美好的幸福！ 麵包唯一不可缺少的原物料，就是「感情」。所以米哥不是在販賣麵包，而是在販賣幸福感情！米哥深信，如果品嚐到一個好吃的麵包、一個溫馨的蛋糕，那會是一件快樂的事！除了滿足了您挑剔的嘴，更是溫暖你的心。讓我們創造更多人的幸福。
0207ce68-1788-4ea1-9d1b-098f4beb75ff,士林區,臺北市士林區蘭興里德行西路４７號１樓,定食8天母家樂福店,精選日式主餐，搭配茶碗蒸、味噌湯、日式漬物及甜點的套餐定食只要180元起，份量感十足卻不失日式料理精緻的一面。品嘗一份日式美味定食，就在定食8！
02bb6527-e052-4c71-8a8b-a692151f74f6,士林區,臺北市士林區天福里天母東路６８號,新光三越天母店一館-STARBRANDS,
02e19593-beda-4fcd-842d-ef2032513ec0,士林區,臺北市士林區中山北路6段77號6F,遠東SOGO天母館-PANASONIC,視聽影音
02fe6f60-b885-4af9-a800-37d61721aabf,士林區,臺北市士林區忠誠路二段55號,大葉高島屋-adidas,運動服∕鞋
0335c45c-9126-4990-89ac-85e082775d79,士林區,臺北市士林區延平北路６段２８號１樓,金台峰銀樓,"創店since1968,社子在地53年老店，傳承第二代，黃金金條、彌月禮盒、結婚套組、浪漫對戒、鉑金手鍊、鉑金戒指、鑽石💎戒指、鑽石項鍊、藍寶戒指、紅寶戒指、翡翠項鍊、銀手環、各式黃金送禮擺件、高價舊金回收… 歡迎大家光臨。"
0343e311-387f-4d9b-9b93-d6c2f24729f4,士林區,臺北市士林區中山北路6段77號(3F),遠東SOGO天母館-Diffa,國產少淑
