ID,行政區,地址,店名,店家說明
000ceef7-7cf2-4829-9d0e-e0ea09d05e11,大同區,台北市大同區承德路一段一號,京站-SAVVY,
00c0f424-7414-4eca-901c-3e4e454b4a0c,大同區,臺北市大同區朝陽里重慶北路二段６４巷２４號,羽仝茶侶有限公司,有記名茶的新品牌，作為茶文化傳播的百年茶廠，延伸精製茶廠的烘焙、拼配技術，藉由不同沖泡方式，體現三個影響茶葉風味因素，在新舊融合的氛圍裡，體驗茶的本味，同時也讓茶飲更有趣、好玩、顛覆傳統想像。 我們堅持無糖且不添加配料，希望和你一起用一種別出心裁的形式，享受台灣茶最純粹初始的美好。
0103756f-dd40-4024-9221-2aa5fdb14984,大同區,臺北市大同區建泰里南京西路１６號,晶澈/晶碩光學中山門市,隱形眼鏡販售
01096a13-6214-4f3d-a17a-1d2bde9cb0b3,大同區,臺北市大同區民權里蘭州街４號１樓,乙巧電器視聽有限公司,本公司經營30多年的攝影器材買賣，著重以高品質、合理價格及誠懇、親切的態度，來為客戶服務，期望得到大家的認同與信賴。
014af849-af4c-4347-be82-f41f15dea5c4,大同區,台北市大同區承德路一段一號,京站-Timberland,
02142438-cf6e-46b8-ac8b-2a89492aa40c,大同區,臺北市大同區建泰里南京西路１８巷６弄８號,平成十九 ,蔥花鮪魚丼、海鮮丼、烤魚、燒肉餐點
03b85d7a-0195-44d2-bf44-83f5cc711342,大同區,臺北市大同區承德路一段1號,京站-維格餅家,
03c17212-010c-440a-b14c-3997934c9fc4,大同區,台北市大同區承德路一段一號,京站-OWNDAYS,
0457d333-6cf6-477c-b6d9-233a9b4a9627,大同區,臺北市大同區南芳里迪化街１段２７６號,遊茶食品有限公司,遊茶UCha茶覺食藝 秉持獨家創藝焙茶新工法， 將傳統的焙茶文化創新意⋯ 從發現台北極品好茶開始⋯ 悠遊於茶的世界裡，讓喝茶變得更有趣，台北大稻埕遊茶咖啡文化深度體驗，探索茶世界之旅  綠茶咖啡 烏龍茶咖啡  大稻埕  遊茶  歡迎您
04d031ba-441a-4f52-9c3e-8ab11d48f836,大同區,台北市大同區承德路一段一號,京站-果銀,
051924fe-72cf-47c9-bc8c-91f3dda479ff,大同區,台北市大同區承德路一段一號,京站-Sabon shoes,
0547ac75-f150-4a08-889a-55f8842fb18b,大同區,台北市大同區承德路一段一號,京站-Bellini Pasta Pasta,
054d0ea1-8308-46b6-abe6-b42a97971936,大同區,臺北市大同區民生西路47號b1F(中山地下街B56-2號店鋪),萊登傘店,萊登優質傘具，三十幾年前從太平洋SOGO百貨開始百貨專櫃行銷旅程，這些年來好評不斷，許多顧客用過萊登傘，只願再買萊登傘，因為萊登傘具精緻耐用，省錢又環保別無選擇。
0596d97a-7179-4f8c-995e-3d6d209de09a,大同區,臺北市大同區南京西路46號,日藥本舖-台北南西門市,全台最大日系藥妝店，歡迎您前來參觀選購~
05b5db4b-5d6e-40d3-8c02-f600df8808ad,大同區,台北市大同區承德路一段一號,京站-GLOBAL WORK,
05f2dea0-cd7c-4d96-bf34-c40e1151afac,大同區,臺北市大同區迪化街一段92號,聯通漢芳,聯翩一氣串芬芳， 通骨絡精舒心暢， 漢藥花草遍地揚， 芳馨沐浴遍地香。 千年傳承的中藥，成就出聯通漢芳的根本； 芬芳遼闊的花草，滋養著傳統的生長； 衝突出潮流的時尚，衝擊著古老的思維； 誰說漢藥不能與花草結合? 來這，我們看的到變化... 迪化街老牌中藥行，讓中藥與花草在此處相會...
05fa60c2-1e2e-43c3-8825-bd4a2f27d86d,大同區,台北市大同區承德路一段一號,京站-Le Coq Sportif,
06405680-390e-4e89-9fab-79aadf4675dd,大同區,臺北市大同區永樂里迪化街一段７２巷１４號１樓,餅乾打人烘焙坊,餅乾打人每天謹守的是每一片餅乾如何讓客人吃的安心吃的健康我們著重的是一份內含與健康  榮耀獎項 : 2017台中花卉博覽會創意花博餅全國總冠軍2016台灣行政院農委會創意下午茶甜點全國總冠軍、2010台北世界花卉博覽會創意蛋糕達人賽全國總冠軍、2009台灣杏仁膏蛋糕競賽亞軍、2008台灣奶油雕蛋糕競賽亞軍、台灣烘焙食品乙級證照
066fefda-3c4b-42f1-9ed8-23380ed7beed,大同區,臺北市大同區雙連里寧夏路61-1號2樓,香蓮素食,香蓮素食位於寧夏路，靜修女中旁花園風車小巷內2樓，平日中午提供平價健康自助餐點和單點熱炒火鍋，晚餐提供客訂料理，歡迎喜歡自然健康蔬食創意料理的朋友來嘗鮮喔！
068653e3-5be7-47f6-8fb5-7a58ec77947a,大同區,臺北市大同區大有里迪化街１段１７２號,龍源中藥行,三十年的口碑，從日常藥膳到珍貴藥材，以及各式辛香料客製，歡迎來坐
06c8d971-06a3-4e21-afd9-86116887a969,大同區,台北市大同區承德路一段一號,京站-TOO COOL FOR SCHOOL,
06fac190-d86c-4289-a521-6a6a887745f5,大同區,臺北市大同區保安里庫倫街１１號１樓,圈圈眼鏡,時尚潮流眼鏡店，我們將根據你的職業、使用習慣及想呈現的風格，精心挑選專屬於你的眼鏡。
070ccc99-470a-472a-ae53-38fa97280259,大同區,臺北市大同區保安里哈密街９３號,小里子海鮮餐廳,以海鮮為主的台菜海鮮辦桌餐廳
07541437-b169-4438-8113-cb8b18ce3d41,大同區,台北市大同區承德路一段一號,京站-PEPPER'S,
07b0fe62-9b26-406f-87fb-e15d3d21a018,大同區,台北市大同區承德路一段一號,京站-waltz,
07c0adb3-1dcf-469a-92d5-8f588d97738c,大同區,臺北市大同區隆和里昌吉街１５６號,台北橋孔魯肉飯,純正到地橋頭味，店內所有看到的肉都是使用本土（台灣）溫體黑毛豬，食材新鮮爽口
0810aba6-e4f1-426d-98d7-0e9267c7c1c8,大同區,臺北市大同區承德路一段1號,京站-LUSH,
0840b97c-2883-4cd1-8739-07235c5d0e25,大同區,台北市大同區承德路一段一號,京站-CACO,
08754cc0-ed54-41d6-b99e-f298c7fe67c4,大同區,臺北市大同區民權里涼州街４號,躍獅雙蓮藥局,藥局好鄰居
087d8828-2920-429e-ac6f-1ec31bcb95ea,大同區,台北市大同區承德路一段一號,京站-Urban Units,
094b12f3-9bbd-4300-8790-1b4fd5165134,大同區,臺北市大同區朝陽里南京西路１４９號１樓,小春園商店,百年傳香、小春園品牌故事： 大稻埕圓環邊、阿嬤的滷味、風靡老台北、在台北人的記憶裡、都有一位小春園滷味專門店、阿嬤研發六滷傳香至今，每一口都是想念。😋
0a31fa27-852e-4027-8de6-5d60a3f7c55b,大同區,臺北市大同區重慶北路二段58號,林三藝國際行銷股份有限公司,【精雕細琢的美麗】由百年老牌林三益傳承而來的技術，LSY對於毫毛可說錙銖必較。 LSY的理念是「透過高品質刷具所帶來的舒適感，與刷具本身多樣化的造型，讓使用者感受到愉悅的心情，讓『美』，亦可以是透過內在的滿足，而展現出來的愉快自信，透過彩妝，呈現每張臉龐存在的美質。」
0a7de2e4-f2a3-499c-a440-931af0aa1581,大同區,臺北市大同區永樂里迪化街１段７５號,六安堂參藥行有限公司,創立年分：1913年 品牌精神：百年老店、專賣正貨、誠信實在、值得信賴  經營理念 「 藥香百年．歷久彌新——從傲人傳統到新世紀 」 台北市迪化街，自清朝以來即為南北貨、中藥材集散地，而「六安堂」正是迪化街上著名的百年老藥舖。 「六安堂」為楊靜如與楊誠法兄弟於1913年創立於福建惠安，一面行醫、一面製藥，藥有深究，醫術精敏，名傳鄉里
0ac9b70a-49d1-4a89-9c5a-a4b45323c459,大同區,台北市大同區承德路一段一號,京站-levis,
0b4ce3bc-ebb4-41d1-aacf-a44c06d20641,大同區,臺北市大同區承德路一段一號,京站-美食街綜合櫃0437,跨年至農曆年間櫃位
0b551d9c-3943-4f1f-8d3c-e07ecbd3de15,大同區,台北市大同區承德路一段一號,京站-KIEHL'S,
0b62edd8-bbcd-40da-9c0c-776fe62d5fd6,大同區,臺北市大同區承德路一段1號,京站-Elepgant cuppa,
0bca1ffa-88e1-442c-8da2-54cc8b58bff4,大同區,臺北市大同區南京西路16號B1,海邊走走Hiwalk,蛋捲
