ID,行政區,地址,店名
001211a0-744f-4115-a0f1-671edc466e92,大安區,台北市大安區遠東SOGO復興館-DEVIN,遠東SOGO復興館-DEVIN
00325e9b-d4aa-424c-93a2-b8d5489a74f1,大安區,台北市大安區廿三巷髮型設計,廿三巷髮型設計
0096a43d-b319-4559-a4d0-db068b2077e8,大安區,台北市大安區穀果廚房 Gugo Kitchen,穀果廚房 Gugo Kitchen
00f7c0ca-683a-40cb-bca7-4e974eddbeb2,大安區,台北市大安區可為烘焙台大店,可為烘焙台大店
01175924-95d0-4fc0-807a-11146d8af510,大安區,台北市大安區遠東SOGO復興館-ALLSAINTS,遠東SOGO復興館-ALLSAINTS
01831e22-b0ad-4dad-8469-471ee319e5f3,大安區,台北市大安區Curves忠孝敦化店,Curves忠孝敦化店
01b260aa-fff1-4ec4-8312-86595b27ec7e,大安區,台北市大安區遠東SOGO忠孝館-XLARGE,遠東SOGO忠孝館-XLARGE
01ba8daa-2fa0-43ca-aa68-17ab19af26f0,大安區,台北市大安區小串酒場居酒屋,小串酒場居酒屋
01bc2f87-d63c-4ce6-a858-85a461fddeaa,大安區,台北市大安區遠東SOGO忠孝館-東洋,遠東SOGO忠孝館-東洋
01e66fdd-4d23-43b1-991f-8ec9a25f285d,大安區,台北市大安區Melting Finger 韓國馬卡龍專賣店,Melting Finger 韓國馬卡龍專賣店
01ea7871-e10b-49cd-9494-6b3f9bd3c95a,大安區,台北市大安區魔法衣櫥時尚分公司,魔法衣櫥時尚分公司
020332f5-392e-4335-ae8e-46cfd25e0f43,大安區,台北市大安區遠東SOGO忠孝館-STARBUCKS(星巴克),遠東SOGO忠孝館-STARBUCKS(星巴克)
02258689-b90f-4497-9ea0-5cad8f591b25,大安區,台北市大安區遠東SOGO復興館-dyson,遠東SOGO復興館-dyson
025add10-b713-4b21-9520-b507e53f6c64,大安區,台北市大安區遠企購物中心-卡蘿米爾,遠企購物中心-卡蘿米爾
0270ddb9-0f95-4119-bf37-8b4a00d96ff3,大安區,台北市大安區遠東SOGO敦化館-S.FERRAGAMO,遠東SOGO敦化館-S.FERRAGAMO
027fc095-db7c-494e-adcc-8c6aa390418c,大安區,台北市大安區翠園小吃店,翠園小吃店
02c89da1-741f-46c1-be10-76a6a1f11b49,大安區,台北市大安區遠企購物中心-GREARD DAREL,遠企購物中心-GREARD DAREL
02f1ab79-a9c3-4891-bc98-04f52159a0de,大安區,台北市大安區東門餃子館,東門餃子館
03030418-0059-4469-b57d-0ea9db5afd94,大安區,台北市大安區路易莎復興辛亥店,路易莎復興辛亥店
032bbdfc-4aec-4536-b18d-2570ab769e5a,大安區,台北市大安區遠東SOGO忠孝館-Kinloch Anderson,遠東SOGO忠孝館-Kinloch Anderson
03941d90-7050-4779-bc8d-5a2aaf233354,大安區,台北市大安區鐵哥的羽球專門店,鐵哥的羽球專門店
03bc17a3-8830-4686-9c4d-a51cf63f59e5,大安區,台北市大安區遠東SOGO敦化館-MOSCHINO,遠東SOGO敦化館-MOSCHINO
03cbb900-9146-42b5-8832-f365ba41d7af,大安區,台北市大安區85度C通化店,85度C通化店
03d89811-8a9c-4d30-b012-bf800a98986d,大安區,台北市大安區ECCO 信義店,ECCO 信義店
03db4e46-61a6-40c0-b7b5-9efba77ccd99,大安區,台北市大安區遠東SOGO忠孝館-NARA CAMICIE,遠東SOGO忠孝館-NARA CAMICIE
03eadc69-7b6c-4e49-ac7d-96999a30ad61,大安區,台北市大安區遠東SOGO忠孝館-682綜合收銀台,遠東SOGO忠孝館-682綜合收銀台
0405668c-b180-4587-8e3a-5df949cbe4c4,大安區,台北市大安區遠東SOGO忠孝館-GOOD GUY,遠東SOGO忠孝館-GOOD GUY
043dadbc-a77e-4f6a-9ab3-b2d46b01218e,大安區,台北市大安區聖德科斯生機食品-復興東豐,聖德科斯生機食品-復興東豐
0480eea5-7208-40a1-b739-b5229e72577b,大安區,台北市大安區財團法人天主教光仁社會福利基金會光仁二手商品館忠孝店,財團法人天主教光仁社會福利基金會光仁二手商品館忠孝店
04958195-a3ef-426b-bf8b-88b2f1a41f5c,大安區,台北市大安區遠東SOGO復興館-HEARTS ON FIRE,遠東SOGO復興館-HEARTS ON FIRE
049f5bf9-1b08-413b-b1b2-1eb52dd15076,大安區,台北市大安區華欣書店,華欣書店
04a22b10-d0bd-497e-95bf-280567dbc2d5,大安區,台北市大安區遠東SOGO復興館-CHAMPION,遠東SOGO復興館-CHAMPION
04c6f473-d380-489b-bffc-657bf69d2645,大安區,台北市大安區遠東SOGO忠孝館-根來皮件,遠東SOGO忠孝館-根來皮件
04db26cc-4a79-468e-91cb-80a7e0ddd512,大安區,台北市大安區新瑞書店有限公司,新瑞書店有限公司
0524f78e-9029-4496-93d8-81f0fd5f57fb,大安區,台北市大安區Fjällräven Store,Fjällräven Store
0558fd17-9862-42b2-ac59-39d3b6485d57,大安區,台北市大安區昱晧服飾行,昱晧服飾行
055e5109-962a-47fd-a531-05e23522aff6,大安區,台北市大安區遠東SOGO忠孝館-CK J,遠東SOGO忠孝館-CK J
055f1983-1451-4e9d-b80e-d61d3678f05a,大安區,台北市大安區遠東SOGO復興館-Barbour,遠東SOGO復興館-Barbour
057484b2-9783-4a63-8828-6e5f64f0c1c5,大安區,台北市大安區遠東SOGO忠孝館-302綜合收銀台,遠東SOGO忠孝館-302綜合收銀台
05b142ed-9606-4e7a-a82e-44d934721029,大安區,台北市大安區飛彥商行,飛彥商行
05c50eb4-8407-41ed-bb47-692e181bf6ec,大安區,台北市大安區真正基隆漁蝦,真正基隆漁蝦
05fc19b7-5950-4569-b209-46de0399422a,大安區,台北市大安區遠東SOGO復興館-J&NINA,遠東SOGO復興館-J&NINA
0604bb12-b189-4e5e-842e-2123ae61dbe8,大安區,台北市大安區遠東SOGO敦化館-SOCIE HAIR,遠東SOGO敦化館-SOCIE HAIR
061c41e3-6be9-42e5-8cb2-0b85fbccd806,大安區,台北市大安區BonBlack黑洞蒔司 法式可麗餅 低GI寡醣飲品、低GI寡醣珍珠奶茶專賣店,BonBlack黑洞蒔司 法式可麗餅 低GI寡醣飲品、低GI寡醣珍珠奶茶專賣店
064b2de1-f02c-4e86-b3f7-5040726198d4,大安區,台北市大安區遠東SOGO敦化館-SOCIE,遠東SOGO敦化館-SOCIE
065a1a55-d76b-4598-be8e-832b04562d84,大安區,台北市大安區遠東SOGO忠孝館-想想咖哩,遠東SOGO忠孝館-想想咖哩
06943fd1-3bef-4497-b9c0-4322abf9a60f,大安區,台北市大安區遠企購物中心-Georg Jensen,遠企購物中心-Georg Jensen
06c7d981-1046-4416-a133-44ce18b41563,大安區,台北市大安區韓鶴亭 頂好總店,韓鶴亭 頂好總店
07695d78-f926-4bc6-aa7a-d4df34979a71,大安區,台北市大安區前傳手作皮革,前傳手作皮革
07772571-9c4a-4922-888d-aacd7cf489ea,大安區,台北市大安區遠東SOGO忠孝館-寶瑪襪帕,遠東SOGO忠孝館-寶瑪襪帕
077bb66e-6a12-416e-86d4-e3d3aa423d12,大安區,台北市大安區Louisa Coffee 路易莎咖啡(正義國宅門市),Louisa Coffee 路易莎咖啡(正義國宅門市)
07801467-cda1-45c5-9011-193041159f08,大安區,台北市大安區藝碟小菜有限公司,藝碟小菜有限公司
078ad5d4-4cf7-4635-b3ec-d13c994cb27c,大安區,台北市大安區遠東SOGO復興館-mia mia,遠東SOGO復興館-mia mia
079b6aaa-7477-4676-9e90-bebfa0b2418e,大安區,台北市大安區遠東SOGO復興館-GRAFF,遠東SOGO復興館-GRAFF
07b0a678-5dc2-47f3-b6fa-f33f476e3de9,大安區,台北市大安區I'm PASTA 和平店,I'm PASTA 和平店
07b5381e-1f5a-4d5a-93e0-7e1c1d471f73,大安區,台北市大安區遠東SOGO忠孝館-FLORIS,遠東SOGO忠孝館-FLORIS
0801b65a-1862-43f4-bd2d-ebfaa6285df6,大安區,台北市大安區ABV加勒比海餐酒館,ABV加勒比海餐酒館
080a2704-e8c7-4e49-8d9e-cc1272fbb6f0,大安區,台北市大安區遠東SOGO復興館-La Trinitaine法國布列塔尼酥餅,遠東SOGO復興館-La Trinitaine法國布列塔尼酥餅
08605307-ed6d-424c-ac2c-89cbab429d17,大安區,台北市大安區遠東SOGO忠孝館-TEMPUR,遠東SOGO忠孝館-TEMPUR
089407f9-0d1a-4605-9309-937c01ed3e06,大安區,台北市大安區醇一,醇一
0894275f-7242-4a30-8772-e684b19980ee,大安區,台北市大安區棉花田生機園地-忠孝216巷,棉花田生機園地-忠孝216巷
08a08d55-d11e-41a6-959b-bd953dc4c587,大安區,台北市大安區幸福可可手工巧克力,幸福可可手工巧克力
0914b804-1286-432f-a388-49b0e74e5362,大安區,台北市大安區遠東SOGO敦化館-會安越南宮廷火鍋,遠東SOGO敦化館-會安越南宮廷火鍋
095d92f8-36bf-4b77-8027-5eae31f51896,大安區,台北市大安區遠東SOGO忠孝館-TESCOM,遠東SOGO忠孝館-TESCOM
09c775b4-9ac7-4710-9c22-1d0777f9d549,大安區,台北市大安區遠東SOGO敦化館-老長壽,遠東SOGO敦化館-老長壽
09cf9c74-6943-4409-a2a3-4b363a89a1e8,大安區,台北市大安區遠東SOGO忠孝館-MOONSTAR,遠東SOGO忠孝館-MOONSTAR
09f9da3f-fd99-4578-8de3-887590144abc,大安區,台北市大安區寶島眼鏡延吉街分公司,寶島眼鏡延吉街分公司
0a1fca69-5652-42e7-ba5c-68c9164a1aa7,大安區,台北市大安區遠東SOGO忠孝館-李春枝,遠東SOGO忠孝館-李春枝
0a205b4e-33eb-4ef7-870c-9cd421aacf18,大安區,台北市大安區爵林堅果坊,爵林堅果坊
0a305ea5-c013-4315-af52-8c02bdb374d9,大安區,台北市大安區仨星馬餐館,仨星馬餐館
0a347974-3f63-42c0-8a9f-3648286a6388,大安區,台北市大安區遠東SOGO忠孝館-AIGLE,遠東SOGO忠孝館-AIGLE
0a7e8d89-9048-41e2-a3d4-148e8211a4d4,大安區,台北市大安區遠東SOGO復興館-琉璃工房,遠東SOGO復興館-琉璃工房
0a8a56e4-8f36-4aaa-a4c6-25014f7098ea,大安區,台北市大安區植宿餐飲股份有限公司,植宿餐飲股份有限公司
