ID,行政區,地址,店名,店家說明
000990ec-10e3-42ef-9db3-d1b4aba61bee,松山區,臺北市松山區南京東路三段337號1至4樓及地下1，2樓,微風南京-Hoi!好好生活,
015c6e8b-1a88-48a4-80cc-f511c0ccf48b,松山區,臺北市松山區中正里敦化北路100號B1,USTINI我挺你健康鞋王朝櫃,看不見的守護~USTINI我挺你健康鞋~  Ustini擁有多年健康鞋的設計、開發、製造經驗，以「360°支撐鞋」的核心技術，與全球獨家「接地氣結構專利」，貫徹「守護之心」經營品牌。我們在鞋外觀看不見的地方，不斷測試、努力改善，成就一雙適合久走久站+能排除身體靜電 的「接地氣健康鞋」，更以此成為「2021年日本東京防疫展」唯一受邀參展台灣品牌！ 現場提供許多好康優惠，歡迎前來店家試穿選購!!
01d956b5-2a86-453e-9c25-a2dfbd198bda,松山區,臺北市松山區慈祐里饒河街１４２號,金門風味館台北店,本店主打金門特色料理-金門炒泡麵，除原味外延伸出多種口味，也有販售金門當地伴手禮金門高粱、牛肉乾，歡迎蒞臨參觀品嘗選購。
0269240d-ecf2-44e5-a72a-87bf1a4b9a24,松山區,臺北市松山區敦化里八德路３段１２巷１６弄１號,四時輕燒肉概念屋 | 台北最強健康環保輕燒肉,台北最強健康環保輕燒肉 台北燒肉推薦 健康燒烤燒肉唯一選擇  | 我們的想法很簡單就是要好好吃燒肉 |  四時輕燒肉把吃燒肉的快樂拉長 我們相信美食都需要時間去感受，趕時間烤完肉、趕時間放進嘴裡，那真是辜負了美味食材！我們聽到你們的心聲了，我們希望能用慢活的步調，讓您能細細品嚐每一口肉，讓美味在您嘴裡融化
029414a0-bac1-40ab-abcb-e51323eb3b8a,松山區,臺北市松山區健康路100號,迷客夏小巨蛋,一間以 ｢天然｣ 、 ｢手作｣ 與 ｢獨特｣ 為發展使命的手搖飲料業。
029e0683-e32c-4ec0-a301-5064e8ed8eb4,松山區,臺北市松山區中崙里八德路２段３４６巷１弄３號,小靚寶,《史上最夯潮排  人手一片非吃不可 》 「松山八德店」 瘋迷全球的食尚潮排來襲！ 完美的麵衣包裹著酥脆鮮嫩的雞排，重量級的閃耀美味，專屬於你的潮排STYLE，跟味蕾最麻吉！！
0380affb-2bab-420d-ae81-27569d82e2e4,松山區,臺北市松山區南京東路五段62號2樓,艾莎雷德體能顧問工作室,艾莎雷德體能顧問工作室， 是由Rad以及Asha夫妻共同經營的運動空間， 在這裡，沒有大型俱樂部的諸多條例規範， 我們不綁會籍、不需要各種手續費用， 回歸最單純的課程模式。
03956fd4-b0b1-491a-804d-35783d52fec4,松山區,臺北市松山區慈祐里八德路４段６６６－１號１樓,躍獅松和藥局,躍獅連鎖藥局
03a47972-4663-4815-90e0-f87a830a73f2,松山區,臺北市松山區復勢里南京東路４段１６６號,路易莎-光復南京店,平價精品咖啡連鎖品牌LOUISA COFFEE，秉持分享一杯好咖啡的職人精神，提供多樣精品咖啡、義式咖啡、世界茶飲、招牌輕食，從早到晚都有咖啡香和無油煙餐食陪伴您！
03f9bc10-0fe4-4504-a961-69c37cb077a9,松山區,臺北市松山區慈祐里饒河街１５７號１樓,牛魔王牛排館-饒河店,請認明 —牛「魔」王—喔！饒河街美食，使用100%原肉非重組肉♡
04228ed9-b8b0-4bac-8d90-409fbfbd04fe,松山區,臺北市松山區安平里南京東路５段２５１巷２４弄２４號,種子村有限公司,種子村有限公司(Seed Village Ltd.)致力於嚴選國內外母嬰及幼童產品，以天然、環保、安全、無毒為核心理念，並提供專人服務協助分析、精打細算，購入精準商品，省去大量時間與金錢，讓養育極簡化。以「精選而不盲選」為出發點，省時、安全又方便。
0584da3e-8f1e-4279-85d7-de6edf8befff,松山區,臺北市松山區吉仁里八德路３段７６號（中崙市場２樓５2號）,大碗將軍,拉麵（有8種湯頭 豚骨 味噌 牛奶 泡菜 咖哩 麻辣 蕃茄 南瓜）  鍋燒麵  丼飯  咖哩飯
059fd3cb-eaf6-432a-879f-e6894c61c8d3,松山區,臺北市松山區南京東路三段258號2樓,大戶屋-南京復興店,「大戶屋」為日本定食餐廳第一品牌，成立於1958的東京池袋，目前擁有全日本約300家、海外約100家連鎖店，目前台灣展店至第42家店。「大戶屋」品牌初心源自日本媽媽為孩子的手做料理，堅持每家店現場調理、現點現做，沒有中央廚房、不使用半成品，選用台灣在地食材。其主要特色在於餐點皆為當日現場手工調製，進口日本的天然發酵醬料。招牌推薦餐點為鹽麴五花肉定食、炭烤豬雞雙麴定食、雞肉蔬菜燴黑醋醬定食、炭烤花魚
05f9c843-1d49-4d16-9a3f-1d3b85ca75f5,松山區,臺北市松山區精忠里民生東路４段６１號１樓,亞尼克台北民生店,亞尼克對食材的挑選專注窮究，注重結構與味道的合諧美味。一秉對食材、新鮮、製程的堅持，不斷研發、創新及傾聽顧客的心。打破傳統以來好蛋糕必須高價位的刻板印象，用更高品質、高成本的原料，以最平實的價格提供給顧客。
