ID,行政區,地址,店名,店家說明
0015534f-f870-4118-86cd-8a59ce7c019a,萬華區,臺北市萬華區富福里和平西路３段１２０號１樓２０號,艋舺慶,在地傳統小吃 傳承一甲子的蚵仔煎
00e73938-40e3-421e-8235-4426efb62e4e,萬華區,臺北市萬華區長沙街二段107號,金玉堂批發廣場-西門町店,提供您最齊全、最流行的新潮文具商品✂、美術用品🗿、生活百貨 、體育用品🏸、辦公用品📃、禮品🎁、及電腦周邊3C商品🖥，歡迎蒞臨選購。
00fd57e9-fc3e-4ea9-a5de-42189af753d8,萬華區,臺北市萬華區西門里漢中街１１０號,OWNDAYS西門漢中店,"簡約的整體設計為各位帶來嶄新的配鏡體驗。 OWNDAYS 以最好的服務、 最新的系統帶給各位全新的感受！ 鏡框加上鏡片$1,990-6,490元的安心定價！ 無論任何度數， 薄型非球面鏡片追加費用0元。 無論男女老少皆可安心的品質服務， 最快20分鐘即可完成取件。 隨時提供1,500副獨創眼鏡做為選擇， 適合你的一定找得到！"
02c37c7a-1561-4e39-8294-209500bd606e,萬華區,臺北市萬華區萬壽里漢口街２段２０巷１１號１樓,九五樂府,專業影音商品訂購服務，日韓藝人音樂周邊商品，日韓流行，西洋搖滾，進口樂譜雜誌
03214996-1020-45b1-8dcd-ad54428460a9,萬華區,臺北市萬華區忠德里西園路２段２１９號１樓,康是美西園門市,康是美藥妝店
035fd1e0-63ca-485c-a9f1-db05439ea897,萬華區,臺北市萬華區武昌街二段83之9號,Believer 理髮咖啡,【來店消費即贈送免費護髮抵用券】  Believer，如生活與我們同行，穿梭在英倫風格的城市髮廊，每個角落都有他最純粹的溫度。  《捷運西門站》 每月第一個週一公休 預約電話： 02-2388-7833
056b8105-ca62-4f4d-b2a8-3128b83a8fb7,萬華區,臺北市萬華區菜園里峨眉街１２４之３號１樓,滷餐小酒館 Zoo Bistro,以滷味與炸雞翅為主的餐酒館，將台式滷味搭配獨門醬料，呈現出新的視覺與味覺。利用紅酒、白酒、茶酒、啤酒去調製不同濃淡酸甜的調酒，每款調酒並用獨特風格的裝飾呈現不同的風味與樣貌。
057027d0-1224-486d-ad33-6a2ac94ec980,萬華區,臺北市萬華區漢中街35之1號1樓,祥發港式茶餐廳 西門店,廣州炒麵，潮式炒蘿蔔糕，燒鴨米苔目
06321efb-7db9-4f95-9398-1c26c40c55b5,萬華區,臺北市萬華區西寧南路177號(西門紅樓16工房內),TAIWANIZE,TAIWANIZE來自台灣，創立於2012年的時尚休閒品牌。品牌名稱「TAIWANIZE」有「台灣化」之意，也是品牌的核心精神—將台灣化的時尚設計置入生活，邁向國際。 我們的設計靈感來自台灣獨特的文化，再結合現代的設計風格，舊有的歷史背景結合新穎的設計手法激起獨一無二的時尚風潮。TAIWANIZE不厭其煩地設計、實驗、修改，只為追求最好的品質。
06e932c9-1976-4bf0-8992-458a505f81d3,萬華區,臺北市萬華區日善里東園街４９號,營養師農場 / 舒肥底家萬華店,市面上充斥著健康餐、有機產品，很多只是迎合市場趨勢冠上名稱而已，並不見得真正健康或是安全。原本我們在三峽的農場成立主營項目以供應廠家和電商為主，為了讓營養師和消費者更能認識食材且安心，加上家人都是在地的萬華人，所以和舒肥底家(營養師的理想餐盒)的創辦人一起在萬華開了實體店面，每個健康餐盒及每杯綠拿鐵中融合農場的精神和食材，也期盼在店面和農場舉辦體驗課程，讓「食育」和「農育」的理念直接落實及貼近消費
06e9fd6d-6746-4838-a47d-8495213938e5,萬華區,臺北市萬華區西寧南路70號3樓之10,吉兒龐克動漫日本服飾,動漫鬼滅／咒術迴戰／電鋸人週邊服飾，國內外超人氣｛貼圖繪師聯名原創品牌服飾｝ 熱門電玩明日方舟／原神印象概念服。 滿額送品牌環保購物袋，打卡另享９５折優惠
06f6ad4a-a849-45d5-a095-6d8b1662daf3,萬華區,臺北市萬華區萬壽里中華路１段９４號,摩曼頓企業股份有限公司中華門市,The North Face專賣
06f983dd-b5b6-40a7-b8c5-c1c0b063e988,萬華區,臺北市萬華區萬壽里中華路１段１３８號,台灣塩酥雞西門直營店,總店位於大直的台灣塩酥雞至今擁有40年歷史，去年於西門商圈開幕第3家直營店。 著名於品質、乾淨、衛生、明亮、美味，不論當地消費者或是觀光客的鹽酥雞第一選擇。
089942bd-17b5-4d23-890e-56eac0bd7859,萬華區,臺北市萬華區青年路140號1樓,Qburger 萬華青年店,
