ID,行政區,地址,店名,店家說明
00b38747-7963-4606-ab38-f7cb07537909,中山區,臺北市中山區長安西路3號第85號攤,中山市場 李永富商行,蔬菜
01874ec5-74b3-42a3-b550-ddf56ff2203d,中山區,臺北市中山區長春路299號,長春市場 梁建成獸肉行,1-30
02687429-62a8-4df4-8616-bbac5ed58296,中山區,臺北市中山區北安路458巷41弄3號,鼎A9(大直市場A9攤),無
02df5a11-1ad9-4940-ac43-1796b7905ef0,中山區,臺北市中山區民生西路45巷75號攤,民生西路45巷-双連市集75號,"蔬果,魚"
02e8fba2-7255-494c-8db1-4601cad0727a,中山區,臺北市中山區八德路二段108-1號,八德市場38號攤,八德市場38號攤
0370b0a3-1a9b-4ff7-a0a7-bf90fdc3576a,中山區,臺北市中山區民族東路410巷,榮濱-5B區3號東水產,水產店
03a1020d-0163-45df-b9f1-e9d21227cceb,中山區,臺北市中山區長安西路3號24號攤,中山市場 元香肉鬆,肉鬆、肉乾、進口日本餅乾茶葉
04110851-a568-4142-b372-3da6b031162f,中山區,臺北市中山區長春路299號,長春市場 澳峯號,已經營第二代
058c923b-9f52-42b2-b155-88af3e89f4ee,中山區,臺北市中山區民生西路45巷6號攤,民生西路45巷-双連市集6號,蓮藕糕 芋粿巧 九層糕 水果飴 宜蘭糕 粉粿 年糕
058dd581-65dc-4eb3-a68e-8bf86adb23aa,中山區,臺北市中山區民生西路45巷79號攤,民生西路45巷-双連市集79號,當天進貨 新鮮水果
06370373-4c10-4a68-9e10-7118fd4cb875,中山區,臺北市中山區中山北路三段17-37號,晴光市場-晴光水果行,中山北路三段17-37號
0689a946-28f6-4887-8901-094d119b3507,中山區,臺北市中山區長春路299號,長春市場 新昌豬肉行,台灣生鮮豬肉
06d8f5ae-9948-4a9d-b8fa-208a9b9e27fd,中山區,臺北市中山區四平街72號（左）,四平街-四平食品,本店主要販售烘焙堅果、果乾與各式豆類零食，少鹽少糖健康新選擇
06fde6a4-ac31-4b43-a6ac-60d5358b9e0b,中山區,臺北市中山區長春路299號,長春市場 土雞專家,生鮮雞肉
0739fad3-84af-4e91-99ce-092804bf7ad9,中山區,臺北市中山區長安西路3號,中山市場 鶯歌號,鶯歌號燒雞不只要美味，更重要的是，要有幸福的滋味。 這麼好的美食 一生中一定要來品嚐過一次 !!!
080feea8-4cc9-41fa-b7b8-d23996d2ed42,中山區,臺北市中山區羅斯福路四段108巷69號攤,公館夜市69號小胖刈包,飲食攤
08564ca2-71d8-44df-933a-d01aabfa9ca7,中山區,臺北市中山區雙城街12巷攤號119,晴光市場-芝福鄉養生黑芝麻,雙城街12巷攤號119
090794cf-6add-44b0-b2c8-5d4ef05d9a5a,中山區,臺北市中山區四平街(南京東路2段115巷至伊通街口),四平街-二手服飾 精品小物,二手服飾 精品小物
09ca312d-65c1-4849-9b3a-fac358339494,中山區,臺北市中山區民生西路45巷內,民享雙連4號海王子,新鮮漁貨
0aec1320-9706-4775-a88b-2afb51ba1967,中山區,臺北市中山區晴光市場攤位104號,晴光市場-晴光蜜餞,雜貨
