ID,行政區,地址,店名,店家說明
0074a4b2-dd59-4daa-9eff-95901bf959ed,中正區,臺北市中正區中華路二段307與309巷間之中華路2段315巷5弄西側（南機場夜市11號攤）,南機場夜市11號攤福州胡椒餅,胡椒餅
009515cc-3b35-4704-a5eb-9597fc060b3d,中正區,臺北市中正區中華路二段307與309巷間之中華路2段315巷5弄西側（南機場夜市3號攤）,南機場夜市3號攤山內雞肉飯,連續四年米其林餐盤推薦
009ced98-5587-4059-9f54-ec1524656e3a,中正區,臺北市中正區市民大道一段100號地下街,台北地下街 - 雅格帆布(),販售包包
00db77a9-b161-440d-b788-677fe8b79c1b,中正區,臺北市中正區忠孝西路1段47號地下一層,K區地下街-Berji泊姿,
00f0d7fc-f264-4199-aa85-4df8b7246845,中正區,臺北市中正區羅斯福路四段108巷49號攤,公館夜市49號傳統麵仔煎,好吃
0106697b-696c-45cb-8dd8-35be53303862,中正區,臺北市中正區信義路2段81號新館17號,羅媽媽米粉湯(新館17號),羅媽媽米粉湯、黑白切
01424a28-72b5-46f8-a1c8-e15326d4a169,中正區,臺北市中正區濟南路二段46號,幸安市場 泓吉裝潢行,窗簾
01589fb5-e7a1-448c-a604-ca12fa2e8129,中正區,臺北市中正區市民大道三段8號,名一匠店,樂器店
0172af3a-08ba-4d9b-a2f1-379e0082514e,中正區,臺北市中正區市民大道1段100號地下街商場輕食區11室,台北地下街 - Maiden Dinner夢幻餐車,女僕們準備了最美味精緻的餐點 可口的甜點和飲料 所有女僕全心為您服務 永遠打開門　等待主人回家喔！ 位於台北地下街美食區最尾端 看到粉紅色可愛的店面 就到達”夢幻餐車”嚕!!
023ce993-0f3e-476f-819e-939deb7b2e1c,中正區,臺北市中正區羅斯福路四段108巷75攤,公館夜市75號炸蛋蔥油餅,好吃
0319c65d-38c3-47d8-b09d-6f54dbdfd938,中正區,臺北市中正區中華路二段307與309巷間之中華路2段315巷5弄東側（南機場夜市20號攤）,南機場夜市20號攤阿卡拉炸雞,飲食
0437176e-cb9d-407b-978f-c9216cd969bd,中正區,臺北市中正區羅斯福路四段92號1樓39號,水源市場 彩藝修改衣服,修改衣服
04f3f26e-51a6-4379-b799-dfb5acc2eb4c,中正區,臺北市中正區市民大道三段8號5樓88-89室,譜宸資訊有限公司,電腦周邊，儲存設備
055826e6-2523-42a9-8768-8757b596455b,中正區,臺北市中正區中華路2段307巷至315巷間易牙巷（63攤號）,南機場夜市63號攤店長鴨血,獨家口味跟煩瑣工序所製成，入味、滑嫩可口的麻辣鴨血。
06282cc9-29b0-477e-b168-742b8f3796fc,中正區,臺北市中正區市民大道三段8號,台旋企業有限公司光華分公司,Led顯示器客製化訂做/自動控制工程設計/停車場系統設備/電動起子專業販售維修/投影機
06327a31-8136-4f67-91c0-a2438bca0691,中正區,臺北市中正區忠孝西路一段50-1號B1(站前地下街Z5區6-4),站前地下街-背包族旅遊用品有限公司,背包族在北區已開拓十家店面通路，擁有齊全的商品及豐富的銷售經驗。以讓客人買到滿意的包包為服務宗旨，商品強調實用、耐用、富創意風格。並定期更新本公司產品，提供顧客多樣化的選擇空間。 隨時掌握市場動態，跟上新世代的流行腳步。了解消費者的需求，以符合顧客的品味，致力於成為台灣包包產業的領導者。
0642ba75-8188-4a7c-8a7d-5287eff3174a,中正區,臺北市中正區中華路二段309與311巷間之中華路2段315巷5弄東側（南機場夜市32號攤）,南機場夜市32號攤魏家豆花,魏家豆花
06708ac0-c652-44d1-9c2b-1885fd4ddc12,中正區,臺北市中正區忠孝西路1段47號地下一層,K區地下街-誠品生活站前店,誠品生活憑藉專業與獨特品味、多元通路，以及文化創意活動平台的整合經營能力與創新經營模式，連結文化創意與商業活動，開展以創意經濟為基底的複合通路、生活品牌、餐飲事業、旅館事業，成為兼具跨界實演、觀光價值、人才創業、體驗分享的文創產業平台。近年則積極執行線上下融合的全通路策略，以會員為中心，提供虛實整合、360度無縫接軌的完整服務，進而打造獨具一格的文創、圖書、生活、休閒、餐飲與住宿的誠品生活品牌生態
06e2efb1-2a5d-4a50-9db1-0aad980375de,中正區,臺北市中正區市民大道三段8號,機殼天堂資訊社,體驗科技 創新生活 自由挑選
073f6528-a326-495e-b422-584f764a4ebc,中正區,臺北市中正區羅斯福路四段108巷63號攤,公館夜市63號通哥日式串燒,於1988年老字號日式燒烤  獨特醬汁，30幾種食材任挑任選讚
07cb3b65-deda-4a4c-b3a7-47cc085b2b70,中正區,臺北市中正區信義路二段81號,東門市場臨固7號(丹麗服飾),百貨
07eaa2c3-b2ab-4e95-a275-d305eadfbbc4,中正區,臺北市中正區羅斯福路四段92號,水源市場 水源美食店(53),多樣菜品、口味豐富的精緻便當！
0809f41d-0ed5-4582-aa78-7da12c67839c,中正區,臺北市中正區中華路二段311與313巷間之中華路2段315巷5弄東側（南機場夜市56號攤）,南機場夜市56號攤德源素食,德源素食
080f9ea3-51cd-4000-b24e-85fd00953220,中正區,臺北市中正區羅斯福路四段92號1樓63號攤位,水源市場 水源美食店(63),菜色多樣、口味豐富的精緻便當！
08ceea70-0322-463d-8a52-9533b743205f,中正區,臺北市中正區市民大道一段100號B1,台北地下街 - 生洞(S101-1號店),老花鏡，眼鏡盒，太陽眼鏡偏光鏡，兒童鏡，清潔液，，，等專賣店
09a002e3-9f60-4dad-82bc-ad26db4d3966,中正區,臺北市中正區羅斯福路四段92號2樓20號,水源市場 理揚理髮,理髮
09beb9ec-7025-4c2d-b6c9-98360a94f584,中正區,臺北市中正區武昌街一段22巷29號,城中市場29號-小金井福義軒代購,台北市城中市場伴手禮專賣店，代購台灣十大知名伴手禮：嘉義福義軒&板橋小潘鳳凰酥&新竹福源花生醬。門市位於：台北市中正區武昌街1段22巷29號。營業時間：早上11：30-晚上19：00。聯繫電話：0908490111。 若商品需要帶出國，請先提前告知，將用氣泡袋包裝，也有提供裝箱服務。  城中市場是台北市知名的下午商圈，附近有總統府及台北城隍廟，歡迎來市場購物尋寶。
09dfb0a6-0cad-4398-b248-42884239a884,中正區,臺北市中正區中華路二段311與313巷間之中華路2段315巷5弄東側（南機場夜市60號攤）,南機場夜市60號攤捲捲村花生捲冰淇淋,捲捲村花生捲冰淇淋
0adabd0a-1df5-415d-82d5-a7481b72378f,中正區,"臺北市中正區市民大道一段100號B1,127號店",台北地下街 - 101寶貝水晶(127號店),在地經營逾20年，我們賣的不只是水晶，更重要的是誠信。
0aef9a15-4b9f-4a4c-99b2-08dda1571c44,中正區,臺北市中正區市民大道三段8號,a#shop,光華商場2-10/2-48 片
0b6fb46c-71dd-45ee-8bcf-71252d8a535a,中正區,臺北市中正區市民大道一段100號B1,台北地下街 - 僖皇鐘錶精品行(137號店),販售愛奇華丶卡西歐丶精工錶丶HOGA、Eurostar、RHYTHM、JAGA、blink等錶款
0cd491ee-91c9-4824-a1cb-77a906989016,中正區,臺北市中正區忠孝西路一段50之1號B1第17-2號店鋪,站前地下街-羅亭商行,飾品店
0d024b83-4301-400d-b291-9ec6eb4c8e17,中正區,臺北市中正區中華路二段307與309巷間之中華路2段315巷5弄東側（南機場夜市10號攤）,南機場夜市10號攤王師傅芋頭粥、芋頭米粉,王師傅芋頭粥、芋頭米粉
0d372177-021b-45b6-9103-3e938349a84d,中正區,臺北市中正區羅斯福路四段92號2樓55號,水源市場 逸品行,女性： 包覆型內衣 小女生成長型內衣 羅絲美睡衣 傳統睡衣  男性： （三槍、宜而爽、三花、BVD） 內衣褲、睡衣  國民旅遊卡特約店
0d3f9efa-3c24-4ec3-b695-0ef9b418c569,中正區,臺北市中正區市民大道三段8號,德昇多媒體視訊行,監視器材，遠端監控
0d4b5b82-27a5-4c44-851e-da301426d921,中正區,臺北市中正區羅斯福路四段90巷43號攤,公館夜市43號宜蘭蔥餅,手工現桿的麵糰，包裹著新鮮的三星蔥，外皮酥脆還有三星蔥的湯汁，讓你吃了回味無窮。
0d53a5bb-70ed-4850-9b70-e946b913ff1d,中正區,臺北市中正區羅斯福路四段92號1樓2號,水源市場 原美皮鞋,皮鞋專賣店
0d69a746-6ba5-48fb-981a-4d0f947e3257,中正區,臺北市中正區羅斯福路四段92號1樓32號,水源市場 龍記炒燴(32),現炒炒飯燴飯河粉
0dccb642-4e16-45ec-a474-4de33cf579f7,中正區,臺北市中正區市民大道三段8號3樓8室,G2 STORE,Apple手機配件、音響等….歡迎參觀選購！
0ee67533-3f07-4308-9c13-c5e071c3344f,中正區,臺北市中正區羅斯福路四段108巷72號攤,公館夜市72號白糖粿,好吃又道地
0f075515-d1a7-4ad3-bf37-cfdbbb93057b,中正區,臺北市中正區羅斯福路四段90巷8號攤,公館夜市8號阿鸞法國手工麵包,法國手工麵包
0f095daa-bdb8-4415-828c-ce29e1005c1f,中正區,臺北市中正區忠孝西路1段47號地下一層,K區地下街-FUTURE,
