ID,行政區,地址,店名,店家說明
01908b8c-40b2-4527-8da5-71dde85f7591,北投區,臺北市北投區新市街30號,北投市場304號,無
026dbed1-ea48-4dda-a22e-bba3dfb6f001,北投區,臺北市北投區新市街30號,北投市場514,無
02833f1c-3e8d-432b-bc2d-86388bc5c260,北投區,臺北市北投區新市街30號,北投市場59號,北投市場59號攤位
044ce085-0374-4933-8891-74dbc82b9d9d,北投區,臺北市北投區新市街30號,北投市場165號,165號攤
046c309e-89e7-4baa-a918-1db5ff9fdb23,北投區,臺北市北投區新市街30號,北投市場560,無
08a15ab3-889a-495d-babb-c06995e17bfa,北投區,臺北市北投區新市街30號,北投市場592,無
09548b9a-989a-49c6-aad3-494574b54b35,北投區,臺北市北投區新市街30號,北投市場259－1號,無
0a4276d2-9c95-44fe-8897-aa951c548449,北投區,臺北市北投區新市街30號,北投市場543,無
0a9e9d2a-bafd-4bd7-8cf5-8fda90b01261,北投區,臺北市北投區新市街30號,北投市場253號,無
0c1cdfa5-c529-4a23-afcf-b9ccb538a92e,北投區,臺北市北投區磺港路33號,台東黃金雞114  115攤號,台東黃金雞 專售放山雞 烏骨雞 純正古早土雞 閹雞 紅面鴨公 鴨婆 土蕃鴨 手工滴雞精  肉雞
0d35b9ac-87a8-44a9-9797-832ece3b2a84,北投區,臺北市北投區新市街30號,北投市場555,無
0d64a739-b3d9-4b68-81cd-42273c8cafe7,北投區,臺北市北投區新市街30號,北投市場438號,無
0de39b8e-bb51-46b9-aade-ce8e05c1f253,北投區,臺北市北投區新市街30號,北投市場221號,無
0f8aba05-4733-4609-acd8-8106174f1fad,北投區,臺北市北投區新市街30號,北投市場546,無
102b3f64-01f8-4eb9-8c1f-8b6aedcf408c,北投區,臺北市北投區新市街30號,北投市場143號(榮昇商行),無
1080d9b2-df5c-4060-a047-d2f84703d008,北投區,臺北市北投區新市街30號,北投市場563,無
11c9ce12-e58f-471f-b1f1-d1bcca223499,北投區,臺北市北投區新市街30號,北投市場457-1號,無
11ec7f74-33a9-4e9b-8b3a-f88968e97dd4,北投區,臺北市北投區新市街30號,北投市場1樓217號,217號攤
