ID,行政區,地址,店名,店家說明
00cd8304-12a7-429a-8d61-87bcb927aeff,士林區,臺北市士林區基河路1號前,士林夜市-新竹家鄉碳烤雞排,無
01472f42-2ae3-4248-9340-2f98a07001f7,士林區,臺北市士林區大南路26號,士林夜市-Pe girl 飾品店,無
0220252d-28c2-44da-bada-e53cbcb387f8,士林區,臺北市士林區文林路120號,士林夜市-金興發股份有限公司,金興發拼出生活用品王國 民國79年，在走投無路的窘境下，讓當時經商失敗的詹老板夫婦，開始四處奔波擺路邊攤的生活。「閒時不閒日」是在路邊攤四年多來的最佳寫照，夫婦倆憑著的不是偉大的理想或抱負，而是那樣全年無休的毅力，於民國80年成立第一家門-師大一店，當第一間門市的成立為提供更好的服務與優質的購物環境，從企業人才延攬培訓、門市陳列、商品品質、實惠價格、行銷活動到擴展營業服務據點等，皆是金興發經營團隊
03b3f124-f0ba-4d1a-ae1e-2c6922027746,士林區,臺北市士林區士東路100號116攤(士東市場),士東市場 鄒天母鵝雞肉亭,專售養生雞湯，美味滷味
04317535-8f4b-4103-9ab1-f7cd549e373f,士林區,臺北市士林區士東路100號第70號攤,士東市場 古早味,糕餅類
04670131-aaad-46bb-b9cf-abe352bfdb76,士林區,臺北市士林區文林路101巷,士林夜市-一口煎餃,買100送2粒
0490ef05-cb9c-489b-8338-0f8c06952004,士林區,臺北市士林區文林路101巷26號,士林夜市-ARPOLYGON•MCASHA,IG-mcasha_tw FB-Mcasha 官方網址-https://www.mcasha.com.tw/ 門市地址-台北市士林區文林路101巷26號
04fecfe1-f8a1-4871-a6ab-8591f89d8c45,士林區,臺北市士林區基河路1號,士林夜市-良人好茶,位於士林夜市、劍潭捷運站2號出口的第一站手搖飲店家，提供優質茶飲，為遊客創造美好的飲料體驗
05330c0e-80ec-4a95-98a7-9829053e54d1,士林區,臺北市士林區士東路100號第241號攤,士東市場 二姐的店,咖啡，三明治，茶飲
05c09311-e1fe-4ea2-89c4-d810cea83a1d,士林區,臺北市士林區基河路101號,士林市場-1F185號下午,1F185號下午
0707f23d-edc2-4d49-a4b3-aab3063f1d76,士林區,臺北市士林區基河路101號,士林市場B1  八禾大食館（八禾生炒花枝焿）,堅持現炸香酥臭豆腐 純生炒花枝焿 蚵仔煎
0712e875-3410-47cb-8761-df59e05ae5dd,士林區,臺北市士林區基河路101號,士林市場-1F145號下午,1F145號下午
0787028a-c7a8-436e-bf56-3b64f08078a1,士林區,臺北市士林區文林路53號1樓,士林夜市-佩佩house,服飾店
078b30c6-d2f0-4e13-90fc-14d7dc805c40,士林區,臺北市士林區大南路45號,士林夜市-冠魚蛋小屋大南店,餐飲
079738cf-533f-441a-b661-5fb7af0b999d,士林區,臺北市士林區士東路100號,士東市場 唐藝館,本店位於士東市場的二樓百貨部，銷售項目為日中茶道具、竹藤陶花器、擺件、手作手創、金繼...等等項目
083bb4aa-4eb2-435f-abbb-20202199968e,士林區,臺北市士林區文林路58號,士林夜市-炸老大雞排鹹酥雞專賣店,士林夜市-炸老大雞排鹹酥雞專賣店
09691487-c500-4332-af20-0f39af575dcb,士林區,臺北市士林區大東路34號,士林夜市-g.co流行眼鏡帽子,無
0981e453-4df7-4ed8-9f3c-3e8b46135d24,士林區,臺北市士林區大東路3號(2),士林夜市-有意落花生,"成立於1949年提供台灣特色伴手禮.台灣高山茶,古早味花生堅果‧"
09b73a22-d605-46e2-a651-257c3846163a,士林區,臺北市士林區通河街323之1號,福華廣場攤販集中場第99號攤 生鮮雞肉,生鮮雞肉
09c029b5-7690-4546-861f-b7fc7c0a50b9,士林區,臺北市士林區文林路39號（右前）,士林夜市-帽子,專賣各類帽子
0a6e7be4-91a7-45c2-8032-5048746c5c13,士林區,臺北市士林區士東路100號83號攤,士東市場 天天開心蔬菜,新鮮當日蔬菜：有社子小農耕種，拉拉山安全蔬菜，桃園大溪吉園圃安全蔬菜。
0aa00be6-a1a6-4d09-9262-ec57aaad1b34,士林區,臺北市士林區基河路11號前,士林夜市-Cubeef火烤牛,致力於牛肉燒烤的極緻美味，現場烘烤加以大火炙燒完美鎖住鮮嫩多汁的香味。 讓您再享用後
0b3406f3-780e-4147-875c-80689e7026c4,士林區,臺北市士林區文林路102號B2,士林夜市-泓凱企業社/哈哈活力站,台北市士林區無菸網咖首選店家
0b4b6811-02a4-44ab-82e7-e727163d9b2f,士林區,臺北市士林區基河路101號,士林市場-撈魚(1F下午226號),
0b7e89c4-ddd0-4ec0-802c-dddb11e84bcb,士林區,臺北市士林區大西路6號,QQ港式雞蛋仔,使用熊好券支付 任選兩份$100
0c32d0ce-d96e-405b-82b2-fce890fd0756,士林區,臺北市士林區大東路41號,士林夜市-毛手毛腳iphone case手機殼,各式手機殼
0cb578f5-c68c-4208-88f8-a8aeb0eaf00a,士林區,臺北市士林區士東路100號,士東市場 廣東粥,好吃廣東粥
0d3f8303-bd87-4141-8e7f-87da96f63804,士林區,臺北市士林區文林路101巷口,士林夜市-A-Bei潤餅小棧,A-Bei潤餅小棧於1974年由第一代的阿伯仔夫妻在士林文林路創立，從文林路101巷還是大排水溝到現在林立各式小攤，從令人懷念的舊火車鐵軌淡水線到現在的捷運車站，從士林夜市發展到現在的士林商圈，A-Bei潤餅小棧可為這一切的轉變做歷史的見證。
0d499faa-cc30-49fd-b3e8-54b0f5bb4495,士林區,臺北市士林區基河路101號,士林市場1F 大王遊戲攤(36),打棒球、套圈圈、射飛鏢、彈珠檯、打麻將
0d5f4f37-76c4-4aaa-926a-d801ad845d43,士林區,臺北市士林區仁勇里大南路９號,士林夜市-配件王-手機周邊,"帶給你平價的商品,舒適的服務,專業的人員,帶給你好的體驗,3C產品/生活周邊配件專門店"
0d7bc979-987b-487e-b925-b8be65b644ca,士林區,臺北市士林區士東路100號1樓65號位,士東市場 完美食雞,追求高品質近乎苛求
0e0127d5-ba8c-40eb-83ee-3093efbc3234,士林區,臺北市士林區大東路34號,士林夜市-玩漾創意手作,無
0e3be109-6f48-49a3-b0dc-c8b45c903256,士林區,臺北市士林區文林路41號,士林夜市-奇機台北維修旗艦店,無
0ea3be55-f95e-4650-8e90-7bfd59476cda,士林區,臺北市士林區大東路27號,士林夜市-A.H SHOP (大東店27號),無
0ecb1f90-01d2-4068-8dbe-53f76ce533c6,士林區,臺北市士林區文林路53號,士林夜市-佩佩屋服飾,我們是主要牛仔褲修身款和韓版女裝各類款式都有，歡迎參觀選購
0f841c4e-d6df-414b-85ce-fa12ed72f3b4,士林區,臺北市士林區基河路101號,士林市場-長隆彈珠(1F143號下午),長隆彈珠(1F143號下午)
0fde3931-2f4b-4fdc-9047-240e983c54d0,士林區,臺北市士林區士東路100號,士東市場 珍奇豆宴,「豆宴」由兩位豆類飲食同好打造，集結各地優質豆類產品於此平台，黃豆製品皆採古法製作，單純作法使味道保留天然香純，口感細緻綿密。真心地邀請更多朋友來此共赴一場「豆之饗宴」。
10848395-cf78-44ae-bb46-48febe52e2d6,士林區,臺北市士林區士東路100號1樓72攤位,士東市場 小吳麥菜(72號攤),小吳麥菜 經濟實惠 物美價廉
109251ff-701d-4f18-99b6-eda1d286b1ad,士林區,臺北市士林區文林路47號,士林夜市-KILLER 007,無
10c391a0-2ff1-47b1-83b7-13b8693ac190,士林區,臺北市士林區文林路43號,士林夜市-第一名女裝,無
10c51091-f2ec-44e0-a990-1348de15076c,士林區,臺北市士林區文林路99號,士林夜市-大上海生煎包,無
10f5439e-1ad9-4b02-a3dc-c43ab3768f29,士林區,臺北市士林區大南路49號,士林夜市-陳記九龍城香港茶（士林店大南）,道地港式茶飲，凍檸茶、絲襪奶茶。
1165d567-b16a-449f-8f6e-93e950e8ee9a,士林區,臺北市士林區基河路101號,士林市場-柚來玩(1F28號下午),柚來玩(1F28號下午)
11af1caf-7e94-4676-9127-56bd3e3639e9,士林區,臺北市士林區士東路100號,士東市場 士東海鮮,新鮮水產販售
122aa431-1129-4375-8538-7eebf1e21584,士林區,臺北市士林區大東路16-13號,士林夜市-好吃豬血糕,無
12315ed9-d4b9-41dc-ac4c-90ed70c96950,士林區,臺北市士林區基河路101號,士林市場-1F64號下午,1F64號下午
129ecca2-e742-44fa-a7de-d1aa32d8a270,士林區,臺北市士林區大南路83號,士林夜市-牛魔王牛排館-士林店,無
12c6764e-9e5e-47e3-a6f0-e7b82dd3622c,士林區,臺北市士林區士東路100號,士東市場 吉園圃安全蔬菜,１６號，您安心的好選擇
13161c7f-0d33-4595-9d91-264d6bb0606b,士林區,臺北市士林區士東路100號士東市場2樓164號攤,士東市場 任何故事館,台灣文創品牌及創作者寄售作品，台灣服飾，手作飾品，多元創作複合經驗，歡迎光臨!
144eeccc-ec86-4339-ad27-1d8498d010c6,士林區,臺北市士林區大南路42號,士林夜市-老士林任家焗烤海鮮,主要商品有：生蠔，扇貝，干貝，龍蝦，牛肉
14678553-7d26-4bf1-936f-7f69bf3a66e9,士林區,臺北市士林區大南路39號,士林夜市-口口口品大南牛排店,
148d2780-30e7-4b0f-8abe-e297476b3b7e,士林區,臺北市士林區大南路84號,士林夜市-高雄肉圓,本店家已有35年的歷史，肉圓皮使用在來米地瓜粉製作而成，清蒸不油膩吃起來爽口綿密入口即化，肉餡為全瘦肉，只使用台灣豬肉，食用起來完全不會有腥味，搭配獨特的醬汁會讓人想起古早味，四神湯：豬腸的精心烹調，在除去豬腸油，吃起來健康無負擔。搭配大骨熬煮2、3個小時，加上薏仁、當歸酒別有一番風味， 讓人一試成主顧，難以忘懷。
14927df9-b216-4f09-a27d-3aed115a52f5,士林區,臺北市士林區基河路101號,士林市場-麻將賓果(1F217號下午),士林市場-麻將賓果(1F217號下午)
14ed56f6-cb38-4161-a1bd-9d1baf3994be,士林區,臺北市士林區士東路100號,士東市場 杏壽司,32號攤，壽司
154ed41d-0227-40a6-b385-49d77c7c8db2,士林區,臺北市士林區基河路101號,士林市場1F 145水果(145號),^_^
15847fab-ae09-4c2f-8fa1-3899c7a1d1da,士林區,臺北市士林區士東路100號第84號攤,士東市場 雞肉攤,鮮雞肉
173b4a96-a64c-4185-96fd-b629bde65f0c,士林區,臺北市士林區大東路13-9號,士林夜市-甜心兒內衣店,無
17d7fa37-1b0a-497d-ba58-fc1d863e091a,士林區,臺北市士林區大南路47號1F,士林夜市--蜜汁燒烤,無
181cb264-90cb-434b-a4e8-f5361c60bffc,士林區,臺北市士林區士東路100號,士東市場 台灣土雞專賣店,66號攤
1828327d-0515-452a-a57b-234e4e2e2150,士林區,臺北市士林區士東路100號,士東市場 Coffee and tea,老闆精心挑選的好茶好咖啡
183f0f13-9944-422e-8275-5857694e30ed,士林區,臺北市士林區士東路100號,士東市場 甜馨,203
19129589-3d9d-41c5-9488-68d347f50048,士林區,臺北市士林區基河路1號,士林夜市-基河臭豆腐,民國77年開始至今，維持傳統小吃，臭豆腐、豬血湯、大腸肉羹麵線。
