ID,行政區,地址,店名,店家說明
00022dda-e7d5-43a3-b059-b2d3892efd9f,大同區,臺北市大同區昌吉街55至57號38號攤,蘭州38號攤,豬肉攤
0018e196-4ab2-4a3a-a01f-da9d303e7d62,大同區,臺北市大同區迪化街一段21號3樓,仲嶢,請至3樓官網
007d34e3-d479-4918-92e1-800c3bcaebcb,大同區,臺北市大同區迪化街一段21號1樓,漁匠甘霖,生魚丼飯
0119130d-861d-4092-9553-0dc6289f94b3,大同區,臺北市大同區昌吉街55至57號28號攤,蘭州28號攤,清粥小菜、便當
013aecf7-2a41-4799-81c2-26a52b922eec,大同區,臺北市大同區迪化街一段21號2樓2017室,大興行,大興行
01bc2311-13e2-4214-ba94-2741e30f47f2,大同區,臺北市大同區迪化街一段21號1至4樓,天福,飾品、服飾、藝品
01e2d458-bc5f-4912-badc-d66453b4b87e,大同區,臺北市大同區慈聖宮前保安街49巷(甘州街52巷及涼州街間),慈聖宮美食街-阿發嫂海產,海鮮料理的快炒
02601769-8358-4cda-aef9-5e090f039d03,大同區,臺北市大同區迪化街一段21號2樓2094室,弘昇布行,弘昇布行
036f102b-f762-463c-a713-85b8d1134ba3,大同區,臺北市大同區迪化街一段21號1樓,晏菱,服裝訂做
03885be0-3b4c-4cf7-886f-022e256ad5b4,大同區,臺北市大同區寧夏路,寧夏夜市-青蛙下蛋2,飲食攤
03d2fdfd-fc9e-4d6d-9452-ad616a3ddc90,大同區,臺北市大同區寧夏路,寧夏夜市-茶道樂,飲食攤
03ec782d-063e-49ab-845b-50ff1b16402a,大同區,臺北市大同區迪化街一段21號2樓2043，2046，2061，2062，2063室,傑威布行,傑威布行
04b2def7-54aa-40ca-a0fd-a7f4e0330b12,大同區,臺北市大同區迪化街一段21號2樓2053室,欣合布行,欣合布行
04b8de66-0a75-4833-b07e-226000441f70,大同區,臺北市大同區寧夏路(民生西路至南京西路間),寧夏夜市-蓮飲料吧,百年老店（寧夏夜市攤號001） 招牌推薦：檸檬甘蔗、楊桃甘蔗、牛奶甘蔗
05351ed0-3cf8-4e36-9677-2f3df8b234ca,大同區,臺北市大同區寧夏路58號2樓,寧夏夜市-098老牌豬血湯,餐食
065861ec-9b91-4443-a09d-04022133d4d3,大同區,臺北市大同區迪化街一段21號攤位編號1025,芊玟工作室,訂做衣服跟修改這樣代工
06ff19a0-ed4d-4edc-8a3a-45f72eea4492,大同區,臺北市大同區迪化街一段21號2樓2037室,崑泰布行,崑泰布行
0795c9e1-a038-4a62-9f39-b7b7ea771285,大同區,臺北市大同區迪化街一段21號2樓2015室,雅棉傢飾布,雅棉傢飾布
07cb14c7-767e-44a2-a5ae-e7106925fcf2,大同區,臺北市大同區保安街49巷17號前(14號攤),慈聖宮美食街-阿可鯊魚煙,傳統煙燻美食
07dd3309-5071-45c2-b81e-af707d929c34,大同區,臺北市大同區民生西路198號,雙連市場 太春小館(早),限民生店早班 7:00～14:30使用
0890d56f-a6f0-4d7d-aa49-670d75322625,大同區,臺北市大同區昌吉街55至57號148號攤,蘭州148號攤,魚丸、天婦羅
08ce585f-76b6-487e-81b3-f459c15f5c35,大同區,臺北市大同區迪化街一段21號1至4樓,永興精品,國內設計師名牌精品服飾
08d9ef85-370c-4075-aac2-73e7f331cea6,大同區,臺北市大同區寧夏路,寧夏夜市-阿卡拉炸雞,
0909c653-db84-4325-8a36-19fb679d6ec7,大同區,臺北市大同區迪化街一段21號2樓2031室,上棉布行,上棉布行
09348b8b-07da-4dea-abec-904ce62605c1,大同區,臺北市大同區迪化街一段21號2樓2102室,正利布行,正利布行
09ad3a20-2d9b-4843-b74d-f486520dd6ca,大同區,臺北市大同區寧夏路,寧夏夜市-天品滷味,
09ddcc56-cdc3-497b-901f-5baafba57dc7,大同區,臺北市大同區迪化街一段21號1樓,1709建翔蔬果店,新鮮蔬果
09f78552-5bf9-4754-8727-9fdd564c8bc0,大同區,臺北市大同區寧夏路(16號攤),寧夏夜市-兩點綠豆沙,口感綿密好吃的綠豆沙  綠豆沙
0ad2f4da-90f5-406b-98c7-6f0eab3f4c08,大同區,臺北市大同區寧夏路(民生西路至南京西路間),寧夏夜市-深海郭魚湯,郭魚湯、沙拉魚卵、雞魯飯
0ba47a70-3bcb-4359-a82e-87c91019a29c,大同區,臺北市大同區慈聖宮前保安街49巷(甘州街52巷及涼州街間),慈聖宮美食街-阿雲家常菜,三層糯米椒
0bb9eeb1-604f-48db-9771-1c820972d014,大同區,臺北市大同區迪化街一段21號3樓,3028宏彥 華山,請至永樂3樓官網
0cec4ce5-4ad0-4ecb-8f19-51372a911d5d,大同區,臺北市大同區迪化街一段21號1至4樓,謝師傳,空曠的座位區 老式的音樂 濃郁的咖啡 新鮮現打果汁 只有來過才能知道有多美好~
0d1241a8-a4e7-47d7-8ea1-89587c9e85ac,大同區,臺北市大同區寧夏路(57號攤),寧夏夜市-芭樂王,新鮮現切芭樂
0d2f2e8f-3085-40d8-bef7-786457432cca,大同區,臺北市大同區迪化街一段21號2樓2108，2109室,振泰布行,振泰布行
0dc64749-814c-47d0-b6bd-49aa6e2eae41,大同區,臺北市大同區寧夏路58號2樓,寧夏夜市-072純鮮奶雞蛋糕,餐食
0e730ac4-bbcf-48c9-b0ec-ad865ed4e98b,大同區,臺北市大同區迪化街一段21號2樓2081，2084室,佳興布行,佳興布行
0ed36d43-5a3e-41c6-8ddd-1ff40f3d226d,大同區,臺北市大同區迪化街一段21號1樓1421,1421丸隆生魚行,生魚片 壽司 香魚
0efe7cde-ecb8-456c-9f4f-4489d7411dd8,大同區,臺北市大同區寧夏路(民生西路至南京西路間),寧夏夜市-就愛豆乳雞,使用豆腐乳，醃製雞肉，使雞腿肉呈現一種淡淡的豆乳香。歡迎大家來嚐鮮
0f964c86-85fd-4b50-ac7e-d97543a5fed9,大同區,臺北市大同區寧夏路(民生西路至南京西路間),寧夏夜市-鹽烤鮮蝦,寧夏夜市鹽烤鮮蝦
0fdc3227-a278-4513-bbac-075e8e1ec817,大同區,臺北市大同區延平北路三段64之一號,延三夜市-大橋頭魯肉飯,傳承三代的好味道 魯肉飯+幼肉 排骨飯+幼肉 清燉排骨湯 芋頭排骨酥
0ff6ae8b-b996-4305-8f1f-11b225f52529,大同區,臺北市大同區迪化街一段21號3樓,英翔,請至3樓官網
105c778b-b8b2-448b-9c31-b85ae2341a7c,大同區,臺北市大同區迪化街一段21號2樓2111室,居邑布行,居邑布行
10a1a4c7-da6a-4f30-90e5-e546a5734b7c,大同區,臺北市大同區迪化街一段21號3樓,沙莉文,請至3樓官網
11c2e297-a60b-4c9c-a823-263d06ec9fa2,大同區,臺北市大同區迪化街一段21號3樓,陳德和,請至3樓官網
11d18c7d-c734-45c8-9c2e-c229ee2742af,大同區,臺北市大同區迪化街一段21號2樓2064室,檜興布行,檜興布行
11dff5f6-6f25-49c5-aec2-047a088d5e23,大同區,臺北市大同區寧夏路36號1樓,寧夏夜市-曾家鮮果汁,果汁專賣  杯杯現打 木瓜牛奶  酪梨牛奶 草莓冰沙  熱賣中～
129ee9d6-baa3-42c7-9b15-464648d12ae0,大同區,臺北市大同區延平北路三段59之1號前,延三夜市-台南鱔魚意麵熱炒專家,好吃的鱔魚意麵 各式熱炒小吃 麻油腰只
12b62eec-84e5-43ef-83b3-f696eb0aa479,大同區,臺北市大同區迪化街一段21號3樓,榮記,請至3樓官網
1310a818-0b09-49c4-8b70-4f880e5defb0,大同區,臺北市大同區重慶北路三段347號29號攤,大龍市場 古早味七塊雞（29號攤）,甘蔗雞 油雞 各式小菜
1352e6bd-a5a3-43bb-bf19-9e3f33f8413b,大同區,臺北市大同區延平北路3段(民權西路至民族西路間),延三夜市-新營人牛肉,以熱忱服務送上美味餐點
13a11070-96f7-4878-9a6f-71bb75f182a8,大同區,臺北市大同區迪化街一段21號2樓2112，2113室,依儷布行,依儷布行
13c827a1-f983-4b71-978a-305909e0c8a4,大同區,臺北市大同區寧夏路(民生西路至南京西路間),寧夏夜市-發發東山鴨頭,香酥可口甜而不膩！
13f12116-5e29-42be-a2c0-09d0954fe7d1,大同區,臺北市大同區迪化街一段21號2樓2001，2002，2003，2015室,雅棉傢飾布,雅棉傢飾布
13ff4062-e740-400c-9bcb-f0479d0971b5,大同區,臺北市大同區寧夏路,寧夏夜市-老六香腸蛋餅卷,
14031e46-10d3-4f69-891e-47a685943ff6,大同區,臺北市大同區昌吉街55至57號144號攤,蘭州144號攤,魚攤
141aad2c-4e1e-4e96-95a6-dd5234942ab1,大同區,臺北市大同區迪化街一段21號3樓,麗娟,請至3樓官網
1428f97c-64f4-4a32-978b-156c191402e4,大同區,臺北市大同區迪化街一段21號2樓2070室,騰興布行,騰興布行
147e0e9f-61a0-4a57-a094-1bef05d0ad20,大同區,臺北市大同區迪化街一段21號3樓,倫嘉,請至3樓官網
14808f28-8fd9-49b2-a81f-39a87a90f8b1,大同區,臺北市大同區迪化街一段21號2樓2045室,將興布行,將興布行
14c9e522-7b9e-4d45-8d48-41b4bb081307,大同區,臺北市大同區迪化街一段21號3樓,京采,請至3樓官網
14ff5800-f07e-4cfe-bfe3-d041be986c34,大同區,臺北市大同區慈聖宮前保安街49巷(甘州街52巷及涼州街間),慈聖宮美食街-山本米粉湯,古早味米粉湯 各式切盤 熱炒小菜
15411dc9-23a7-4781-bffc-2ad875007658,大同區,臺北市大同區寧夏路(民生西路至南京西路間),寧夏夜市-甜蜜紅茶,傳統古早紅茶
15e3c2c6-1f66-40c0-8b77-9c556e840c41,大同區,臺北市大同區寧夏路(百貨區13號攤),寧夏夜市-宏玲彈珠台2,寧夏夜市老字號遊戲攤
