ID,行政區,地址,店名,店家說明
004d91c9-d5ac-49d2-a759-d3e20e66ab40,大安區,臺北市大安區敦化南路2段120號(攤位132號),成功市場 日式火鍋料,日式火鍋料
010af887-6d68-42b5-a319-67f5fb7148f9,大安區,臺北市大安區建國假日玉市,建國假日玉市-第021號攤,販售珠寶
03a10804-90e9-424b-95f8-a6089c023333,大安區,臺北市大安區建國假日玉市,建國假日玉市-第236號攤,販售玉石珠寶
03f5053c-31fe-43d3-ac63-303ad765b049,大安區,臺北市大安區杭州南路二段55號C34,南門市場 藝凡格,欧洲服飾
0430c38c-2d1f-4b84-850b-5de23b5aef89,大安區,臺北市大安區建國假日藝文特區,建國假日藝文特區B22-劉素蘭,藝文相關
054ae517-3eb7-4f10-b5d6-9fdc97494b79,大安區,臺北市大安區杭州南路2段55號,NM-B63號,無
057decee-f5a0-4d24-9ba0-60180617c30e,大安區,臺北市大安區杭州南路2段55號,NM-A23號,無
072e7663-3195-4357-a16d-90d4bb53d981,大安區,臺北市大安區建國假日玉市,建國假日玉市-第322號攤,販售玉石珠寶
07811535-d2f1-4cef-bc93-6f95df455de1,大安區,臺北市大安區建國假日玉市,建國假日玉市-第147號攤,販售玉石珠寶
08032d52-9161-4893-951c-c6e73155efe1,大安區,臺北市大安區敦化南路二段120號（成功市場67、68攤位）,成功市場-水果王子,各種新鮮當季台灣水果、進口水果、水果禮盒等販售。
082f67a3-ff1d-4d64-8a09-e0512f2d1c65,大安區,臺北市大安區杭州南路2段55號,NM-B26號,無
0948ab0c-bd8c-426f-bcca-7333a5831f15,大安區,臺北市大安區建國假日玉市,建國假日玉市-第235號攤,建國玉市235號攤
0b06fe2f-436e-400a-bb08-9d83bbcf443e,大安區,臺北市大安區杭州南路二段55號B48,B48南園,『南園食品店』為近半個世紀的老店，位在台北市「南門市場」內，(A區) A12、A13、A14、A15攤位；(B區) B10、B48攤位。 本店的湖州粽遠近馳名，「南園鍾奶奶」堅持傳統，我們選用西螺圓糯米，以及台灣本土黑毛豬肉做內餡，半世紀以來家鄉口味不改變。
0b700f18-86b8-405c-9063-d814b59c0c5a,大安區,臺北市大安區大安路1段77號（東區地下街27-1號）,東區地下街-男生女生童裝,東區地下街 實體店面 專營  正韓童裝 正韓女裝 各國精選小物
0bdb4eca-cdca-4368-95e0-6fa56a61e9ee,大安區,臺北市大安區杭州南路二段55號C04,南門市場 宏昌商行,您好！我們是宏昌真小舖，銷售日式雜貨系列，琳琅滿目的商品，用恰好的錢可以購買到實用、療癒、溫馨的小物，讓現在不安定的日子裏可以更有勇氣與信心滿滿的過每一天喔....希望大家有機會來南門市場買菜時可以順道來逛逛攤位C04宏昌真小舖喔！購買滿千送一支日本竹炭舌苔刷......歡迎大家的到來！
0c8a5dec-4a85-4db1-8d3e-b9e1822790bd,大安區,臺北市大安區杭州南路二段55號A65,南門市場 光揚土雞鴨店,新鮮土雞
0cde9f24-2c8a-4ef7-abf4-b8ac72034738,大安區,臺北市大安區敦化南路2段120號(店鋪15號),成功市場 龍鳳幸運行,龍鳳幸運行
0ce28ac8-b518-406e-9a9b-b1e35af7f1c0,大安區,臺北市大安區敦化南路2段120號(攤位110號),成功市場 深坑黑毛豬,深坑黑毛豬
0d1a3fbb-4738-4a4c-b858-036a1365ceec,大安區,臺北市大安區建國假日玉市,建國假日玉市-第286號攤,販售玉石珠寶
0d4334a4-90d3-4cc5-b4e6-56fef71fff2a,大安區,臺北市大安區杭州南路二段55號,南門市場 阿萬蔬菜號,專門販售 新鮮季節時蔬 美味可口
0d94274c-6935-4a09-92b2-35770495febc,大安區,臺北市大安區敦化南路2段120號(飲食10號),成功市場 川月坊,川月坊
0dd7a5fb-8f61-476d-bb5b-da4de0c84ed2,大安區,臺北市大安區杭州南路2段55號,NM-B12號,無
0de4bf62-7fed-43b8-acd1-8ae42bd12771,大安區,臺北市大安區建國假日玉市,建國假日玉市-第A188號攤,販售玉石
0e3affb8-1b72-4e08-bafd-3142d99540dd,大安區,臺北市大安區臨江街40巷2號 (萊爾富前）,臨江夜市-阿婆水果,現切水果
0e4be115-9881-4a4c-b4a3-c1bca698699a,大安區,臺北市大安區杭州南路二段55號,南門市場 蘭亭金石書畫藝廊,武夷岩茶  安溪鐵觀音  潮州鳳凰單欉茶  白茶  潽洱茶   六安茶  茯磚茶  陳年老茶  蟲吮蜜香烏龍  比賽椪風茶  比賽紅茶  綠茶  茶包  朱泥壼  紫砂壺  汕頭壺  老壺  老蓋碗  老瓷壺  老瓷杯 鍚茶托  鐵壺   銀壺  老茶具  茶道用品  香道用品   機械鐘   機械錶  維修保養  文物鑑定買賣  字畫  瓷器  玉器  古文物  實用精品  精工工藝  刻字刻印
0e50cb3f-4aad-4025-b698-1cf1a144f991,大安區,臺北市大安區敦化南路2段120號(店鋪06號),成功市場 金襄行,金襄行
0eb28f0a-5fed-4638-a3c8-a6dc9df40d4e,大安區,臺北市大安區建國假日玉市,建國假日玉市-第214號攤,販售玉石珠寶
0f2ea869-4e7c-4e25-85c7-54809d2ab10e,大安區,臺北市大安區杭州南路二段55號C38,南門市場 羅萊,歐洲服飾
0f42a0df-f2cb-4df3-b86e-bc00b5405be2,大安區,臺北市大安區敦化南路2段120號(攤位072號),成功市場 碧蓮雜貨,碧蓮雜貨
0f9f4a14-146e-48c6-a432-0fc591427cba,大安區,臺北市大安區敦化南路2段120號(攤位134號),成功市場 客家美食,客家美食
0fd79f43-4430-461f-b2c6-a1825b98df19,大安區,臺北市大安區建國假日玉市,建國假日玉市-第550號攤 緣滿圓珠寶創意設計,販售玉石珠寶
1089cc4e-874a-4e4d-aa91-fe5b8792a44d,大安區,臺北市大安區建國假日玉市,建國假日玉市-第230號攤,販售玉石珠寶
108cb46b-eee1-4887-ba5a-528b2504b0f0,大安區,臺北市大安區杭州南路二段55號C29,南門市場 巧登,服飾 皮鞋 包包
10f36968-7d3e-4105-a8df-691b38f88fec,大安區,臺北市大安區建國假日玉市,建國假日玉市-第283號攤,天然玉石、批發零售、玉飾品販賣
11359828-571f-4c23-89a2-f2502c0c3b41,大安區,臺北市大安區建國假日玉市,建國假日玉市-第A151號攤,販售玉石珠寶
127ba16c-dddb-43ff-a431-df74909b4b16,大安區,臺北市大安區建國假日玉市,建國假日玉市-第428號攤,販售玉石珠寶
1338c6d6-9f7b-4c2a-a064-6ded83cc5c7c,大安區,臺北市大安區建國假日玉市,建國假日玉市-第091號攤,販售玉石珠寶
13f453f2-be08-4cee-96dd-0d37fde22a11,大安區,臺北市大安區杭州南路2段55號,NM-B34號,無
140ddc9e-bb65-4a73-92c6-a653c54356eb,大安區,臺北市大安區敦化南路2段120號(店鋪11號),成功市場 成功商行,成功商行
1424c95d-ed09-4427-b2ed-220edc21beeb,大安區,臺北市大安區杭州南路二段55號A09,南門市場 同寅號,販賣醃製品
14b6f5a3-6dd5-4182-bcb7-e17a6277a2fd,大安區,臺北市大安區敦化南路2段120號(店鋪21號),成功市場 完美店鋪,完美店鋪
14bddcb6-d0fa-4d52-bb03-f240ca6775dd,大安區,臺北市大安區建國假日玉市,建國假日玉市-第342號攤,販售玉石珠寶
1540d409-df72-4c65-85ef-e8af79901668,大安區,臺北市大安區敦化南路2段120號(飲食15號),成功市場 成功米粉湯,成功米粉湯
16b5ec8e-5f5a-4bf0-baa1-158f9b20071c,大安區,臺北市大安區建國假日藝文特區,建國假日藝文特區B08-彭欽賢,販售藝文相關物品
16e3c8f8-2cc0-4811-9fd8-7b2f739c25c7,大安區,臺北市大安區杭州南路二段55號B46,南門市場 協盛福州商店,福州商店
17092ba9-46c8-4ebf-9e4d-30c903be83c4,大安區,臺北市大安區杭州南路2段55號,NM-A49號,無
17764772-780b-4f56-9cc8-129a3ad4ad28,大安區,臺北市大安區建國假日藝文特區,建國假日藝文特區A16-吳金洋,販售藝文相關物品
17ee4738-18a7-4aaf-a3c6-f4fc17f37ec1,大安區,臺北市大安區杭州南路二段55號C19,南門市場 菲芃,菲芃舶來品名店在南門市場即將邁向第三十八個年頭，期望舊雨新知消費大眾走過路過不要錯過，歡迎蒞臨南門市場駐足参觀選購有所斬獲，創造滿心歡喜的超高提袋率，再造榮耀好光景，在接下來的日子裡依舊挽袖、繼續拼搏，再造一個豐足、喜悅、美好的微笑曲線！！
17fb10e5-c568-431e-8169-ab81c9eb64de,大安區,臺北市大安區杭州南路2段55號,NM-B56號,無
1805d21c-d40b-4735-a9ce-29d47d7a92e4,大安區,臺北市大安區臨江街85號,坡心市場-蔬菜攤,新鮮蔬菜
18797f41-6404-424a-9702-935769531e42,大安區,臺北市大安區敦化南路2段120號(攤位020號),成功市場 四維商行,四維商行
1934b572-6313-436e-a8e0-66f322244db1,大安區,臺北市大安區建國假日玉市,建國假日玉市-第341號攤,販售玉石珠寶
1935e14f-ffe6-425c-9eaa-dfa935980bea,大安區,臺北市大安區敦化南路2段120號(攤位101號),成功市場 台灣溫體牛肉,台灣溫體牛肉
194ce6f8-55ae-4c11-ac5e-674ab8724907,大安區,臺北市大安區杭州南路2段55號,NM-A27號,無
19885d6c-33ee-48c7-9c42-b4a18d8ed673,大安區,臺北市大安區杭州南路2段55號,NM-B64號,無
1a1dd999-897b-4a94-a673-025a69fbba67,大安區,臺北市大安區杭州南路2段55號,NM-A30號,無
1aaf7136-2e3f-4241-aa88-0ae2e17800fa,大安區,臺北市大安區敦化南路2段120號(飲食22號),成功市場 港式私房菜,港式私房菜
1ab5acc2-51e6-41a0-bfa8-d1e78cf97b64,大安區,臺北市大安區杭州南路二段55號,南門市場 采姿,欧洲服飾
1af28259-0908-44f1-b73a-022780bf2205,大安區,臺北市大安區建國假日玉市,建國假日玉市-第447號攤,販售玉石工藝品
1b821e2b-bbd3-4575-9b23-f32daef66d1f,大安區,臺北市大安區建國假日玉市,建國假日玉市-第133號攤,販售玉石珠寶
1c024a5e-b586-4848-a833-4297f5a62ea9,大安區,臺北市大安區建國假日玉市,建國假日玉市-第A161號攤,販售珠寶礦石
1c0e2f81-7f6d-44c9-856f-4c7b70f621c7,大安區,臺北市大安區杭州南路二段55號B59,南門市場 金龍肉乾南門本舖,肉乾、各式零嘴
1c863435-5dfa-4588-85cd-0a3cfaa908bb,大安區,臺北市大安區杭州南路二段55號B49,南門市場 福泰和福州商店,雜貨
1d3faed7-f014-4e7b-bfe1-f8846a3c1e7c,大安區,臺北市大安區建國假日玉市,建國假日玉市-第412號攤,販售玉石珠寶
1e818c73-571a-4d02-a76a-2af038b23b1b,大安區,臺北市大安區杭州南路2段55號,NM-A39號,無
1ed75610-f472-4cec-b3a3-556f82cbfd1c,大安區,臺北市大安區杭州南路二段55號D09,南門市場 江浙餐館,中式點心
1eed1522-d575-4c8b-ab5e-7e5c99116745,大安區,臺北市大安區建國假日玉市,建國假日玉市-第139號攤,販售玉石珠寶
1ef23aba-2431-409f-aca1-2c4255743382,大安區,臺北市大安區杭州南路2段55號,NM-D02號,無
1f1e4b50-796b-4b6b-8245-f778a45cda68,大安區,臺北市大安區建國假日玉市,建國假日玉市-第200號攤,販售香品宗教文物
1f5f37ca-24de-4003-9d2b-910d44d4884a,大安區,臺北市大安區杭州南路二段55號A76,南門市場 廷本肉店,販售新鮮肉品
20045f06-ba9e-42d8-8120-9a937aaad97a,大安區,臺北市大安區建國假日藝文特區,建國假日藝文特區B12-張少立,油畫藝術創作
2133e36f-5161-43f7-a9d6-8e27055c1f17,大安區,臺北市大安區杭州南路2段55號,NM-C17號,無
21412b7a-0fa8-41b5-9e30-c6e8fc453c19,大安區,臺北市大安區杭州南路二段55號A71,南門市場 恆發肉店,新鮮肉品
215919ab-3d8e-49d0-b086-f77bc7f96cb4,大安區,臺北市大安區杭州南路二段55號C11,南門市場 佳暉百貨行,百貨
