ID,行政區,地址,店名,店家說明
01a927fb-ac56-4596-b063-4ac6cc014ab9,松山區,臺北市松山區饒河街185騎樓前方,饒河夜市-北京羊肉串,道地的孜然風味，精挑細選的肉質、深得您的味蕾
01b4f492-2c74-45be-bfba-669c27f3cb12,松山區,臺北市松山區塔悠路40號,南松市場0028號攤,無
030fedfe-32aa-4bb8-92dc-43095ca81ac4,松山區,臺北市松山區八德路三段76號,中崙市場1樓52號,無
0701bfa0-e350-4f3a-b669-b3093504d676,松山區,臺北市松山區饒河街109號前路中,饒河夜市-饒河潤餅卷,台灣傳統小吃，潤餅皮皆為當日製作，皮薄餡多，值得一嚐！
07afa80a-e5d7-4e00-a15d-686e7748cc25,松山區,臺北市松山區塔悠路40號,南松市場0164號攤,無
083f648d-6bdf-4cfe-834b-08f2677f13aa,松山區,臺北市松山區塔悠路40號,南松市場0039號攤(仁和雞肉行),無
093a5011-04ea-4ea2-9f49-1ed36b782291,松山區,臺北市松山區八德路三段76號二樓（3號攤）,中崙市場 美式壽司創意料理,來自美國的壽司料理
0ce1b391-44a7-460f-8e61-a1aa9a364cfa,松山區,臺北市松山區饒河街107號前(塔悠路至八德路四段口間),饒河夜市-堉泓饒河西米露,真材實料 新鮮香濃 純天然
0d36adff-b7d1-46c0-a833-908267525d63,松山區,臺北市松山區八德路三段76號,中崙市場 中崙香蕉伯,職人專賣香蕉 50 年，每日進貨，唯一販售新鮮好吃的頂級香蕉！
0d568c52-d4a6-4325-a779-3092d6a8bfc9,松山區,臺北市松山區八德路三段76號,中崙市場1樓11號,無
0dd96aea-a37f-46b8-a9da-f9e5e829ca29,松山區,臺北市松山區饒河夜市路中地號149,小熱狗店長燒肉串,現烤燒肉串
0f072f05-5bbe-4adb-8352-cc9a803c726d,松山區,臺北市松山區光復北路190巷39號,龍城市場227號攤,龍城市場227號攤
1084bf33-21a8-4a2a-9389-b9032370b2eb,松山區,臺北市松山區塔悠路40號,南松市場0031號攤,無
11d5ad9c-6a3a-42b1-9d9a-6cc10789d6c0,松山區,臺北市松山區塔悠路40號,南松市場0018號攤,無
120b8233-a076-403e-afd4-4489f682ab6b,松山區,臺北市松山區塔悠路40號,南松市場0036號攤,無
132964e8-442e-4bfc-a862-2a0f9cf229fc,松山區,臺北市松山區八德路三段76號,中崙市場 Trytea試茶,台灣茶·鮮果汁 -嚴選台灣好茶： 台灣十大茗茶的 魚池18紅茶、凍頂烏龍茶、阿里山茶，台灣常見的四季春青茶。一律選用台灣優質高山茶  -新鮮水果：以傳統的做法將水果的天然、新鮮、原味傳遞出來，不用濃縮糖漿，就是要你喝的健康 -選用 台糖蔗糖、手工黑糖、純蜂蜜來調配甜度
1422c39f-ebde-4c3e-b96d-03269e91f28e,松山區,臺北市松山區八德路三段76號,中崙市場1樓29號,無
17059b0c-ecef-4da7-9af0-c1baa3d48a99,松山區,臺北市松山區塔悠路40號,南松市場0025號攤,無
176c0463-1ed5-4741-b171-276a346b76ec,松山區,臺北市松山區八德路三段76號,中崙市場2樓39號,無
