ID,行政區,地址,店名,店家說明
005b3efa-30fb-4e5a-87c9-8e2149091d83,萬華區,臺北市萬華區梧州街31號攤,梧州街夜市-脆皮臭豆腐,臭豆腐攤
00dcc793-7834-44da-8323-0d5fe16cb92d,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場漁產075號,零批早市
0109357f-5deb-42f3-b359-aa46d91e6b21,萬華區,臺北市萬華區環河南路二段245號,環南市場獸肉030號,零批早市
017a3c74-d171-46c8-aebd-8120c8dc4e67,萬華區,臺北市萬華區環河南路一段224號,河濱一商場 大楊五金商行(112),機械五金
01987d7a-a1f2-4267-9d43-b736ac35554c,萬華區,臺北市萬華區康定路172巷1號,直興市場臨固6號,本攤舖料多味美又實在，充滿人情味「就愛咖喱」！
01bba55d-8fe1-43ce-84bd-87d83f54e46e,萬華區,臺北市萬華區廣州街200號前,艋舺夜市-陳媽媽仙草冰,飲食
01c46302-d8b7-4d51-be47-df7aad381d82,萬華區,臺北市萬華區環河南路二段245號,環南市場庫體051號,零批早市
01d86c44-8eac-4bfd-bf97-ff973ea55384,萬華區,臺北市萬華區成都路10巷5號1樓,西門商場 陳爸手工肥皂,文創商品，手工肥皂，精美飾品
022239f9-611b-414f-b6b6-150ab6f1eee2,萬華區,臺北市萬華區和平西路三段120號,龍山商場(美食) 蘇記六十年老店,新鮮食材，自炸豬油、現剝蝦仁、豬大骨熬製湯頭
0297d1ff-f642-4f78-805c-b6e1d549df28,萬華區,臺北市萬華區廣州街198號前面(065號攤),艋舺夜市-坦品襪業,男女襪品，紳士襪，工作襪，兒童襪，運動襪，各類襪種，內褲。
02e751f7-6caa-45b2-ae01-7aafbf008602,萬華區,臺北市萬華區西寧南路4號,西寧市場 第1113號攤,電池焊接，休護及改製，3C配件及變壓器
031bf2ca-6001-4b52-a99e-2565f636980e,萬華區,臺北市萬華區廣州街(西園路1段至梧州街間),艋舺夜市-阿靖男裝,艋舺夜市阿靖男裝
031d2d17-dfa9-4157-b7f4-b11fd6754a83,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場獸肉008號,零批早市
034da7b2-3c9c-4484-9df5-8e6d8a424de3,萬華區,臺北市萬華區環河南路一段94號,河濱一商場 萬大電器行,電氣、零件等五金
042c8f6f-9f6d-4714-b40d-77780bb57367,萬華區,臺北市萬華區廣州街200號前,艋舺夜市-元品五金百貨,百貨
043a175a-ab80-465c-a600-cbfdcbf7dd5d,萬華區,臺北市萬華區康定路172巷1號,直興市場臨固28號,德興甜不辣，純手工製作，無添加任何化學成分，味美料實在，濃濃人情味暨古早味的味道
043df866-e57c-4226-ae6d-729a1ddf00b1,萬華區,臺北市萬華區環河南路二段245號,環南市場蔬菜283號,零批早市
04d68b15-949c-46a0-a7be-982d3f0b738d,萬華區,臺北市萬華區康定路172巷1號,直興市場貴區1號,新鮮多樣又甜美蔬果
0511a85f-23c0-48fa-b98a-a4973c4ff006,萬華區,臺北市萬華區西園路一段145號B1,龍山寺地下街-新生命按摩小棧,按摩
05addadc-f6da-4086-b0d4-1c03c8869df8,萬華區,臺北市萬華區廣州街245號,廣州街夜市-生活棉織品,棉質內衣褲、襪子、睡衣、居家服等生活棉織品
05d141bc-fd72-4e93-9d58-a6f93f491862,萬華區,臺北市萬華區環河南路二段245號,環南市場家禽042號,零批早市
068170b8-ce11-44e8-977b-cff8695c23f1,萬華區,臺北市萬華區廣州街夜市275號一樓,廣州街夜市-破殼雞蛋仔,零食攤
068b9f51-a3e8-47e5-ad9c-9debf6876988,萬華區,臺北市萬華區廣州街243號前,艋舺夜市-但襪品行,"專業銷售各式襪子內褲,大人小孩都有"
06952aeb-027f-473b-b349-5dddd7b0dda3,萬華區,臺北市萬華區廣州街(西園路1段至梧州街間),艋舺夜市-難忘胡椒蝦,難忘胡椒蝦創於1986年 所賣的品項有：胡椒蝦、蟹肉、燒酒螺、鳳螺、鳳爪  優惠活動：來店消費者🈵️$500送仙草冰ㄧ杯
06ce126e-d466-4370-9db8-ee0538a312b9,萬華區,臺北市萬華區廣州街243前面,艋舺夜市-古早味冬瓜茶,專業銷售冬瓜茶紅茶
0714e846-a73d-4370-a55f-69984d41d033,萬華區,臺北市萬華區康定路172巷1號,直興市場貴區30號,蔬菜水果多樣選擇，新鮮喔
073d30fc-2f71-4663-9279-4fd4f5fca1e7,萬華區,臺北市萬華區廣州街夜市,廣州街夜市-阿城藝品店,各式水晶和古董
07a52d0d-5d68-48de-9c34-45d0ef130a7a,萬華區,臺北市萬華區環河南路二段245號,環南市場蔬菜115號,新鮮多樣的蔬菜
087d63e6-3008-443d-96af-79be1db1a007,萬華區,臺北市萬華區環河南路二段245號,環南市場調理010號,零批早市
088f8bef-604e-4c9e-9650-f97aa1ed81c6,萬華區,臺北市萬華區三水街70號,新富市場-唐記咸光餅咖哩酥,糕餅點心販售
0982e7ac-2714-4dd6-9cdc-2e9d5fbf5f0d,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場家禽067號,零批早市
09a65d38-c333-49c9-a749-b4498b12521c,萬華區,臺北市萬華區廣州街夜市攤號65號,廣州街夜市-艋舺蜜餞,蜜餞
09f9db61-3363-4e0f-aebc-f82e1ad3f4e9,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場漁產094號,零批早市
0a5cb089-bf69-4924-88c0-a01fa603ec33,萬華區,臺北市萬華區廣州街夜市,廣州街夜市-施蚵仔湯,廣州街夜市
0a6e8708-3315-49ce-aa6e-17c1db6af1c7,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場雜貨004號,零批早市
0a7d85a3-3d5f-4413-8cc8-fb589533df61,萬華區,臺北市萬華區成都路10巷33號1樓,西門商場餐飲 THE garden,咖啡、餐飲、戶外休閒、談天敘舊的好場所！
0a849453-6e88-4c3a-a324-23265828291f,萬華區,臺北市萬華區西園路一段145號B1樓19號廣場旁,龍山寺地下街-葉明輝商行,不管陽傘還是雨傘都有 大人小孩雨衣都有  絲襪 短襪 男襪女襪都有歡迎蒞臨選購
0ab9e140-4089-42ec-a3b7-616f8a4d69b2,萬華區,臺北市萬華區廣州街(西園路1段至梧州街間),艋舺夜市-香娥鞋行,拖鞋販賣
0aece02e-d45c-40cd-bee7-108c9fff6327,萬華區,臺北市萬華區成都路10巷41號,西門商場 牡丹,"位在西門町紅樓南廣場最大的露天休閒餐廳，設計色彩鮮明，充滿貴氣的牡丹,,是近年來台北極具特色的酒吧餐廳，經過各國的雜誌新聞的報導，牡丹已是世界各國的旅遊人士和台北市民人氣到訪的地方，除了平價供應酒茶等飲料外，也提供燒烤酒菜與純日式風味豬排飯等美食,供客人有多樣選擇。"
0b5b0d4b-0279-4246-9a58-0c7a513b3473,萬華區,臺北市萬華區環河南路一段330-1號,河濱二商場 立新五金(32),五金店
0b8e704e-aa79-4347-a3e2-2adc334fa788,萬華區,臺北市萬華區西寧南路4號,西寧市場第1146攤,豆類.海帶食品零售批發
0c668f4c-8f97-4f9c-875e-7276c0297967,萬華區,臺北市萬華區華西街21巷9號,廣州街夜市-純純女內衣,廣州街夜市
0c81789a-8488-4b04-9c77-286a84b7abc8,萬華區,臺北市萬華區華西街185號攤,華西街夜市-蒸好吃,飲食攤
0cdc63cb-14fa-441d-a026-65faaad708a4,萬華區,臺北市萬華區環河南路二段245號,環南市場獸肉038號,零批早市
0d76a89a-ea0c-408a-b7c4-578aa1330dc3,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場飲食024號,零批早市
0df053e7-308d-4242-9500-a1b2a117ecde,萬華區,臺北市萬華區廣州街(西園路1段至梧州街間),艋舺夜市-八仙菓,無
0f4143fb-e07c-476c-9f64-8669ecb5a7f9,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場飲食013號,零批早市
0fa178dd-d898-49ac-8933-4e2f225df899,萬華區,臺北市萬華區環河南路一段98號,河濱一商場 三榮電機行(49),電機行
0fac5c13-0a87-4771-929e-605ef2128c56,萬華區,臺北市萬華區臺北市萬華區三水街72之1號,東三水街-永恆製麵,麵攤
11ee0efd-96df-4f95-85c0-fb7b65b94433,萬華區,臺北市萬華區環河南路一段226號,河濱一商場 大楊五金商行(113),機械五金
129ecf99-d6a2-49d4-b910-f6c76141cdf1,萬華區,臺北市萬華區廣州街夜市,廣州街夜市-甲林鐵板燒,歡迎光臨廣州街夜市
12fb529f-f350-4934-a703-3c4b172b1884,萬華區,臺北市萬華區廣州街247號,廣州街夜市-姊妹拖鞋,時尚品牌是
1394a1a6-a395-4203-ae97-239eb5b097d9,萬華區,臺北市萬華區環河南路二段245號2樓,環南市場漁產097號,零批早市
1487bca7-3047-47d5-b717-18e3bf8ba704,萬華區,臺北市萬華區西寧南路179號,西門商場 SOL bistro,輕食，炸物，飲料，義式料理
14ca5c7f-91b6-48ea-abc4-715d50260fa0,萬華區,臺北市萬華區廣州街(西園路1段至梧州街間),艋舺夜市-古早味糖葫蘆,古早味糖葫蘆是純糖不加色素
1563bd10-0fd9-40ad-91ef-5d640ccbb4e4,萬華區,臺北市萬華區西寧南路4號,西寧市場 新井食品行,豆類海帶火鍋料食品批發零售
15c1fab0-ec15-45fa-96f1-ab1a0a13104c,萬華區,臺北市萬華區康定路172巷1號,直興市場臨固5號,新鮮好吃檢驗合格
