ID,行政區,地址,店名,店家說明
0b0ba7b5-2c99-4c1c-97ad-c1145888f3d2,內湖區,臺北市內湖區碧山路43號,菩提園有機農場,"菩提園有機農場 採草莓,體驗農事活動 DIY草莓果醬,種植草莓盆栽,拔蘿蔔,用餐吃烤雞等其他農事活動"
0c4e2ee9-c180-43aa-9008-6c951ed034ac,內湖區,臺北市內湖區碧山路38-2號,莓圃休閒農園,莓圃休閒農園
118f63e3-e105-486f-b32a-a837a20db594,內湖區,臺北市內湖區碧山路58-1號,美麗田農園Farmily,美麗田農園Farmily
2b06f251-b2be-4cfd-b86c-f233d2ec9597,內湖區,臺北市內湖區碧山路47號,夫妻樹農園,夫妻樹農園
2cb4d243-bc96-426b-8d89-d0b77bc43465,內湖區,臺北市內湖區碧山路32-1號,煮雲軒,煮雲軒
31546695-0df2-4e8e-9371-2912fafea0ac,內湖區,臺北市內湖區碧山路30-5號,茗穀屋烘焙坊,原本只是一位喜歡做點心給孩子的媽媽，民國84年一頭栽進烘焙世界，自此對手做點心充滿興趣與熱情，20年來不曾間斷學習，成為教烘焙的林老師。在眾多吃上癮的親友鼓勵下，成立茗穀屋烘焙坊，本著做點心給孩子的初衷，做法健康用料堅持!! 美味傳統豆花、香噴噴蔥抓餅、關東煮、冬瓜茶。另外還有林老師用心製作的各種點心、果醬與果醋，歡迎來茗穀屋細細品嚐，一邊享受山林美景。
32686c18-bfde-4550-9fc9-fe90be550b94,內湖區,臺北市內湖區碧山路43-18號,東林草莓園,東林草莓園
38952a1f-dfaa-4bd1-b262-377b1f6d0459,內湖區,臺北市內湖區碧山路26-1號,橋頭美食坊,橋頭美食坊
46376bfa-5335-424a-98bf-f373b492ba35,內湖區,臺北市內湖區碧山路32號,Coco32 咖啡棧休閒農園（農好券）,Coco32 咖啡棧休閒農園
57e9847c-9801-4a45-a2f6-482331b9f87a,內湖區,臺北市內湖區碧山路58號,白石森活休閒農場,白石森活休閒農場
5f24e815-87e3-4dbe-8f1a-45706d67db28,內湖區,臺北市內湖區碧山路49號,內湖休閒農園,"""內湖休閒農園位於台北市內湖區，12月到5月主要種植高架及地面溫室草莓(產銷履歷認證),開放遊客採摘享受田園樂趣.草莓季另推出火紅親子活動小小草莓廚師,DIY手工草莓果醬、港式雞蛋仔、風車及草莓氣球並且將草莓相關知識及體驗分享給大家，保證是您週休二日首選選擇"""
7072b990-3e3e-44f2-af3c-d50ee472082d,內湖區,臺北市內湖區碧山路44號,大崙頭草莓園,大崙頭草莓園
a1e48eb1-febf-4565-ae04-e739a96366ad,內湖區,臺北市內湖區碧山路58號,台北市內湖區白石湖休閒農業區發展協會,台北市內湖區白石湖休閒農業區發展協會
a981a37e-6957-4805-aaa3-083c14070df9,內湖區,臺北市內湖區碧山路43號,慶舜有機農場,慶舜有機農場
dbd0a0e1-7345-46d2-85f4-7ae23c32edea,內湖區,臺北市內湖區大湖街206號,清香休閒農場,清香休閒農場
e15e759a-8739-45be-a3ef-3b5299943fc0,內湖區,臺北市內湖區碧山路40號,白石湖草莓園,白石湖草莓園
