ID,行政區,地址,店名,店家說明
0e26cc92-0d27-46e2-92fa-e2ec5e468a22,北投區,臺北市北投區竹子湖路68號往前68公尺,財福海芋田,位於陽明山國家公園內，由大屯火山群所圍繞的竹子湖堰塞湖地形，財福種植海芋花、繡球花，花田區前方為七星山小油坑壯麗山景，複合室小屋提供農事體驗及簡單農村點心，花田正朝友善花卉種植經營，低消一杯飲品是一處親子踏青休憩的好場所。
24c3fce2-6008-47c3-9178-29908d8cbb42,北投區,臺北市北投區竹子湖路33之7號,大梯田花卉生態農園,大梯田位於陽明山竹子湖，是一座梯田式的繡球花農園。承襲祖先留下來的百年梯田，種植過蓬萊米、高冷蔬菜、杜鵑、海芋、到繡球花，園主一步一腳印慢慢將大梯田建設成現在的樣貌。園區內主要的花季 3~4月是紅楓葉 5~6月是繡球花 8~9月是金針花 映入眼簾的是一層層有高有低的梯田。春夏，梯田色彩繽紛，如萬花筒般的絢麗花海。 秋冬，置身在空靈山谷，感受蕭瑟的美感，是沐浴身心靈的最佳去處 。
306ea3c7-4fda-46a7-adf0-0903e9609abe,北投區,臺北市北投區復興三路355巷39號,二崎生態休閒農場,隨節氣更替來農場接觸自然，體驗農事生活，採收作物手作各種米麵食。(15人以上團體預約)
62884619-01b1-4b56-8b2c-cb83e4e90c46,北投區,臺北市北投區竹子湖路55之10號,故鄉海芋園,位於陽明山竹子湖，種植海芋、金針花，同時經營富有盛名的野菜餐廳。
89cf26a1-f883-4035-9259-65398056cb05,北投區,臺北市北投區竹子湖路67號往前100公尺,名陽匍休閒農莊,位於竹子湖 頂湖  有咖啡有甜點  花季時賞花
980f8f84-48e6-48a8-a554-7395400f3c85,北投區,臺北市北投區竹子湖路68號旁,花谷海芋園,山谷中的海芋園
c4d3bc7f-6e2f-43df-8380-2826f3acff4d,北投區,臺北市北投區大同街153號,台北市北投區農會供銷部,台北市北投區農會供銷部
d13ab617-0126-4fea-81a8-e2fa2f0c8836,北投區,臺北市北投區承德路7段401巷551號,八仙六代園-鄭亦真,八仙六代園-鄭亦真
e1b75ab0-e869-49b6-9a55-598735525ccf,北投區,臺北市北投區竹子湖路33號,曹家花田香,以創意地景藝術結合梯田式繡球花海為主的觀光花園，讓您猶如置身仙境中
e5655a80-b9c0-4f3e-b068-a401b51858a9,北投區,臺北市北投區竹子湖路35之1號,發現生活園藝 (曹昌正),到竹子湖小旅行的最佳去處!發現生活園藝休閒花園期待您的來訪!
