ID,行政區,地址,店名,店家說明
004f3005-dc4f-4c70-8ed8-afe18394cc49,大安區,臺北市大安區建國南路一段高架橋下,唐嚴漢-建國花市,歡迎各位來野蔓園！
03502fcd-5b08-4a68-8213-c178a3bb9a73,大安區,臺北市大安區建國南路一段高架橋下,林杏秋-建國花市,各式植物、蘭花、蕨類的販售
059c05d8-f49b-45e1-b97c-9e43b07c7ac7,大安區,臺北市大安區建國南路一段高架橋下,翁嬿粧-建國花市,歡迎來買花呦😊攤位位於建國花市1414號
0682aa03-9d41-422b-abd0-77fedc8ca42d,大安區,臺北市大安區建國南路一段高架橋下,劉林嘉玲-建國花市,各式花卉
06c47d2e-0793-47da-8332-dad33b4c0271,大安區,臺北市大安區建國南路一段高架橋下,趙靜華-建國花市,蘭花盆栽在花市經營35年
0a0bc365-9f8c-41fb-9031-fdc412f12f14,大安區,臺北市大安區建國南路一段高架橋下,曾秀玉-建國花市,提供玻璃花藝器材販售
0b33c027-e948-419a-9643-45ea9b519232,大安區,臺北市大安區建國南路一段高架橋下,洪陳瑱-建國花市,曜弘國際攤位號碼1206（近信義路迴轉道上）專營進口泥炭、有機肥料、義大利進口陶盆⋯等
0d0e27ed-8e8c-4121-afe2-dfab68232102,大安區,臺北市大安區建國南路一段建國高架橋下,建國花市-吳採鳳,觀葉植物 室內植物 秋海棠
0df7abea-95cb-4059-ab6c-1469821468bc,大安區,臺北市大安區建國南路一段高架橋下,陳世興-建國花市,盆栽
0e10412c-5809-443d-be37-de9363e32ebc,大安區,臺北市大安區建國南路一段建國高架橋下,楊明憲-建國花市,販售商品：開運竹、苔球、鹿角蕨⋯。
1052f60b-a431-431a-9fe9-d9687e5a14ee,大安區,臺北市大安區建國南路一段建國高架橋下,陳宗春-建國花市,盆栽、盆景、山野草、蕨類販售
107978ad-7fdc-412c-b3c2-0b8925a99a0c,大安區,臺北市大安區建國南路一段高架橋下,賴宜君-建國花市,各式室內外盆花，吊盆
11c8fb89-4e65-424b-a1c4-b7b239f96888,大安區,臺北市大安區建國南路一段高架橋下,吳旻岳-建國花市,盆栽花卉
11d9db3d-d567-45f2-9b9c-2e29e594bfa3,大安區,臺北市大安區建國南路一段建國高架橋下,邱柏諭-建國花市,觀葉植物
11f966ac-c154-4e59-9be6-01c52b621789,大安區,臺北市大安區建國南路一段高架橋下,吳政儒-建國花市,順興花園  吳政儒 吳瑞堂 台北市北投區湖山路二段36號 0928296805 0928296804 櫻花🌸柏樹 松樹 庭園景觀用花木
14dbaa1d-c08f-49c1-b209-13f8444327a4,大安區,臺北市大安區建國南路一段建國高架橋下,何麗貞-建國花市,蘭花
173b5ee8-7b4b-4cc4-be76-fd9a758dfb2f,大安區,臺北市大安區建國假日花市813號攤位,楊千慧-建國花市,Kent 假日花市，建國花市909號攤位。 專業空氣淨化植物銷售規劃設計，各式花盆及園藝資材批發零售。 Kent 香草舖子，建國花市813號攤位，香草植物，歐式日式花盆，春聯節慶商品，卡通授權商品批發零售。
17613105-3f1b-4996-9d1e-f6fa4e294d29,大安區,臺北市大安區建國南路一段建國高架橋下,劉文靜-建國花市,園藝灑水組
19501916-8db7-43db-a1bd-ede904ecca80,大安區,臺北市大安區建國南路一段建國高架橋下,李天怡-建國花市,水生植物/水生用品 植物造景缸
198c55c2-4f54-47ac-8fda-1e234a10651b,大安區,臺北市大安區建國南路一段建國高架橋下,吳祚雄蘭園-建國花市,專售原種蝴蝶蘭，珍奇類蝴蝶蘭，鹿角蕨以及毬蘭，提供植物照顧病害諮詢等服務
19bd9866-4243-4a2b-942c-3e5179605469,大安區,臺北市大安區建國南路一段建國高架橋下,范素玲-建國花市,成立於86年營業項目為進口水晶玻璃花器 和各類器材 人造花 微景觀 各式花房
1ac97b97-cb47-4e53-9468-d1d55d8ccc49,大安區,臺北市大安區建國南路一段高架橋下,吳麗蔓-建國花市,園藝資材
1cc1a919-4f4f-4865-a6a6-0d700b8f3918,大安區,臺北市大安區建國南路一段建國高架橋下,黃麒元-建國花市,蘭花
1d170343-aa08-4853-ac93-97275be8c0ec,大安區,臺北市大安區建國南路一段建國高架橋下,蓁坊蘭藝-建國花市,台北市建國假日花市910攤位
1d31e655-4bc4-499c-aaab-aef20de50862,大安區,臺北市大安區建國南路一段建國高架橋下,陳立洋-建國花市,蝴蝶蘭
1d405c6f-362a-4e79-8e8d-cc52f42f720d,大安區,臺北市大安區建國南路一段建國高架橋下708 攤位,林正宗-建國花市,三億蘭園
1d428ac1-5238-42d5-bef8-0367c0bb0a66,大安區,臺北市大安區建國南路一段建國高架橋下,張婉祺-建國花市1001,多肉植物專賣
1fba3cfe-d6d9-4531-b7e9-fbe51b961ffe,大安區,臺北市大安區建國南路一段高架橋下,俞聯登-建國花市,各式花卉（豬籠草）
21061833-a2c3-49ad-8be4-044fa0bd3331,大安區,臺北市大安區建國南路一段建國高架橋下,江東霖-建國花市,果樹 盆栽盆栽
210b56ee-8c0d-4470-ad57-d5d95a75b477,大安區,臺北市大安區建國南路一段建國高架橋下,羅家榆-建國花市,多肉植物.仙人掌
230f14f5-b7cf-4d02-a25e-44a97eb59989,大安區,臺北市大安區建國南路一段高架橋下,吳如萍-建國花市,販售各式多肉、小品盆栽
23530295-547f-460c-bae7-6a62b68cba2e,大安區,臺北市大安區建國南路一段高架橋下,鄧蕭莉-建國花市,販售各式花卉
23da73c9-e40a-4c3a-ac08-1f98e873a8ef,大安區,臺北市大安區建國南路一段建國高架橋下,金景誠-建國花市#514攤位,盆栽
2425c18b-1f3c-45f4-b86e-c93e773eb607,大安區,臺北市大安區建國南路一段高架橋下,洪麗貞-建國花市,建國花市
26b44d2e-32b7-421c-85ed-a6620a63b14d,大安區,臺北市大安區建國南路一段高架橋下,顏素貞-建國花市,建國花市花農展售
274abd66-52de-4e31-8354-ed525ee10d0a,大安區,臺北市大安區建國南路一段高架橋下,葉明輝-建國花市,販賣各式花卉
297388f3-551c-4fae-a1d4-3b128bb49e00,大安區,臺北市大安區建國南路一段建國高架橋下,周合興-建國花市,花器植栽
2973bccf-2e9f-441b-a683-097c038cdccb,大安區,臺北市大安區建國南路一段高架橋下,曹倉銘-建國花市,主要販售：切花鮮花、乾燥花....等等
2abb4130-6fe6-4d03-958e-c0250c40bc1b,大安區,臺北市大安區建國南路一段高架橋下,徐美雪-建國花市,專業國蘭買賣
2ad19050-7f00-449f-b5d9-90d52651bfb7,大安區,臺北市大安區建國南路一段高架橋下,何金益-建國花市,販售格各式花卉
2b25b091-aac4-40c8-a296-65542ac275ee,大安區,臺北市大安區建國南路一段高架橋下,楊玲玲-建國花市,賣香草植物與睡蓮
3139eff3-0ad6-4848-a920-c4279566cc0a,大安區,臺北市大安區建國南路一段高架橋下,陳怡誠-建國花市,鮮花/乾燥花
3223becb-3d8a-4f87-aa6e-b1abd8082c6b,大安區,臺北市大安區建國南路一段高架橋下,黃南英-建國花市,各式花卉（水生植物與蕨類）
32d24a99-0d7b-405d-bda3-91689e30f35a,大安區,臺北市大安區建國南路一段高架橋下,莊惠娟-建國花市,各式花卉
33607b1e-4ef2-4668-b1e3-90c5bd5ac40d,大安區,臺北市大安區建國南路一段高架橋下,林建德-建國花市,各式花卉
34b22642-00a3-46be-ab2e-5cd5cdd27007,大安區,臺北市大安區建國南路一段建國高架橋下,王紫蘭-建國花市,建國花市，盆栽植栽
35534c90-ee19-4547-be67-029dea5e67e7,大安區,臺北市大安區建國南路一段高架橋下,嚴萬發-建國花市,販售各式花卉
359fdd87-716e-48db-8a47-5c37589d11a9,大安區,臺北市大安區建國南路一段高架橋下,潘賜福-建國花市,販賣茶葉 包種茶 烏龍茶
36203010-2292-48e7-819c-838baf9febea,大安區,臺北市大安區建國南路一段高架橋下,董永義-建國花市,台北市農會建國花市攤商
362ef49e-631d-4407-a80f-a5908ef0f86c,大安區,臺北市大安區建國南路一段高架橋下,侯復凱-建國花市,四季草花 觀葉植物
36788c40-5dcf-4d8f-af34-9cb408f73c02,大安區,臺北市大安區建國南路一段高架橋下,李家維-建國花市,北歐觀葉尤加利專賣 香料與藥用植物盆栽
37521a65-2718-449c-bac1-03f88934d3b0,大安區,臺北市大安區建國南路一段高架橋下,高健瑋-建國花市,販售日本盆景
