ID,行政區,地址,店名,店家說明
027d1cc5-572b-49f7-a8cf-c60cc756d0eb,中正區,臺北市中正區信義路一段1號,臺北市中正運動中心,中正運動中心是運動好去處，歡迎來館運動。
07893229-fb7a-4308-8658-1fc5511b1583,中正區,臺北市中正區愛國西路9號地下1層,超悅健身中心Beyond GYM,Beyond GYM 提供乾淨舒適專業的運動場地，免綁年約、免手續費，讓您運動無壓力
2c428742-e3b7-4c35-af6a-6d8ad2341f17,中正區,臺北市中正區和平西路1段68號地下1樓,POOL HOUSE 撞球家族休閒館,秉持著對撞球的熱誠我們會永續經營下去，希望大家不要忘記撞球。 更希望來家族練球的每一位客人跟我們彼此之間都是好朋友聯繫著 如有意見更希望各位可以告訴我們改進更好無菸撞球環境，最優質的場館！ 24小時全年無休，您半夜無聊的好去處！ 本館交通方便好停車（古亭站9號出口） 計時3元/分鐘，包台460元/3小時
2d5dcb5a-cc36-4693-ad1d-7167e92d55ab,中正區,臺北市中正區忠孝東路一段176號2樓之1,花郎運動館,捷運善導寺站五號出口 步行三分鐘 ▲ITF國際跆拳道 兒童班、成人班 ▲自由搏擊 成人班、女子班 歡迎免費體驗，預約和參觀請先私訊！
371284e7-9807-454f-b380-fa2c0a383458,中正區,臺北市中正區羅斯福路4段64號4樓,Curves台大公館店,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (02)2368-1100 *請提前主動告知使用""政付優惠券"",  店家保留最終活動"
47b4e704-4c6b-4b20-95ae-9189a9fe43dd,中正區,臺北市中正區忠孝東路一段11-2號3樓,欣跳運動工作室,捷運藍線善導寺站1號和3號出口步行1分鐘，亦提供場地租借～
5df4ef86-31b9-4326-96b8-b6679af71b6b,中正區,臺北市中正區和平西路1段2號B1~3樓,TrueYogaFitness 全真古亭館,位於古亭捷運站交通便利處，占地1028坪，每周提供上百堂、65種各式瑜珈、皮拉提斯墊上、飛輪及團體有氧訓練課程。
6ebfed97-52c6-4723-b9a1-ac641bde01bc,中正區,臺北市中正區龍福里寧波西街７９號,BeeFit蜂運動寧波教室,在繁忙的生活中，妳想要給平淡的生活帶來一點改變，妳回想起學生時代的夢想：想要騎單車環島、想要出國跑馬拉松，讓人生增添不一樣的色彩。實現夢想需要一個健康強壯的身體，所以，當同事下班去聚餐，妳選擇來健身教室學習「更有效率地運用身體」。改變，無法一蹴可及，需要持之以恆的努力。不過，在蜂運動有簡潔明亮的空間、彈性方便的課程選擇和溫暖專業的服務人員，在妳身邊陪伴妳、協助妳，一步一步穩定持續地朝向夢想而努力。
6ff11802-3bfe-407a-a8e5-cf1539df9285,中正區,臺北市中正區羅斯福路三段272號7樓,Fun Fitness 運動旅程 公館/士林館,Fun Fitness 運動旅程 公館館 地址：臺北市中正區羅斯福路三段272號7樓 Fun Fitness 運動旅程 士林館 地址：臺北市士林區中山北路5段519號2樓  店家資訊： 每月百堂實體/線上運動團課，瑜珈、肌力、舞蹈課程任選：熱瑜珈．空中瑜珈．BARRE．皮拉提斯．TRX．壺鈴．槓鈴．熱汗輕拳擊．肌力基礎．Zumba 點此預約：https://reurl.cc/GEyGLv
735acf2a-69e3-4d8c-b3d3-33d58d50370c,中正區,臺北市中正區忠孝西路1段50號6樓,World Gym健身俱樂部台北站前店,World Gym站前店從2000年營運至今，器材在2017和2018年全面更新！一整層樓的超大運動空間，不管是心肺運動、重訓訓練還是有氧課程，一眼望去即刻滿足；跑步機心肺區前的一大片落地窗，俯瞰整個熱鬧的台北車站，白天陽光灑進，晚上燈火輝煌。
79b0029a-6b9c-4468-948c-5b31472b55e2,中正區,臺北市中正區南昌路2段53號1樓,好時光女生運動樂園古亭店,☆運動輕鬆上手，邊動邊笑沒煩惱☆女性專屬，妳最好玩運動新體驗☆空中瑜伽、皮拉提斯、zumba、TRX 任妳選☆
7d30cdf7-2c1c-44d5-996b-2b8ddb923f07,中正區,臺北市中正區羅斯福路4段68號2樓,World Gym健身俱樂部公館店,World Gym公館店擁有1500坪挑高設計，每週超過百堂有氧課及虛擬實境視覺模擬飛輪課程；專業健身器材設備，不限時間、次數使用，再搭配烤箱、蒸氣室 及SPA水療池等舒緩設施。
95d2a295-495f-4866-b68c-8efc6f16ae8c,中正區,臺北市中正區杭州南路一段143巷33號,渴望健康訓護中心,健康運動規劃、訓練
997c7b9f-9fa3-4a94-8bea-dc73e3c0d89f,中正區,臺北市中正區杭州南路1段10號地下室,降龍總武,降龍總武運動訓練館是由一群專業的武術家，泰拳手，格鬥家，柔術家所組成。 場館的氛圍友善溫馨，教學的方式充實而具挑戰性，教練們的耐心與鼓勵讓學員們能一步一步完成設定的目標，突破自己。 本公司的企業文化，即是將習武強身，防身，修身等各種益處推廣於台灣社會，讓人心穩定，人民茁壯，提升國力與國際競爭力。 也許是一個夢想，但是是一個值得奮鬥的夢想，讓台灣更好。
af264f0e-e627-4d1f-a49c-ff58e3725faf,中正區,臺北市中正區濟南路1段71號,成功高中運動中心,位於中正區濟南路1段71號(成功高中)，獨立出入口，現場電話:02-2321 8222 場館簡介: 9F>健身房 8F>10面羽球場 8F>舞蹈教室 B1>室內游泳池
cb515567-9a9e-4db8-bc0c-c8fb2929c271,中正區,臺北市中正區板溪里和平西路１段３４號２樓,國榮桌球館(古亭),👉 要有好成績就要靜下來專心唸書，運動可以幫助學習嗎？👈這種迷思是許多人都會有的，但其實已有許多研究指出規律運動可以提升學童的學習成效!  ●運動後大腦會分泌神經傳導物質，可以幫助記憶力及專注力的提升。 ●運動時大腦也會分泌多巴胺讓孩童更開心，在快樂的情緒下更能提升學習成效。 ●想要孩子有好的課業表現，適時運動很重要。    國榮桌球館提供最適合孩子的桌球教學課程，建立孩子規律運動習慣，讓孩子
e08cf0a5-3f86-4a04-ab8d-032aa601d2d1,中正區,臺北市中正區羅斯福路2段116號3樓之1,Curves古亭店,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (23643002) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務"
