ID,行政區,地址,店名,店家說明
05c5a5e3-5024-494b-9a08-b72d63d89c89,信義區,臺北市信義區松隆路125號1樓,World Gym健身俱樂部松隆店,World Gym松隆店信義區大型六星級健身房，四層樓佔地超過千坪，擁有Hoist連動式器材、RealRyder搖擺飛輪及反重力體適能，附設SPA水療池、蒸氣室、烤箱等設施，再加上每週上百堂有氧團體課和飛輪課。
09f06224-faf1-4cdc-94ee-89bdfc1c3d71,信義區,臺北市信義區基隆路一段135號,functional patterns Taiwan,我們提供專業的一對一人體力學訓練服務，現在提供1298元的優惠體驗課程，歡迎到我們fptaiwan官網預約
377899e9-8895-4cdf-897d-10317760d485,信義區,臺北市信義區忠孝東路5段259號3樓,Curves女性健身中心市府永春店,Curves可爾姿深耕台灣已超過10年，目前已有超過150間分店座落於大街小巷，陪伴女性譜寫生命的故事。協助女性培養規律運動的習慣是我們始終不變的初衷，而我們更期待看到女性在Curves獲得更多勇氣與力量，打造健康快樂的生活型態。 我們承諾提供一個充滿愛與支持的環境，從運動開始，讓所有接觸到Curves的人，勇於蛻變，綻放價值。
47a7d4a8-613d-4bc8-99f5-ddf2884b63d3,信義區,臺北市信義區松仁路277號地1樓,World Gym健身俱樂部松仁店,World Gym松仁店有別於一般分店的紅黑設計，是屬於活力的橘藍搭配，環境挑高不壓迫，器材豐富且動線規劃明確，搭配MYZONE心率帶，讓訓練更有效率，還有每週超過百堂有氧課程供選擇。
6370813b-be74-42ae-a937-a1d234c3ba43,信義區,臺北市信義區市府路45號6樓,World Gym健身俱樂部101店,World Gym101店Elite挑高的的空間設計無壓迫感，增加它店沒有的交誼大廳及無線網路書報區，在運動前後有個舒適安靜的環境休息、洽公或閱讀，館內燈光採用珠寶燈泡溫暖明亮，心肺器材除了電視外，還可連接上Facebook和YouTube，且心肺器材穩定性高且安全。
7a4f4434-6b94-49a4-8820-647f37889ac1,信義區,臺北市信義區忠孝東路四段563號B1-1F,TrueYogaFitness 全真忠孝旗艦館,位於信義區，佔地超過780坪，結合奢華與專業的硬體設備，提供各式瑜珈、皮拉提斯墊上、印度舞、肚皮舞及團體有氧課程，並設有多樣化重量、心肺訓練及阻力訓練器材，專業認證的師資與教練團隊。
7f6159cc-23c7-4905-be3d-81c3ea8a7e69,信義區,臺北市信義區忠孝東路五段625號,驅動創意股份有限公司,Switch On妳的運動空間-女性專屬健身房，一對一私人教練課程，樂齡族運動，團體課程，免綁約分鐘計費，寵物友善.
803de3c8-cc12-4d77-bf90-84f546f88cb2,信義區,臺北市信義區松山路342巷13號1樓,永春活力館,永春活力館鄰近永春捷運站旁，除了提供水療池、兒童池、烤箱、蒸氣室、冷熱水池等設施服務，亦引進全新運動器材提供在地居民創新型態的優質運動場域。體育局說，永春活力館主打「樂齡族群優良的運動環境空間及多元課程指導」，盼不同年齡層都能好好享受運動與健康。
85d697ba-53a8-40c4-9b14-11db99aae9b3,信義區,臺北市信義區信義路4段456號地下一樓,FitMania健身狂潮,免入會免綁約健身房 單次使用120元(非尖峰時段優惠100元) 10架深蹲架. SportArt健身器材.
8d96aa6c-8656-4772-9b38-7dc58247e441,信義區,臺北市信義區和平東路3段333號地下,體育客,五星級健身體驗 分鐘計費、訂閱制，多種付費方式 致力讓運動回歸單純與美好
