ID,行政區,地址,店名
08c4c14a-f8ab-4ca0-a589-b42ad0f97357,內湖區,台北市內湖區UFC GYM TAIWAN,UFC GYM TAIWAN
12be542e-d2f9-42eb-b714-d62b95a79508,內湖區,台北市內湖區飛躍運動館,飛躍運動館
1960a822-335e-4d38-9823-02e6ce7f63da,內湖區,台北市內湖區Funspace_放漫,Funspace_放漫
1fcafd19-5d09-44ae-bc9d-e438b22b0522,內湖區,台北市內湖區瘋三鐵股份有限公司,瘋三鐵股份有限公司
2bbd9acc-eb93-47b0-9b9d-d3cebe7e594f,內湖區,台北市內湖區臺北市內湖運動中心,臺北市內湖運動中心
2bd1d857-265d-4409-b79a-a3976a9c2a2a,內湖區,台北市內湖區iSKI滑雪俱樂部,iSKI滑雪俱樂部
32fa9aea-f131-41ac-89d6-b393d455f228,內湖區,台北市內湖區鑫琞股份有限公司,鑫琞股份有限公司
350ed0e7-3042-4092-b8c5-8e72fbe6763f,內湖區,台北市內湖區TrueYogaFitness 全真內湖館,TrueYogaFitness 全真內湖館
3b336f34-9218-460b-a760-ef71487359c9,內湖區,台北市內湖區村上春獅企業社,村上春獅企業社
3bc3a53b-eb04-48fd-88dc-970ff9987ae7,內湖區,台北市內湖區小虎世界有限公司內湖門市,小虎世界有限公司內湖門市
471b708d-2dce-4ed7-8f85-8d6071a070f0,內湖區,台北市內湖區曌躍股份有限公司,曌躍股份有限公司
48beecf8-7c29-47e2-8a4b-5206c149f3e8,內湖區,台北市內湖區一起玩有限公司,一起玩有限公司
52a95b7a-bbe3-4421-b119-655a3ae3e7cc,內湖區,台北市內湖區星哲企業股份有限公司大湖分公司,星哲企業股份有限公司大湖分公司
582841d1-f035-4a64-9c35-4804e3ae1f24,內湖區,台北市內湖區重生體能工作室,重生體能工作室
5d41fc73-f5d5-428d-b555-cdb2c72c3cc7,內湖區,台北市內湖區優勢開發管理顧問有限公司,優勢開發管理顧問有限公司
5ffcd8ce-1ed9-4a6e-a4be-927605e7d81e,內湖區,台北市內湖區模範體能實業社,模範體能實業社
6b1a3539-6d5a-4bf2-a27b-71b6e746daa2,內湖區,台北市內湖區Curves內湖西湖店,Curves內湖西湖店
70249cb6-eea4-421d-a7ee-e6a5f5f04c79,內湖區,台北市內湖區TMMA台北格鬥運動館 內科館,TMMA台北格鬥運動館 內科館
78735ad4-009d-4e67-bf2b-e53c9b5acda5,內湖區,台北市內湖區力康健康,力康健康
8f3879e0-5565-4235-890d-6fd3024cd04a,內湖區,台北市內湖區Curves內湖成功店,Curves內湖成功店
9157f2eb-b154-4d37-a61b-2883f0fe9217,內湖區,台北市內湖區正能量Fitness,正能量Fitness
ac7130bd-0fac-430f-9452-5559b4bf27fa,內湖區,台北市內湖區囝仔愛運動體能館,囝仔愛運動體能館
ae304b69-6c96-416b-aa40-9a35a5219e77,內湖區,台北市內湖區南湖高中運動中心,南湖高中運動中心
b77153f8-e70e-49ce-9ee1-8152439b1394,內湖區,台北市內湖區就是愛桌球企業社,就是愛桌球企業社
c58533d4-bf14-4d07-9870-410cb30eaa6f,內湖區,台北市內湖區本玩體能教室Just Play,本玩體能教室Just Play
c8a52e58-4103-4d3b-b66d-ce037179c27c,內湖區,台北市內湖區World Gym健身俱樂部內湖福華店,World Gym健身俱樂部內湖福華店
cdfc1c0c-bd5b-45d0-8fc3-d2276d2962f2,內湖區,台北市內湖區日心健身,日心健身
d24197d4-50ec-4057-99c1-4a26b00b1ced,內湖區,台北市內湖區71sports投打學苑,71sports投打學苑
d2ebd21f-f8f9-457d-983e-f1adee55e37e,內湖區,台北市內湖區Curves內湖東湖店,Curves內湖東湖店
d319e93f-e0c6-4343-a93c-be49364ac4ef,內湖區,台北市內湖區貝克漢高爾夫練習場,貝克漢高爾夫練習場
d8364114-b5ed-45ed-935b-15eec18de111,內湖區,台北市內湖區World Gym健身俱樂部內湖店,World Gym健身俱樂部內湖店
d866deca-f9fd-41b6-86f6-457f23954ffd,內湖區,台北市內湖區臺北市網球中心,臺北市網球中心
e339e39c-4154-4de1-b145-e1910bcd588a,內湖區,台北市內湖區好時光女生運動樂園西湖樂園,好時光女生運動樂園西湖樂園
eed61d0b-84f0-4773-af67-02628f73b7e5,內湖區,台北市內湖區Craftzy Sports Club,Craftzy Sports Club
f1040d74-0508-4305-844e-8eb9aae86a4e,內湖區,台北市內湖區翻滾體能遊戲館,翻滾體能遊戲館
f2a9b650-fef7-4aba-bcad-325d339cdbcc,內湖區,台北市內湖區麥克王運動訓練班,麥克王運動訓練班
f6702a64-0deb-41ab-b538-8ce9c8910654,內湖區,台北市內湖區JohnFit體能顧問,JohnFit體能顧問
