ID,行政區,地址,店名,店家說明
17f97a3e-8d70-4786-aab3-046fa6109185,北投區,臺北市北投區中和街366-1號1樓,World Gym北投中和店,World Gym北投店為北投區第一間大型健身房，兩層樓寬敞運動空間，擁有Hoist連動式器材、視覺模擬心肺訓練區、多功能核心訓練區等，加上每週豐富多元的有氧團體課程。
1c7f55a4-5471-4de1-b20b-82d149e13d3d,北投區,臺北市北投區磺港路8號4樓-8之1號4樓,Curves北投店,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 02-2893-6585 *請提前主動告知使用""政府優惠券"", 店家保留最終活動抵扣"
2855e7df-b792-4433-a130-0e3d8c331365,北投區,臺北市北投區大同街19號,Camp訓練營地,位於北投的健身工作室
2cb34959-dd3a-4355-9ba9-30de9f56b31e,北投區,臺北市北投區石牌路二段135號,國立臺北護理健康大學北護水療中心,水療技術研發中心 提供「水療相關產業」軟、硬體設備的技術研發，培養、訓練與考核專業的水療人員、管理人員，使國內水療休閒產業達到應有的安全性、健康性、休閒性及科學性為目標。 其整體規劃如下： 設立水中運動指導 水中體適能愈來愈受到歡迎，無論任何體能狀況、體重族群，都可以個人運動強度而調整，因為水的阻力是來自四面八方的，不論做什麼動作水都可以提供肌肉足夠的負荷。在某些方面水中運動的安全性比陸上運動
2d8c3a60-e395-4a61-923c-0437a3ab93d2,北投區,臺北市北投區裕民一路30號2樓,Curves石牌店,Curves是專為女性設計的30分鐘環狀運動，結合有氧、肌力、伸展三合一的完整訓練，我們承諾提供一個充滿愛與支持的環境，從運動開始，讓所有接觸到Curves的人，勇於蛻變綻放價值。
312b6142-ca3b-4556-ab59-ad46d93bc2a0,北投區,臺北市北投區石牌路一段39巷100號,冒險聯合休閒事業有限公司,聯合冒險攀岩場攀岩場
374fca19-f30b-4460-8687-725d7f6dac83,北投區,臺北市北投區中央北路4段581號,關渡國小,位於北投區中央北路4段581號(關渡國小內)，從校門口實聯制進場，電話:02-28975205 『游泳』 開放時間： 平日:1630~2030 假日:1000~1630 門票: 半 票50元(關渡國小持學生證、7歲以下及65歲以上民眾) 優待票80元(持有學生證之學生) 全 票100元(一德里里民8折) 『球館』 開放時間: 平日:1800~2200 假日:0800~2200 羽球:早場300元/
413c3f91-416a-431d-abed-475abac8c300,北投區,臺北市北投區新市街22-1號2樓,瑜伽之光,在溫泉城市北投市場裡的一個專業艾揚格瑜伽教室，歡迎大家一起來練習! 適合不同年齡、身體和健康狀況下安全練習的艾揚格瑜伽。
4bfd5809-a8bc-49da-88aa-cd1b633614be,北投區,臺北市北投區北投路二段13號B1-1,聚廠樂活運動館,買會籍2週送2週 教練課諮詢
74cbfad1-d678-4175-bb3b-1baab08e70a9,北投區,臺北市北投區承德路7段312號,台北市中華基督教青年會YMCA唭哩岸會館,台北 YMCA 是一個財團法人團體，創立於民國34年(西元 1945 年)，隸屬於世界 YMCA 的一份子。唭哩岸會館目前適用之項目包括成人體適能中心健身運動等。
900cb43f-b275-4229-ad6a-c64b555fd680,北投區,臺北市北投區石牌路1段39巷100號,北投運動中心,北投運動中心有一座長50公尺、寬15公尺的標準室內溫水游泳池外，二樓還有一座高11公尺的室內木質地板籃球場，同時也可兼劃設八座羽球場的大型球館，五樓更規劃出兩座圓弧鋼構屋頂高11公尺，比照戶外網球場空間的PU地坪室內網球場，2樓有座室內人造攀岩場，圓形攀岩場高9公尺，中央有座塔狀模擬天然岩場的人造攀岩場，有懸岩陡壁，也有垂牆與斜板，適合初學與高級的攀岩運動，三樓的兩座符合國際標準的壁球場及體適能運
91fa2589-00b0-45e8-9aa8-2a1578dcbadb,北投區,臺北市北投區文林北路112號B1,霈服體適能有限公司,PAF運動空間 空中瑜珈.有氧運動.ZUMBA.瑜珈課程.兒童柔道.兒童mv舞蹈
a7a95026-a475-4996-8e80-82d1e5e3ffed,北投區,臺北市北投區裕民六路2號B1,柏文健康事業股份有限公司台北石牌分公司,強身為強國之根基 相關研究證實運動能有效促進人民健康 體育發展程度更是國家現代化及國民生活品質的重要指標 因此先進國家莫不投入大量資源支持運動賽事或廣建運動場館 健身工廠提供優質健身環境將促進人民健康、宣導正確運動觀念做為設立之宗旨
c7caa737-094a-4b58-9009-3eb1b0053c10,北投區,臺北市北投區立農街2段155號,日本伊藤萬游泳學校-北投陽明校,全球連鎖泳校、游泳教學的第一大品牌，提供「親子嬰兒游泳課程」、「兒童游泳課程」、「成人游泳課程」、「寒暑訓班」；目前在全台共有13間分校，含台北艋舺校、北投陽明校等分校，專為游泳教學所建造的教學環境，採淨水消毒設施， 一年四季恆溫。
e1a20160-5fc5-44db-bd5b-95dc4047732b,北投區,臺北市北投區尊賢街226號地下1樓,米家撞球用品社,環境好，氣氛佳，是個學習撞球的好地方
e5afe939-1d1b-4d3c-9a19-eb7a636c65da,北投區,臺北市北投區永興路一段32巷3弄14號,飛健身合作社,如果您想在士林北投尋找一家 環境舒適優雅又好運動的專業健身工作室， 那沒有比飛健身合作社更符合你的需求了。 位於北投最鬧中取靜的大小公園附近， 車水馬龍的靜巷之中。 完整的健身器材 專業的教練群 在飛健身合作社，你可以成就你的健身計畫。
