ID,行政區,地址,店名,店家說明
01f1c98d-e168-4d23-bb34-e69b3694b30a,士林區,臺北市士林區葫蘆里環河北路３段９５號,正中日體育事業股份有限公司士林營業所,"本公司鷹萬=永遠(台語)英文名稱為owin1(贏得第一) 鷹萬游泳學校集團的經營與教學團隊,經驗豐富,是台灣最堅強、經驗最豐富的游泳教學團隊,融合有效的游泳分級教學系統·讓您學游泳也能很安心,很快樂・"
1b1c6462-a710-483a-8ae2-4d0a54fde11b,士林區,臺北市士林區忠誠路二段77號1樓,臺北市輪椅網球推廣協會天母網球中心,台北市天母網球場提供國民體育日、兒童節、原住民日及重陽敬 老節等特定節日，分別提供國民、12歲以下兒童、原住民族及高齡 市民免費使用球場;並於敬師月期間，提供臺北市教師免費打球1 小時之回饋。 公益時段即每日上午5時至8時，提供年滿65歲以上之市 民及年滿55歲以上之原住民市民免費使用球場。
254bcb80-b761-4ccd-95de-6ddf5c8363fc,士林區,臺北市士林區天母西路８號１樓,J&R兒童體能操運動學苑,2-12歲兒童體能操運動課程 #日本課程 #兒童唯一 #全身運動 ＊天母店：台北市士林區天母西路8號1樓 ＊民生店：台北市松山區光復北路230巷15號1樓
27ae50f2-3b8f-4085-a588-b16ee91018f4,士林區,臺北市士林區延平北路5段307號2樓,Curves社子延北店,Curves是專為女性設計的30分鐘環狀運動，結合有氧、肌力、伸展三合一的完整訓練，我們承諾提供一個充滿愛與支持的環境，從運動開始，讓所有接觸到Curves的人，勇於蛻變綻放價值。
425634fb-1401-4b74-929a-5269b49d83df,士林區,臺北市士林區忠誠路1段60號b1,PQ fitness,1.本場館提供單次入場運動、私人教練課、團課、場租等服務。 2.本場館接受熊好券（熊愛動）折抵上述各類服務項目費用！
42afefe8-6700-4989-af70-50008f836fb7,士林區,臺北市士林區承德路4段191號2樓，2樓之1,Curves劍潭店,Curves是專為女性設計的30分鐘環狀運動，結合有氧、肌力、伸展三合一的完整訓練 全方位的30分鐘整合運動，濃縮了一般90分鐘運動的效果透過 Curves教練及會員彼此間的鼓勵、支持，讓這30分鐘變成心靈、情感的充實時間，也讓運動成為生活的一部分
589dfc35-b47b-4705-b210-16a81393ac18,士林區,臺北市士林區芝山里士東路２７４號,神氣小虎有限公司,兒童運動教學，全方位體能課程，有助於前庭刺激、提升肌肉張力，增進身體協調以及柔軟度訓練。
60fe1e90-2fee-4901-b5c1-2178d390d19a,士林區,臺北市士林區文林路762號2樓,Curves芝山文林店,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式，透過有氧+肌力+伸展三合一的完整訓練，在女性教練的陪伴之下，輕鬆養成運動習慣，讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約專線 2837-0020 *請提前主動告知使用""政府優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。"
6f2ea82c-5b66-4849-968e-45f58cec41a7,士林區,臺北市士林區德行東路331巷35號,World Gym健身俱樂部台北天母德行店,World Gym天母德行店擁有三層樓近千坪寬敞明亮運動空間，配備三溫暖設施 - SPA水療池、蒸氣室和烤箱，再搭配獨家Stage Flight互動式飛輪，多種願望一次滿足。
75aea034-8fb4-4b4f-a4d8-e8c0d2550c3e,士林區,臺北市士林區天玉里天母西路４１巷２號B1,群康健康事業股份有限公司,彼拉提斯是一項讓身心變得更聰明的運動， 結合東方武術和西方醫學的精華， 強調身體的控制哲學，由內而外， 深層地提供好的姿勢，足夠的肌力和控制力， 並且透過身心互動，讓身心靈都均衡。
