ID,行政區,地址,店名,店家說明
01831e22-b0ad-4dad-8469-471ee319e5f3,大安區,臺北市大安區忠孝東路4段250號2樓之3,Curves忠孝敦化店,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *預約專線：27218828 *請提前主動告知使用""熊好券"""
033670b5-75b4-4368-b4c5-09a064c67cbd,大安區,臺北市大安區信義路二段36號1樓,漢杰健康事業股份有公司東門分公司,主要提供服務Service 1.一對一教練課程 2. 綜合肌力團班 3. 空中瑜珈 4. 專屬課程的專業空間
03a11643-432e-4e85-a6fa-b5fe70567577,大安區,臺北市大安區臨江街87號2樓,World Gym台北通化店,World Gym通化店是位於通化夜市內，整層樓運動大空間，由大片落地窗組成，光線充足明亮，搭配獨家專業MYZONE心率系統監控運動模式，達到最佳的運動效果；全館使用最先進國際知名品牌器材，心肺器材使用視覺虛擬實境系統，獨家5分鐘腹部核心訓練區更專注有效率的訓練。
050a19c6-ddcb-469c-bea2-9ccffb2c1e29,大安區,臺北市大安區忠孝東路4段201號3樓,world gym 統領店,World Gym統領店為全台最資深、最有影響力的俱樂部之一，兩層樓的運動空間，擁有大片落地窗，早上有陽光舒服灑照，晚上還可邊運動邊觀賞東區的鬧景，地理位置身受大家喜愛，是台北東區運動健身房的首選！
0b6ab220-0959-4434-ae29-b0cc3c37795b,大安區,臺北市大安區安和路一段27號16樓,SPACE YOGA,SPACE 是一個都市叢林庇護所，在 SPACE 可以藉由瑜珈經驗進而改造身體健康、幫助思想沉澱、提昇心靈解放。https://www.withinspace.com/
171436fe-b10f-4747-921c-fa8504e71ed2,大安區,臺北市大安區信義路四段61號五樓,Active Living 信義大安,Active Living 信義大安 用狂熱啟動我們的活力 讓我們和你一起勇敢做個初學者  座落於離大安捷運站路程三分鐘的隱密大樓，提供最舒適的環境，一個專屬於你的運動角落，願我們能夠陪你一起，成長進化。
1ebeabd4-5bd7-4285-b9fb-ce8152d03922,大安區,臺北市大安區錦華里金山南路２段２２２號地下１樓,RPS 運動整合訓練中心,我們是個集合物理治療師及肌力體能教練的團隊。以科學化訓練搭配物理治療師的頂配訓練模式。提升訓練效益的同時，又能預防傷害、降低運動造成的疼痛。透過結合運動物理治療與肌力體能訓練，我們可以藉傷害恢復、功能性訓練與運動專項訓練來幫助客戶重回健康。
24fd21a0-ed54-415c-91d8-9f0e98b8900a,大安區,臺北市大安區忠孝東路4段303號地下一層,TFL淬鍊體能訓練中心,學員第一 / 安全至上 / 淬煉體能 / 無限可能 / TFL堅持用最符合運動科學的功能性運動表現訓練，幫助你達成理想的健康生活與訓練目標。 TRAIN FOR OUR BETTER LIFE !
28c2730f-3c78-4ab0-b80c-8949c649ed9a,大安區,臺北市大安區華聲里忠孝東路４段２９５號８樓,中華民國喜悅之路靜坐協會,國際性瑜珈、靜坐之個人成長及服務性團體，位於國父紀念館捷運站旁，多元化課程包含：身心靈整體瑜伽、健康瑜伽、長青瑜伽、脈輪勝王瑜伽教師證照班、瑜伽呼吸法教師證照班、如何預防瑜伽運動傷害研習、靜坐冥想、靈性自發功、瑜伽飲食及斷食法推廣營...等。
2cf0198b-8d45-4d31-b72c-b04db47aca61,大安區,臺北市大安區忠孝東路四段200號13樓,SPACE CYCLE,品牌以音樂為靈魂，延續 SPACE YOGA 創立 10 餘年來堅持的內涵與文化 創造出 Space 一個時尚 X 社交 X 健身 X 藝術 的全新概念空間 全天候提供 Yoga / Strength & Mobility / Barre / Dance / Cycle / Cardio & Toning / HIIT 課程 持熊好運動券購買課程享優惠 https://www.spacecycle
