ID,行政區,地址,店名
02c8edf1-4abd-42d5-bbc0-50cafb0a061e,文山區,台北市文山區TOUCH撞球飛鏢運動館,TOUCH撞球飛鏢運動館
0dcc7ab4-3c23-43f6-9953-cb2e962d7e50,文山區,台北市文山區全球撞球館,全球撞球館
22b0aeb1-e5a2-4167-bbe6-cdc9c4661b4d,文山區,台北市文山區臺北市文山運動中心,臺北市文山運動中心
40df3f02-cd27-43cf-88eb-c7e577e0ef5a,文山區,台北市文山區萬興國小運動中心,萬興國小運動中心
5f30ae0a-61c4-435f-a8ef-bbc9fac50c61,文山區,台北市文山區永建國小體育館,永建國小體育館
616c14f5-c51c-4b71-bb73-9f28a1060d3a,文山區,台北市文山區芳鄰健身 Family Gym景美店,芳鄰健身 Family Gym景美店
704d1dd4-1507-44d9-833c-85745766b461,文山區,台北市文山區Curves文山保儀店,Curves文山保儀店
966855d2-0279-4cc2-a0a4-95d3c40502ae,文山區,台北市文山區有道工作室,有道工作室
96b95bae-300c-4e5e-9364-20645a008603,文山區,台北市文山區菲舞工作室,菲舞工作室
9e08c619-06a0-4dd7-bc8b-e22919badb4b,文山區,台北市文山區5+7十二號空間,5+7十二號空間
a40243f7-2b94-4bee-8d9b-7d306e393136,文山區,台北市文山區Curves景美店,Curves景美店
d1eadab3-2876-4e30-bbd1-722562b1c919,文山區,台北市文山區小虎世界有限公司,小虎世界有限公司
d2c1a178-a547-4e12-b81f-9157c1ba3d92,文山區,台北市文山區舞動陽光有限公司木柵營業所,舞動陽光有限公司木柵營業所
d9a89aee-55c0-4dec-aabc-e7d9628ce866,文山區,台北市文山區IN GYM 樂康健身俱樂部 (文山館),IN GYM 樂康健身俱樂部 (文山館)
d9c2d979-c11a-4c9f-90a7-692985903a4c,文山區,台北市文山區百合與藤工作室,百合與藤工作室
e73fdd46-40fa-4756-b6fd-5fb0a0c2a71e,文山區,台北市文山區橘子貓瑜珈,橘子貓瑜珈
f2d52c64-d7ad-4274-b661-031c92b095a6,文山區,台北市文山區運動學FITOLOGY,運動學FITOLOGY
f62baa7e-75d9-4343-bb5e-31613e38a784,文山區,台北市文山區相信順成有限公司,相信順成有限公司
