ID,行政區,地址,店名,店家說明
14d308c5-eabf-4f40-afb3-5fb0d5e3690d,萬華區,臺北市萬華區新起里漢中街１５７號２樓,Curves西門漢中店(佑英有限公司),/妳開始運動的第一選擇/  Curves承諾提供一個充滿愛與支持的環境， 從運動開始，讓所有接觸到Curves的人， 勇於蛻變，綻放價值。
23f8382f-e1d1-490f-a10c-9fda7062e006,萬華區,臺北市萬華區水源路199號,青年公園運動休閒園區,坐落台北市萬華區，提供民眾優質運動休閒空間，結合游泳、健身、網球、高爾夫，並提供許多運動課程供民眾選擇。
3749368e-85f8-4781-a09c-d2f142f175e4,萬華區,臺北市萬華區成都路98號,浩瀚運創有限公司西門營業所,游泳池25M(5道水道) 水深1M-1.1M 適合基礎游泳學習
3e654c2b-580d-4a1c-81a1-8cee9ec5cce1,萬華區,臺北市萬華區西園路二段320巷55弄3號,雙園國中體育館,位於萬華區西園路二段320巷55弄3號，現場電話:02-2305 0209 設施簡介: 6面羽球場、2面籃球場
4cb2aeed-64fb-47db-8c93-4d29021057fa,萬華區,臺北市萬華區西園路2段320巷55弄3號B1-2,日本伊藤萬游泳學校-台北艋舺校,全球連鎖泳校、游泳教學的第一大品牌，提供「親子嬰兒游泳課程」、「兒童游泳課程」、「成人游泳課程」、「寒暑訓班」；目前在全台共有13間分校，含台北艋舺校、北投陽明校...等分校，專為游泳教學所建造的教學環境，採淨水消毒設施， 一年四季恆溫。
5208947c-3b1e-409e-ba65-3a2d8d8a6e08,萬華區,臺北市萬華區大理街149號,原岩運動顧問有限公司,原岩攀岩館於2016年成立至今，為了讓更多人體驗攀岩所帶來的樂趣，已開設了4間場館，成為台灣第一間連鎖攀岩館。  岩館不僅擁有豐富的岩牆角度、高頻率更換攀爬路線，更有高品質的舒適環境與完善設備；是一間同時適合初學者、進階攀岩者與團隊活動的攀爬空間，無論是成人或兒童，都能在此享受攀岩的快樂！
83eb6fc3-db66-494a-a915-6c62c7c55d2e,萬華區,臺北市萬華區西寧南路36號地下1樓,World Gym健身俱樂部西門店,World Gym西門店為整層樓千坪寬敞空間，SPA水療池、烤箱、蒸氣室等設施應有盡有、每週超過百堂有氧課程供選擇；專業健身器材設備，不限時間、次數使用。
9868db93-8322-4074-b7c9-33686650bdf6,萬華區,臺北市萬華區漢口街2段73號B1,跨時代健身中心-300壯士俱樂部,為了健康很多人將運動養成習慣尋求減壓放鬆 除非您不在意健康 否則從今天起您一定要認識300壯士跨時代健身中心 提供優質環境 免付費的專業教練諮詢 高CP值的價格服務
b6b60033-35a7-4977-aad1-2b000f016d5b,萬華區,臺北市萬華區青年路３０巷２之３號一樓,曲律國際有限公司(Curves),"Curves是專為女性設計的30分鐘環狀運動. 我們提供給女性簡單,快速又有效的運動方式, 透過有氧+肌力+伸展三合一的完整訓練, 在女性教練的陪伴之下,輕鬆養成運動習慣, 讓妳更健康,更自信,更快樂,是妳開始運動的第一選擇. *免費預約體驗 https://www.curves.com.tw *免費預約專線 : (02) 2337-9090 *請提前主動告知使用""政府優惠劵"" 店家保留最終活動"
ba163b06-ddce-4499-a7d1-fe115b8618d3,萬華區,臺北市萬華區西藏路213號,華江高中運動中心,位於萬華區西藏路213號(華江高中內) 現場電話:02-2339 6689 場館簡介: 6面木質地羽球場 1面PU排球場（3面PU羽球場） 8張桌球桌 2間舞蹈教室 25公尺*8水道游泳池 180人國際會議廳
c56c8b37-bf18-4e25-878f-54b84e895abc,萬華區,臺北市萬華區西藏路201號,萬華國中溫水游泳池,"本公司鷹萬=永遠(台語)英文名稱為owin1(贏得第一) 鷹萬游泳學校集團的經營與教學團隊,經驗豐富,是台灣最堅強、經驗最豐富的游泳教學團隊,融合有效的游泳分級教學系統·讓您學游泳也能很安心,很快樂・"
ca5c57d5-a7b8-4672-aeae-cb96f5771cc9,萬華區,臺北市萬華區西寧南路6-1號,萬華運動中心,中心設備規劃在游泳池部分設有溫水游泳池、水療池、三溫暖設施，市民活動空間設有民眾閱覽室及兒童遊戲室，提供老少咸宜的休閒場所，運動項目部分設有健身中心、舞蹈教室、多功能球場、桌球練習場、攀岩場及高爾夫球練習區，高爾夫球設備引進新型模擬設備，提供市民新穎的運動設施，戶外多功能運動場可提供多元化運動項目的複合式場所，營造出一個結合環保節能及多元化運動項目的優質休閒環境。
