ID,行政區,地址,店名,店家說明
17cb169c-035c-4c41-a5dc-b8150ff621fb,北投區,臺北市北投區光明路82號,途中‧台北國際青年旅舍,<途中‧台北> 位於北投捷運站出口徒步3分鐘，提供多種房型，旅舍的 3樓 為女生專屬樓層，整層有獨立行李電梯，全棟提供 免費wifi、空調、另提供單車旅行人士室內停放腳踏車的地方。  由 <途中> 出發，步行10分鐘內可抵達新北投溫泉區及北投市場，搭乘大眾運輸也可直接前往陽明山及竹子湖，交通與機能皆十分便利。
1f9d19f3-d78b-43ba-b6e7-e01e821d4147,北投區,臺北市北投區中和街2號1樓及6至12樓,北投老爺酒店,老爺酒店集團Hotel Royal Group秉持「致力於創造好玩的特色飯店，寫下精彩難忘的故事」的品牌願景，歷時3年多的規劃，以「優化健康生活的新旅程」為概念，開創北投老爺以「健康療癒」為主題的全新型態飯店。  北投老爺為臺北地區唯一規劃多項館內課程及館外活動之飯店，以體適能運動、伸展放鬆運動、運動水療池專屬課程為三大主軸，打造煥發活力的動、靜態健康課程。  酒店結合健康管理概念，打造長遠的健康
2da085d1-0152-40a2-b80f-34a216a19fe0,北投區,臺北市北投區中山路3號,北投南豐天玥泉溫泉會館,「北投南豐天玥泉溫泉會館」座落於北市近郊的新北投溫泉區，距離捷運新北投站僅三分鐘步行距離。與濃密綠蔭的百年北投公園鄰相對望，環繞置身於北投歷史人文古蹟之美。 以自然原味貫穿全館空間怡然自得，雅緻的客房、寬敞的百坪大眾池及隱秘舒適的雙人湯屋讓身心靈得到完全釋放。 悠閒享受泡湯之餘，在舒適的用餐空間享用由菁英廚師團隊獻上的各式創意料理，或搭配自有烘培品牌《手作坊》每日限量出爐的精緻糕點和歐風麵包。
3bf44398-40d1-4911-8096-d36c75dc47aa,北投區,臺北市北投區溫泉路銀光巷4-2號,麗之湯別館,麗之湯溫泉會館坐落於台灣溫泉源頭之地-北投，典雅精緻的日式風格，令許多觀光客慕名而來。100%天然白硫磺泉質，呈淡黃半透明水色，淺淺硫磺味，搭配細緻的原石溫泉浴池，讓飄散的蒸氣與硫磺，帶走您一身的疲憊。極致的木質地板，流露古色古香的和韻氛圍，本館擁有簡約和風單人床位、雅緻和式雙人/多人套房，每間客房皆設有精緻湯屋，更精心準備各式備品，貼心的幫您把家都搬過來了，歡迎到麗之湯溫泉會館恣意慢活!
468e175a-2524-4991-bfec-ce5139f0196c,北投區,臺北市北投區幽雅路18號1-6樓,春天酒店,北投春天酒店，近「大磺嘴」源頭，終年提供頂級白磺原湯，因溫泉呈乳白色，而有牛奶湯之稱，館內擁有多功能設施：雅緻設計及觀音石浴池的客房住宿、多功能SPA露天風呂、不同風格客房式及室內湯屋、日式美食餐廳、主題會議假期、戶外婚禮等服務。
4dcfd96a-7035-467d-a8c7-97a7d8309e0c,北投區,臺北市北投區中和街２０巷６號,山水樂會館,位於著名的泡湯勝地─北投，搭乘捷運至新北投站，只要步行數分鐘的時間便可享受泡湯， 優越的地理位置與絕佳的泡湯氣氛及寬倘的泡湯空間，讓您享有一個隱密且不被打擾的環境， 體會您每吋肌膚及每個毛細孔與原湯的親暱，天然的溫泉一掃您平日的忙碌與陰霾，享受愜意悠閒的幸福生活　 會館的泉水及各項溫泉設施都有安全人員嚴密控管，屬於白磺泉(酸性硫磺鹽泉)屬弱酸性；對慢性皮膚病、關節炎、婦人病等都有顯著的改善效果。
5889806c-959d-4bcb-8760-9b526480583b,北投區,臺北市北投區光明路220號,泉都溫泉會館,"泉都溫泉會館位於新北投捷運站旁,出捷運站步行至會館只需2分鐘,為全臺交通最便利的溫泉會館.並且附設大型室內停車場,免除停車的困擾.       會館空間歐式裝潢精緻雅麗,設有多樣溫泉客房、歐式新穎餐廰。客房內皆附有白磺溫泉,住客可享有私人泡湯空間,並提供多種不同泡湯房型可供選擇,客房亦附設VOD影音頻道。會館配合政府嚴謹執行防疫措施，以確保賓客及員工安全，提供北投溫泉區之安心泡湯、優質住宿環境."
5a71c448-29da-408b-8ca8-a6315cb1ce49,北投區,臺北市北投區光明路283號,水都溫泉會館,座落於地熱谷旁的北投水都溫泉會館，樸素外觀帶有日式簡約風情的雅致，擁有優質硫磺泉，屬特殊泉質，富含多種微量元素，享受泡湯時，宛如死海般的礦物在保養著每一寸肌膚，享受最極致的美體感受。館內結合多種溫馨舒適溫泉客房，可以如湯屋般短暫停留，更歡迎入住一晚以上體驗盡情享受泡湯樂趣，尤其位於本館頂樓【露天風呂大眾】適合親子或家庭一同同樂的泡湯，極簡的空間中也可讓需要會議及套裝行程的貴賓完成需求
71b1ab30-40c4-430f-a3ab-2c2f75cc66f0,北投區,臺北市北投區光明路230號B1-7樓,嘉賓閣旅館,嘉賓閣，一間歷史悠久的溫泉旅館，位在台灣溫泉旅館的發源地-北投，從光復初期開始經營已近70個年頭，從日治時期建物歷經多次改建裝修，發展至今，已轉型為現代化的溫泉旅館，在北投地區獨樹一格，提供舒適且具有時尚感的休閒渡假空間，讓每位路過的旅人都想留連駐足！
87a298e4-3331-4acd-9aff-e95b890c63db,北投區,臺北市北投區光明路240號1-6樓,金都精緻溫泉飯店,北投，這個擁有風華歷史軌跡的溫泉之鄉，歷經時間與空間的歷練，在不同的年代以多樣的面貌吸引著人們。金都精緻溫泉飯店以靜雅的姿態，坐落在這個充滿魅力的城市，正對著北投溫泉博物館、緊鄰北投圖書館：配合台北熊好住宿卷，請來電洽詢請來電洽詢02-2891–1228，期待您的蒞臨。
