ID,行政區,地址,店名,店家說明
032646db-1b49-463e-8968-ce1beaadf5f6,士林區,臺北市士林區延平北路五段23號2至5樓及23之1號2至5樓,探索汽車旅館延平館,探索心中不為人知的祕密，享受最難忘的甜美時光，各式主題套房風格多元，讓你體驗前所未有的感受，貼心細膩的服務，提供您賓至如歸的享受。
2cd9a717-4cb6-4bf9-8aa6-058208dc269b,士林區,臺北市士林區基河路18號,天雲旅棧台北基河,「 用心堅持，快樂創新 」。讓全世界旅人，在獨樹一格的氛圍內，有超乎期望以及美好的體驗回憶。
3ffbd37f-7b00-4d63-98f9-088813a2f077,士林區,臺北市士林區中山北路六段728巷2號1-7樓,丹迪旅店-天母店,透過官網訂房，除可參加幸運轉盤抽獎外，提前告知使用熊好住aka住宿券，視當日房況可享免費提前入住或延遲退房。
769d9682-391f-4a28-953f-427a66b85d04,士林區,臺北市士林區菁山里菁山路１０１巷７１弄１６號,菁艷里山陽明溫泉渡假村,位於北台灣陽明山後花園，不僅住宿，露營，泡湯。更有豐富的自然生態教育課程。可來一日陽明山東西大縱走後，來園區小憇一下。隔日來段園區豐富生態教育半日遊，手作diy及下午茶。觀看紗帽山夕陽，兩天一夜陽明後花園的豐富之旅。
803ccf5c-d9c0-4e87-907b-ac0552482e4c,士林區,臺北市士林區忠誠路二段21巷10號,貴族商務旅館,天母貴族商務休閒旅館位於士林，距離捷運芝山站 15 分鐘步行距離，館內設有免費 WiFi 和免費停車場。  旅館距離士林夜市 15 分鐘車程，距離國立故宮博物院 30 分鐘車程。距離最近的機場是台北松山機場，約 25 分鐘車程。
8eb452e4-6327-4fd4-bed3-511b51e91efd,士林區,臺北市士林區格致路237號,雀客藏居陽明山,「雀客藏居 台北陽明山溫泉飯店」位於陽明山國家公園境內，群山環繞、清幽靜謐，距離台北市區僅需30分鐘。亦可選擇公車輕鬆抵達！ 提供種類多樣的溫泉客房，享受房內泡湯樂趣，窗外一覽紗帽山景色，公共區域設有白磺溫泉，在花季能一邊泡湯一邊賞櫻，另有山泉泳池及親子戲水池，夏日酷暑最適合帶小朋友一同上山降溫遊玩。 餐飲方面，結合陽明山上的特色食材，設計一系列中式的餐點，並特聘香港主廚長期駐店提供優質的餐飲服務
a0e07ca2-b7e2-4037-b40a-a905c7e2ccf8,士林區,臺北市士林區基河路16-8號1樓至11樓,天閣酒店台北士林,THE Tango 天閣酒店其現代時尚的低調奢華風，在業界中引領項背。地處絕佳生活機能、交通樞紐地利之便。客房設計高雅寬敞，各式設備新穎完善。 客房內皆備有多功能商務桌椅，些許浴室設有大型spa浴池，另有大理石面材淋浴間，並有房客專用的交誼廳，備有飲料與點心，並供應咖啡或茶。 天閣集團經營理念：「 用心堅持，快樂創新 」讓全世界旅人，在獨樹一格的氛圍內，有超乎期望以及美好的體驗回憶。
a3dca380-c329-4dac-8d37-5f0f131cfd1e,士林區,臺北市士林區安平街26號,士林町旅店,士林町旅店在地深耕40年，位於士林夜市中心，交通方便，四通八達，吃喝玩樂在士林，周邊有知名景點故宮博物院，新兒童樂園，台北天文館，陽明山國家公園，是全家旅遊的好去處。
a6a9b079-aba6-46be-8b19-c8f63859b9b0,士林區,臺北市士林區至善路二段55號,有誠商旅,有誠商旅位居士林近郊的外雙溪，與文薈藝藏的故宮比鄰相居，前有至德園、至善園、臨溪公園步道及雞南山步道，後有連緜秀麗的五指山系，並有外雙溪流貫，窗外景觀山高水豐，層疊秀麗，實有陶淵明之『結廬在人境、而無車馬喧』之境意。
d3078fee-e00a-4f42-8938-98e45b6b7018,士林區,臺北市士林區承德路四段318號,悠逸商旅,膠帶X線條 全館設計概念結合炎洲集團以膠帶生產起家的故事，設計師運用膠帶線條意象，將細節中添加時下最受歡迎的簡約、時尚、輕慢遊等元素，以繽紛的彩色線條串起整館活力。 時尚X趣味X悠閒自在 線條從大廳到櫃台，大廳的造型線條燈光柱隨著音樂的起伏變換流動，展現奇幻絢麗視覺聽覺饗宴。 跟著線條走X找到專屬UINN ROOM
e83c719b-839d-45a3-83e9-7f649816f074,士林區,臺北市士林區基河路16之6號1樓至12樓,天閣酒店台北劍潭,THE Tango 天閣酒店其現代時尚的低調奢華風，在業界中引領項背。地處絕佳生活機能、交通樞紐地利之便。客房設計高雅寬敞，各式設備新穎完善。 客房內皆備有多功能商務桌椅，些許浴室設有大型spa浴池，另有大理石面材淋浴間及蒸氣室，並有房客專用的交誼廳， 每日供應自助式早餐，傍晚及清晨備有飲料與點心，並供應咖啡或茶。
ef5268c7-7f31-4c84-8041-ae244403cc43,士林區,臺北市士林區福國路106號1樓，2-6樓之1至7,芝山璞旅,「芝山璞旅」位於士林天母一帶，座落於福國路靜巷裡，步行至芝山捷運站僅需三分鐘，鄰近台灣戲曲中心、士林夜市、臺北表演藝術中心、故宮博物院與北投士林科學園區，充滿國際化氛圍和文教氣息，往來外國遊客眾多。  活動期間於每週日至週四，享官網優惠價格 9折優惠，並致贈入住迎賓禮！
