ID,行政區,地址,店名,店家說明
119c03a0-b344-405c-91d3-545ca8f99912,大同區,臺北市大同區南京西路163號四樓之2,皇后旅店二館,皇后旅店二館位於台北市大同區。  客房禁菸，配備空調和平面電視，並備有盥洗用品。部分客房有窗。房內還提供熱水壺、拖鞋和吹風機。另可提供無障礙設施。  皇后旅店二館距離寧夏觀光夜市 400 公尺，距離台北轉運站 900 公尺，距離台北松山機場 4 公里。
193929c7-a7dd-48fe-bd43-8427cfc4d242,大同區,臺北市大同區建明里太原路４０、４２、４４號,漫步1948,Meander  抱持著以善意為出發點的共好共贏理念，創造產業關係人的正向循環，讓 Meander 成為讓世界變得更好的品牌。  漫步1948位於市中心，距離台北車站、機場捷運僅需步行三分鐘。在地人會在鄰近的商店街採買日常用品，相信你也能在此享受淘寶的樂趣。另外，遊訪大稻埕的傳統商行與新興的文青小店，你將感受到新舊時代交融的氛圍。
2093d3b4-bd69-4a33-bc28-a8013b3f6d90,大同區,臺北市大同區甘谷街26號7樓,台北臥客旅店,臥客提供全館免費 WiFi和舒適的共用休息室。 距離迪化街僅幾步之遙；寧夏夜市 650 公尺；臺北轉運站 800 公尺；桃園機場捷運（臺北車站 6 號出口）或捷運北門站（2 號出口）不到 500 公尺；自北門站搭乘捷運 1 站（約 1 公里）即可到達西門町商圈。 客房均設有空調，並免費提供室內拖鞋、洗髮精和沐浴乳。 館內設有烤箱、微波爐、冰箱、投幣式洗衣機、烘乾機，免費提供旅遊手冊。
21c2f5ea-4e00-404e-9a12-6cc248a1d157,大同區,臺北市大同區建功里太原路９２巷２之１號１樓,台北北門窩泊旅,北門窩泊旅 wow poshtel ，是一群愛旅遊的人所建立的，期待您分享您的旅行故事給任何一個人 北門窩前身為一家40幾年的老旅館，老旅館搭著時間的河輕輕，流經無數旅人的台北記憶，我們將歲月痕跡熬成湯，一口吞下徹底洗禮身心，換一個新生命
245ef54d-2663-4f1b-ac57-c8f83d7416e6,大同區,臺北市大同區南京西路22號7樓,千慧商務旅館,乾淨、平價、熱情    千慧商務旅館位於中山捷運站一號出口，交通便利。我們將帶給您賓至如歸的感受，且讓您在工作或遊玩之後，可以放心的在千慧休息與放鬆，歡迎您的光臨。
25727646-56d6-4e8d-9db4-bdf66d5548ee,大同區,臺北市大同區建明里鄭州路２１巷１０號,門埕青旅,位於台北機場捷運對面，鄰近台北車站，交通方便
26701e13-a8f8-48e7-ac68-18b72222c1d5,大同區,臺北市大同區延平北路二段197號2樓,意芙旅店,**本店此雲端智能自助櫃檯，安全零接** 意芙旅店距離捷運大橋頭站步行僅 7 分鐘，提供免費 WiFi，空調客房中設有平面有線電視、迷你吧和休息區。房內的個人衛浴中配有淋浴設施。
3355adcc-216a-43a9-b344-dce512f6459d,大同區,臺北市大同區甘谷街26號2樓之1,北門臥客青年旅舍,北門臥客青年旅舍距離迪化街僅幾步之遙；距離寧夏夜市 650 公尺；距離臺北轉運站 800 公尺；距離桃園機場捷運（臺北車站 6 號出口）或捷運北門站（2 號出口）不到 500 公尺；自北門站搭乘捷運 1 站（約 1 公里）即可到達西門町商圈。  客房均有空調與免費 WiFi ，並免費提供室內拖鞋、洗髮精和沐浴乳。館內設有共用衛浴，部分客房設有獨立衛浴。
3a51376c-b3b2-49da-a386-2d5efa21bdd4,大同區,臺北市大同區南京西路316號4樓,金弘旅社,金弘商旅位於南京西路~鄰近寧夏觀光夜市約400公尺~~迪化街商圈約330公尺~台北轉運站690公尺 ~延平河濱公園約570公尺~京站時尚廣場約650公尺 機能便利 可搭捷運至中山捷運或是北門捷運站 步行約十分鐘
41826425-c060-4647-b523-e29618216726,大同區,臺北市大同區大同區延平北路二段255,久居棧旅店,久居棧旅店配合台北熊好卷推動觀光，加入台北通APP成為會員，全台民眾都能參加抽獎，最高享有每房現場折抵住宿費台幣一千元，需從官網或電話訂房才能使用。更多優惠活動及使用方式請搜尋台北市政府觀傳局網站。
