ID,行政區,地址,店名,店家說明
0f588613-9606-42ac-ad72-b6fc9f7c9145,萬華區,臺北市萬華區昆明街76號8-9樓,東驛商務旅館,東驛商務旅館交通便利，位於台北西門町，距離捷運西門站僅有 5 分鐘的步行路程，方便客人前往許多台北市的熱門景點。館內設有觀光旅遊櫃檯，客房舒適有免費 WiFi，頂樓還有空中花園吸菸區，休憩區附咖啡及果汁機可免費使用。 飯店距離知名的華西街夜市、龍山寺和台北車站均僅10 分鐘即可到達。觀光旅遊櫃檯可協助客人規劃旅遊行程。 東驛商務旅館的客房裝飾典雅，並配備了 32 吋的液晶電視、遮光窗簾和私人衛浴。
1022e0c0-45b0-48ad-ba8e-235908fa0b93,萬華區,臺北市萬華區菜園里成都路１６３號２至６樓,台北漫步旅店,"位置在市中心最方便及特色地段，合理的價格提供整潔，設計時尚的住宿空間, 我們提供各式床位房跟獨立套房，無論是單獨旅人、三五好友、大型團體…等旅遊型態，在漫步都可以滿足到您。"
1233e8fa-832d-479c-bdcc-1f7d218a8203,萬華區,臺北市萬華區西寧南路90巷13號,美觀園旅社,裝潢簡單的旅館鄰近淡水河，距離國立臺灣博物館 16 分鐘步行路程，距離熱鬧的寧夏夜市 3 公里，距離最近的捷運站 4 分鐘步行路程。 簡約客房提供平面電視和套房衛浴。部分客房提供小冰箱。家庭房最多可入住 4 人。所有客房皆提供 Wi-Fi。
1348344b-4373-4185-8d4f-53bdb95795c9,萬華區,臺北市萬華區漢中街154號,丹居青旅,Dan hostel丹居青旅位於台北市西門町熱鬧商圈，距離捷運西門站1號出口僅2分鐘路程，距西門紅樓500公尺，7-11漢中主題館對面，李炳輝按摩館隔壁，生活機能便利。
1412aab7-e106-4c13-95c8-1da88c74b0bb,萬華區,臺北市萬華區漢口街二段56號2-3樓，58號3樓,橙舍青年旅館（臺北二館）,"背包客第二個家-橙舍青旅 西門町靠近台北車站 溫馨的風格,親切的服務,平價的收費! www.twhostel.com 服務專線:0938-000-702"
1f5c2105-6453-4841-a89f-894b9ce6662a,萬華區,臺北市萬華區西寧南路105號2至5樓、2樓之1至5樓之1,和旅瓏旅館西門館,"HATAGO+ THE ALLEY 和旅瓏文旅西門館 ""HATAGO是取自日本古時候的客棧之意「旅籠」，以它的羅馬發音來表示。 秉持著成為更有品質、廣受顧客喜愛的旅宿的心念，將HATAGO添上「+」的符號。 「HATAGO+」則是源自上述意涵命名而來。 「HATAGO+」以提供簡單、舒適且合理價格的旅宿為目標而努力。"
2745c24b-1ffc-45ef-9da9-6caa911f211e,萬華區,臺北市萬華區中華路一段78號2-6樓,西門大飯店,西門飯店民國64年成立，位在台北西區熱鬧的西門町裡面 步行3分鐘可到西門捷運站，7分鐘到台北車站，1分鐘到北門 交通便利、四通八達，溫暖雅緻的客房同時兼顧商務與休憩的需求。
302322d0-dcd4-4bd4-a493-89974915e50a,萬華區,臺北市萬華區康定路25巷36弄4號2-4樓,力歐時尚旅館西門館,想要盡情體驗台北市的精彩、西門町商圈，在這裡旅客可輕鬆前往市區內各大旅遊、購物、餐飲地點。擁有便利的交通運輸網絡，沿路公車、大眾運輸工具四通八達，西門町購物區，環境鬧中取靜，無論是要逛街、看電影、唱歌、逛書店、吃美食，應有盡有，方便的地理位置是您最便利的住宿選擇！
3a19d8cd-ade9-434b-9036-d38fa5e4bf0b,萬華區,臺北市萬華區西寧南路112號2-6樓,內江賓舘,如果您想尋找一家交通方便的台北飯店，那沒有比內江商旅更合適的選擇了。 在這裡，旅客們可輕鬆前往市區內各大旅遊、購物、餐飲地點。 飯店位置優越讓遊人前往市區內的熱門景點變得方便快捷。  內江商旅提供優質貼心的服務和方便實用的設施，贏得了客人的普遍好評。 飯店安排了電梯，旨在為客人提供最舒適的體驗。
4196c647-8139-47d3-81bc-621f581b0a96,萬華區,臺北市萬華區昆明街34號2樓,豪贊旅店,本旅店位於西門町鬧區，旁邊有洛陽停車場，要去大稻程碼頭逛逛或是看煙火，都很方便，也很適合去旁邊的電影街看電影，或是到西門徒步街裡面，逛街買東西買衣服，吃美食，唱KTV，都很方便喔！
4239558a-c6b6-49b1-b796-3e63e0031a3b,萬華區,臺北市萬華區漢口街二段41號1-3樓,橙舍背包客國際青年旅館,優質青年旅舍 位於西門町靠台北車站 我們提供平價住宿的床位、太空艙、雅房、套房供您選擇喔! www.twhostel.com 服務專線:0938-000-702
476e9629-bf81-430b-bc8d-103a0e6866c3,萬華區,臺北市萬華區成都路27巷1號4樓,酩月大飯店,酩月大飯店位於台北市，交通便利，距離捷運西門站和熱門的西門町購物商圈步行皆不到 3 分鐘。飯店提供現代化客房和全館免費 WiFi。 飯店距離知名的中正紀念堂步行僅 15 分鐘，距離台北火車站和台北松山機場皆為 20 分鐘車程，距離桃園國際機場 40 分鐘車程。
4ae67bdd-64f2-478c-b2f4-70750c9d321b,萬華區,臺北市萬華區華西街40巷16號,古山園旅社,本旅社是萬華區一間很有特色的旅社，其外觀是50年代建築很有特色，加上有之前有一服務生會摺42招棉被花，很多媒體都曾到此採訪過，(年代、三立、東森、八大......_)很多很多，還有很多歌手的mv拍攝及導演都會來此取景，可以上網站http//古山園旅社.tw都有記錄，歡迎入住古山園‘來體驗50年代建築物的特色。
